		Mondo_ID	Label	parent class	xref	source	comment						Definition								
C173233	Molecular Analysis Table	MONDO:0100414	AML, CEBPA Gene Mutation	MONDO:0018874	NCIT:C38372	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3493		CEBPA Gene Mutation	C38372	C/EBP-Alpha Gene Mutation || C/EBPalpha Mutation || CCAAT Enhancer Binding Protein Alpha Gene Mutation || CCAAT/Enhancer Binding Protein, Alpha Gene Mutation || CEBP Gene Mutation || CEBPA Mutation	CEBPA Gene Mutation	Any acute myeloid leukemia that has the chromosomal anomaly CEBPA Gene Mutation. (Mutation of the CEBPA gene encoding CCAAT/enhancer binding protein alpha. It is seen in acute myeloid leukemias usually associated with a normal karyotype.).	Mutation of the CEBPA gene encoding CCAAT/enhancer binding protein alpha. It is seen in acute myeloid leukemias usually associated with a normal karyotype.							12449
C173233	Molecular Analysis Table	MONDO:0100415	AML, FLT3 Internal Tandem Duplication	MONDO:0018874	NCIT:C67494	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3494		FLT3 Internal Tandem Duplication	C67494	Activating FLT3-ITD Gene Mutation || Activating FLT3-ITD Mutation || FLT3 ITD || FLT3-ITD || FLT3-ITD Activating Mutation || FLT3-ITD Mutation || FLT3/ITD Mutation	FLT3 Internal Tandem Duplication	Any acute myeloid leukemia that has the chromosomal anomaly FLT3 Internal Tandem Duplication. (A genetic abnormality that arises from duplications of the juxtamembrane portion of the gene and results in constitutive activation of the FLT3 receptor tyrosine kinase protein in early hematopoietic progenitor cells. It is associated with acute myelogenous leukemia where it appears to correlate with a poor prognosis.).	A genetic abnormality that arises from duplications of the juxtamembrane portion of the gene and results in constitutive activation of the FLT3 receptor tyrosine kinase protein in early hematopoietic progenitor cells. It is associated with acute myelogenous leukemia where it appears to correlate with a poor prognosis.							12450
C173233	Molecular Analysis Table	MONDO:0100416	AML, FLT3 Tyrosine Kinase Domain Point Mutation	MONDO:0018874	NCIT:C67495	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3495		FLT3 Tyrosine Kinase Domain Point Mutation	C67495	FLT3-TKD Point Mutation || FLT3/TKD Point Mutation	FLT3 Tyrosine Kinase Domain Point Mutation	Any acute myeloid leukemia that has the chromosomal anomaly FLT3 Tyrosine Kinase Domain Point Mutation. (Single nucleotide mutations in the tyrosine kinase domain encoded by the human FLT3 gene that are associated with acute myeloid leukemia and poor prognosis.).	Single nucleotide mutations in the tyrosine kinase domain encoded by the human FLT3 gene that are associated with acute myeloid leukemia and poor prognosis.							12451
C173233	Molecular Analysis Table	MONDO:0100417	AML, WT1 Gene Mutation	MONDO:0018874	NCIT:C146726	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3496		WT1 Gene Mutation	C146726	GUD Gene Mutation || WAGR Gene Mutation || WIT-2 Gene Mutation || WT33 Gene Mutation || Wilms Tumor 1 Gene Mutation	WT1 mutation	Any acute myeloid leukemia that has the chromosomal anomaly WT1 Gene Mutation. (A change in the nucleotide sequence of the WT1 gene.).	A change in the nucleotide sequence of the WT1 gene.							12452
C173233	Molecular Analysis Table	MONDO:0100418	AML, KIT Exon 17 Mutation	MONDO:0018874	NCIT:C116396	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3497		KIT Exon 17 Mutation	C116396	CD117 Exon 17 Mutation || KIT Proto-Oncogene Tyrosine Protein Kinase Gene Exon 17 Mutation || c-KIT Exon 17 Mutation || v-Kit Hardy-Zuckerman 4 Feline Sarcoma Viral Oncogene Homolog Gene Exon 17 Mutation	CKIT Mutation - Ex17	Any acute myeloid leukemia that has the chromosomal anomaly KIT Exon 17 Mutation. (A molecular genetic abnormality indicating the presence of a mutation in exon 17 of the KIT gene located within 4q11-q12.).	A molecular genetic abnormality indicating the presence of a mutation in exon 17 of the KIT gene located within 4q11-q12.							12453
C173233	Molecular Analysis Table	MONDO:0100419	AML, KIT Exon 8 Mutation	MONDO:0018874	NCIT:C128660	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3498		KIT Exon 8 Mutation	C128660	CD117 Exon 8 Mutation || KIT Proto-Oncogene Tyrosine Protein Kinase Gene Exon 8 Mutation || c-KIT Exon 8 Mutation || v-Kit Hardy-Zuckerman 4 Feline Sarcoma Viral Oncogene Homolog Gene Exon 8 Mutation	CKIT Mutation - Ex8	Any acute myeloid leukemia that has the chromosomal anomaly KIT Exon 8 Mutation. (A molecular genetic abnormality indicating the presence of a mutation in exon 8 of the KIT gene located within 4q11-q12.).	A molecular genetic abnormality indicating the presence of a mutation in exon 8 of the KIT gene located within 4q11-q12.							12454
C173233	Molecular Analysis Table	MONDO:0100420	AML, KIT Gene Mutation	MONDO:0018874	NCIT:C39712	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3499		KIT Gene Mutation	C39712	C-KIT Mutation || CD117 Gene Mutation || CD117 Mutation || KIT Proto-Oncogene Tyrosine Protein Kinase Gene Mutation || V-Kit Hardy-Zuckerman 4 Feline Sarcoma Viral Oncogene Homolog Gene Mutation || c-KIT Gene Mutation	CKIT Mutation - Unspecified	Any acute myeloid leukemia that has the chromosomal anomaly KIT Gene Mutation. (A molecular genetic abnormality that refers to mutation of the c-kit (CD117) proto-oncogene. It is associated with the development of gastrointestinal stromal tumor and gastrointestinal autonomic nerve tumor. It has also been described in acute myeloid leukemias, dysgerminomas, and seminomas.).	A molecular genetic abnormality that refers to mutation of the c-kit (CD117) proto-oncogene. It is associated with the development of gastrointestinal stromal tumor and gastrointestinal autonomic nerve tumor. It has also been described in acute myeloid leukemias, dysgerminomas, and seminomas.							12455
C173233	Molecular Analysis Table	MONDO:0100421	AML, GATA1 Gene Mutation	MONDO:0018874	NCIT:C82340	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3500		GATA1 Gene Mutation	C82340	ERYF1 Gene Mutation || GATA Binding Protein 1 Gene Mutation || GATA-1 Gene Mutation || GATA1 Mutation || GF-1 Gene Mutation || GF1 Gene Mutation || NF-E1 Gene Mutation || NFE1 Gene Mutation	GATA1 Mutation	Any acute myeloid leukemia that has the chromosomal anomaly GATA1 Gene Mutation. (A change in the nucleotide sequence of the GATA1 gene.).	A change in the nucleotide sequence of the GATA1 gene.							12456
C173233	Molecular Analysis Table	MONDO:0100422	AML, RUNX1 Gene Mutation	MONDO:0018874	NCIT:C38362	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3501		RUNX1 Gene Mutation	C38362	AML1 Gene Mutation || AML1 Mutation || AMLCR1 Gene Mutation || Acute Myeloid Leukemia 1 Gene Mutation || CBFA2 Gene Mutation || CBFalpha2 Mutation || Runt-Related Transcription Factor 1 Gene Mutation	RUNX1 Mutation	Any acute myeloid leukemia that has the chromosomal anomaly RUNX1 Gene Mutation. (A change in the nucleotide sequence of the RUNX1 gene.).	A change in the nucleotide sequence of the RUNX1 gene.							12457
C173233	Molecular Analysis Table	MONDO:0100423	AML, PTPN11 Gene Mutation	MONDO:0018874	NCIT:C82612	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3502		PTPN11 Gene Mutation	C82612	BPTP3 Gene Mutation || PTP-1D Gene Mutation || PTP2C Gene Mutation || Protein Tyrosine Phosphatase Non-Receptor Type 11 Gene Mutation || Protein Tyrosine Phosphatase, Non-Receptor Type 11 Gene Mutation || SH-PTP2 Gene Mutation || SHP-2 Gene Mutation || SHP2 Gene Mutation	PTPN11 Mutation	Any acute myeloid leukemia that has the chromosomal anomaly PTPN11 Gene Mutation. (Mutation of the protein tyrosine phosphatase, non-receptor type 11 gene. It is seen in cases of juvenile myelomonocytic leukemia.).	Mutation of the protein tyrosine phosphatase, non-receptor type 11 gene. It is seen in cases of juvenile myelomonocytic leukemia.							12458
C173233	Molecular Analysis Table	MONDO:0100424	AML, NRAS Gene Mutation	MONDO:0018874	NCIT:C41381	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3503		NRAS Gene Mutation	C41381	N-RAS Gene Mutation || Neuroblastoma RAS Viral Oncogene Homolog Gene Mutation	N-RAS Mutation	Any acute myeloid leukemia that has the chromosomal anomaly NRAS Gene Mutation. (A change in the structure of the NRAS gene.).	A change in the structure of the NRAS gene.							12459
C173233	Molecular Analysis Table	MONDO:0100425	AML, KRAS Gene Mutation	MONDO:0018874	NCIT:C41361	MONDO:otherHierarchy	https://github.com/monarch-initiative/mondo/issues/3504		KRAS Gene Mutation	C41361	KRAS Gene Mutation || KRAS-2 Gene Mutation || KRAS2 Gene Mutation || c-K-ras Gene Mutation || v-Ki-ras2 Kirsten Rat Sarcoma Viral Oncogene Homolog Gene Mutation	K-RAS Mutation	Any acute myeloid leukemia that has the chromosomal anomaly KRAS Gene Mutation. (A change in the nucleotide sequence of the KRAS gene.).	A change in the nucleotide sequence of the KRAS gene.							12460
