cls	cls_label	textdef_count	xref_count	named_superclass_count	anon_superclass_count	named_equiv_count	anon_equiv_count
MONDO:0018045	"Hoyeraal-Hreidarsson syndrome"	1	6	2	0	2	0
MONDO:0003043	"extraskeletal mesenchymal chondrosarcoma"	1	5	2	0	2	0
MONDO:0011454	"patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome"	1	5	2	0	2	0
MONDO:0019782	"humero-ulnar synostosis"	0	2	1	0	1	0
MONDO:0011180	"broad terminal phalanges, familial"	0	3	1	0	1	0
MONDO:0008663	"snowflake vitreoretinal degeneration"	1	6	2	0	2	0
MONDO:0007361	"C1 inhibitor deficiency"	0	5	2	0	2	0
MONDO:0016009	"fetal trimethadione syndrome"	1	6	2	0	2	0
MONDO:0024626	"defective phagocytic cell engulfment"	0	2	1	0	1	1
MONDO:0004580	"retinal degeneration"	1	4	2	0	2	0
MONDO:0008675	"freeman-Sheldon syndrome"	1	8	4	0	4	0
MONDO:0012484	"prosopagnosia, hereditary"	1	3	1	0	1	1
MONDO:0016595	"inhalational anthrax"	1	8	2	0	2	0
MONDO:0010126	"thymic aplasia with fetal death"	0	3	1	0	1	0
MONDO:0000616	"progesterone-receptor negative breast cancer"	0	1	0	0	0	1
MONDO:0004266	"anal gland adenocarcinoma"	1	5	2	0	2	0
MONDO:0015201	"ankyloblepharon filiforme-imperforate anus syndrome"	1	3	1	0	1	0
MONDO:0024893	"toxocara canis infection (canine roundworms)"	0	2	0	0	0	0
MONDO:0002179	"obsolete placental choriocarcinoma"	0	0	0	0	0	0
MONDO:0001880	"median rhomboid glossitis"	0	5	1	0	1	0
MONDO:0001798	"hypermobility syndrome"	0	6	1	0	1	0
MONDO:0002884	"nail disease"	1	9	1	0	1	1
MONDO:0016386	"hypogonadotropic hypogonadism-retinitis pigmentosa syndrome"	1	3	1	0	1	0
MONDO:0009629	"Desbuquois dysplasia 1"	1	2	1	0	1	1
MONDO:0034189	"primary biliary cholangitis/primary sclerosing cholangitis and autoimmune hepatitis overlap syndrome"	0	1	1	0	1	0
MONDO:0007280	"cataract 8 multiple types"	1	7	1	0	1	0
MONDO:0044231	"obsolete eyebrow, whorl 1n"	0	1	0	0	0	0
MONDO:0030020	"combined oxidative phosphorylation deficiency 44"	0	1	1	0	1	0
MONDO:0003272	"mixed epithelial stromal tumor"	0	1	0	0	0	0
MONDO:0032779	"neurodevelopmental disorder with microcephaly and structural brain anomalies"	0	1	1	0	1	0
MONDO:0022201	"has treatment by surgery"	0	0	0	0	0	0
MONDO:0004951	"susceptibility to HIV infection"	1	2	1	0	1	1
MONDO:0009281	"glutaryl-CoA dehydrogenase deficiency"	1	8	4	0	4	0
MONDO:0033260	"deafness, autosomal dominant 73"	0	3	1	0	1	0
MONDO:0013444	"nephronophthisis 9"	1	3	1	0	1	1
MONDO:0017762	"disorder of copper metabolism"	1	8	2	0	2	1
MONDO:0024461	"angiomatosis"	1	4	2	0	2	0
MONDO:0012206	"Czech dysplasia, metatarsal type"	1	6	3	0	3	0
MONDO:0019857	"congenital hypothyroidism due to transplacental passage of maternal TSH-binding inhibitory antibodies"	1	4	2	0	2	0
MONDO:0015449	"criss-cross heart"	1	5	2	0	2	0
MONDO:0100038	"complex neurodevelopmental disorder"	1	0	0	0	0	0
MONDO:0018347	"severe intellectual disability-progressive postnatal microcephaly- midline stereotypic hand movements syndrome"	0	3	1	0	1	0
MONDO:0006176	"cribriform carcinoma"	1	4	2	0	2	1
MONDO:0003492	"lacrimal gland squamous cell carcinoma"	1	3	1	0	1	1
MONDO:0011691	"amyotrophic lateral sclerosis type 3"	0	4	1	0	1	0
MONDO:0004806	"chronic eosinophilic pneumonia"	1	3	2	0	2	1
MONDO:0017989	"His bundle tachycardia"	1	8	3	0	3	0
MONDO:0016966	"partial trisomy of the long arm of chromosome 16"	0	4	1	0	1	0
MONDO:0014758	"radioulnar synostosis with amegakaryocytic thrombocytopenia 2"	1	2	1	0	1	1
MONDO:0002863	"rhabdomyosarcoma with mixed embryonal and alveolar features"	1	5	1	0	1	0
MONDO:0008409	"MYH7-related late-onset scapuloperoneal muscular dystrophy"	0	6	3	0	3	0
MONDO:0005624	"atrophic thyroiditis"	1	3	2	0	2	0
MONDO:0004155	"adult central nervous system embryonal carcinoma"	1	3	1	0	1	1
MONDO:0001127	"tibialis tendinitis"	1	5	1	0	1	1
MONDO:0100075	"jaw fracture"	1	0	0	0	0	0
MONDO:0003758	"childhood testicular germ cell tumor"	1	3	1	0	1	1
MONDO:0013403	"heterotaxy, visceral, 4, autosomal"	1	2	1	0	1	1
MONDO:0013055	"Stargardt macular degeneration, absent or hypoplastic corpus callosum, mental retardation, and dysmorphic features"	0	4	1	0	1	0
MONDO:0018615	"hemicrania continua"	1	9	2	0	2	0
MONDO:0016610	"idiopathic eosinophilic myositis"	0	2	1	0	1	0
MONDO:0002139	"sigmoid disease"	1	3	0	0	0	0
MONDO:0013147	"dilated cardiomyopathy 1CC"	1	5	1	0	1	1
MONDO:0021012	"susceptibility to visceral leishmaniasis, 1"	0	1	1	0	1	0
MONDO:0012910	"age-related hearing impairment 1"	0	3	1	0	1	0
MONDO:0015970	"rare genetic parathyroid disease and phosphocalcic metabolism disorder"	0	2	1	0	1	0
MONDO:0011199	"nephropathy, progressive tubulointerstitial, with cholestatic liver disease"	0	3	1	0	1	0
MONDO:0007305	"cervical vertebral dysplasia (disease)"	0	4	1	0	1	0
MONDO:0006167	"combined lung carcinoma"	1	3	2	0	2	0
MONDO:0008721	"medium chain acyl-CoA dehydrogenase deficiency"	1	11	4	0	4	1
MONDO:0012128	"dextro-looped transposition of the great arteries 1"	1	6	1	0	1	1
MONDO:0000750	"dental abscess"	1	4	1	0	1	0
MONDO:0017953	"hereditary periodic fever syndrome"	1	4	1	0	1	1
MONDO:0000385	"benign digestive system neoplasm"	1	3	1	0	1	1
MONDO:0015030	"sclerosing perineurioma"	0	2	1	0	1	0
MONDO:0014207	"age related macular degeneration 14"	1	2	1	0	1	0
MONDO:0019814	"straddling or overriding tricuspid valve"	1	2	1	0	1	0
MONDO:0019485	"idiopathic hemiconvulsion-hemiplegia syndrome"	0	3	2	0	2	0
MONDO:0012200	"posterior polymorphous corneal dystrophy 3"	1	5	1	0	1	1
MONDO:0011339	"hereditary spastic paraplegia 8"	1	7	2	0	2	1
MONDO:0009444	"ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome"	1	5	2	0	2	0
MONDO:0013080	"primary biliary cholangitis 3"	0	3	1	0	1	0
MONDO:0028742	"dysostosis with brachydactyly without extraskeletal manifestations"	0	1	1	0	1	0
MONDO:0018675	"IgG4-related ophthalmic disease"	1	3	1	0	1	1
MONDO:0017146	"sickle cell disease and related diseases"	0	7	1	0	1	0
MONDO:0016795	"mitochondrial oxidative phosphorylation disorder due to a duplication of mitochondrial DNA"	0	2	1	0	1	0
MONDO:0009180	"junctional epidermolysis bullosa, non-Herlitz type"	1	6	3	0	3	0
MONDO:0016006	"Cockayne syndrome"	1	10	3	0	3	0
MONDO:0020260	"obsolete myasthenic syndrome with eye involvement"	0	2	0	0	0	0
MONDO:0010337	"X-linked intellectual disability-cerebellar hypoplasia syndrome"	1	8	3	0	3	0
MONDO:0044226	"obsolete defective interfering particle induction, control of"	0	1	0	0	0	0
MONDO:0029146	"obsolete Saul-Wilson syndrome"	0	0	0	0	0	0
MONDO:0002330	"alcoholic psychosis"	1	7	2	0	2	1
MONDO:0019951	"rigid spine syndrome"	1	4	1	0	1	0
MONDO:0005475	"migraine with aura"	1	12	3	0	3	0
MONDO:0018091	"microcephaly-brachydactyly-kyphoscoliosis syndrome"	1	6	2	0	2	0
MONDO:0005271	"allergic disease"	1	9	3	0	3	1
MONDO:0034212	"methotrexate toxicity"	0	1	1	0	1	1
MONDO:0004376	"infiltrating nipple syringomatous adenoma"	1	3	1	0	1	0
MONDO:0020493	"Haddad syndrome"	1	3	2	0	2	0
MONDO:0014474	"autosomal recessive limb-girdle muscular dystrophy type 2U"	1	5	2	0	2	1
MONDO:0015596	"non-herpetic acute limbic encephalitis"	1	3	2	0	2	0
MONDO:0000751	"cervical polyp (disease)"	1	10	2	0	2	1
MONDO:0002831	"non-keratinizing sinonasal squamous cell carcinoma"	1	5	2	0	2	0
MONDO:0054782	"leukodystrophy, hypomyelinating, 15"	0	2	1	0	1	0
MONDO:0004589	"obsolete hereditary retinal dystrophy"	0	0	0	0	0	0
MONDO:0020491	"subcortical band heterotopia"	1	8	2	0	2	0
MONDO:0016266	"squamous cell carcinoma of the corpus uteri"	1	2	1	0	1	1
MONDO:0018846	"penile agenesis"	1	6	3	0	3	0
MONDO:0018361	"neonatal scleroderma"	0	2	1	0	1	0
MONDO:0020608	"obsolete blood group--ahonen"	0	1	0	0	0	0
MONDO:0012333	"autosomal recessive nonsyndromic deafness 53"	1	5	1	0	1	1
MONDO:0023419	"hyperprolinemia"	1	4	1	0	1	0
MONDO:0005905	"periodic limb movement disorder"	1	6	2	0	2	1
MONDO:0019330	"pili gemini"	1	5	2	0	2	0
MONDO:0011584	"Fanconi anemia complementation group D1"	1	7	4	0	4	0
MONDO:0006782	"hemometra"	1	7	2	0	2	0
MONDO:0015263	"Brugada syndrome"	1	11	4	0	4	0
MONDO:0015379	"cervical dermoid cyst"	1	3	2	0	2	1
MONDO:0016820	"Moyamoya disease"	1	12	4	0	4	0
MONDO:0009200	"eyebrow duplication-syndactyly syndrome"	1	5	2	0	2	0
MONDO:0006903	"peroneal nerve paralysis"	1	7	3	0	3	0
MONDO:0001640	"gonococcal spondylitis"	1	4	1	0	1	1
MONDO:0010321	"autism, susceptibility to, X-linked 1"	0	1	1	0	1	1
MONDO:0014429	"autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency"	1	4	2	0	2	1
MONDO:0003295	"leiomyomatosis"	1	5	1	0	1	0
MONDO:0019665	"monostotic fibrous dysplasia (disease)"	1	9	3	0	3	0
MONDO:0003074	"obsolete familial retinoblastoma"	0	0	0	0	0	0
MONDO:0011372	"microcephaly with simplified gyral pattern"	0	3	1	0	1	0
MONDO:0015251	"obsolete balantidiasis"	0	0	0	0	0	0
MONDO:0004879	"senile atrophy of choroid"	0	4	1	0	1	0
MONDO:0044631	"early-onset familial noncirrhotic portal hypertension"	0	1	1	0	1	0
MONDO:0013301	"aromatase deficiency"	1	6	2	0	2	0
MONDO:0006597	"photosensitivity disease"	1	5	2	0	2	0
MONDO:0011546	"heterotaxy, visceral, 2, autosomal"	0	2	1	0	1	0
MONDO:0022999	"distichiasis heart congenital anomalies"	0	1	0	0	0	0
MONDO:0016403	"mitochondrial disease with peripheral neuropathy"	0	2	1	0	1	0
MONDO:0016968	"partial trisomy of the long arm of chromosome 18"	0	4	1	0	1	0
MONDO:0001226	"acute contagious conjunctivitis"	1	5	2	0	2	0
MONDO:0013363	"chromosome 2q31.1 duplication syndrome"	0	3	1	0	1	0
MONDO:0003526	"obsolete lung giant cell carcinoma"	0	0	0	0	0	0
MONDO:0024278	"proctocolitis"	1	3	2	0	2	1
MONDO:0024548	"peeling skin syndrome 1"	1	2	1	0	1	1
MONDO:0015641	"benign infantile focal epilepsy with midline spikes and wave during sleep"	1	1	1	0	1	0
MONDO:0008935	"cerebellar ataxia-hypogonadism syndrome"	1	6	2	0	2	0
MONDO:0003692	"adult malignant mesenchymoma"	1	3	1	0	1	1
MONDO:0004020	"mediastinal gray zone lymphoma"	1	3	1	0	1	0
MONDO:0033204	"ciliary dyskinesia, primary, 37"	0	2	1	0	1	0
MONDO:0015769	"distal trisomy 6p"	1	4	2	0	2	0
MONDO:0009945	"pyridoxine-dependent epilepsy"	1	7	2	0	2	0
MONDO:0000661	"alexithymia"	1	1	0	0	0	0
MONDO:0004226	"diffuse intraductal papillomatosis"	0	3	1	0	1	0
MONDO:0004703	"bladder carcinoma in situ"	1	7	2	0	2	1
MONDO:0001038	"perforated corneal ulcer"	0	6	1	0	1	0
MONDO:0018622	"obsolete nut midline carcinoma"	0	0	0	0	0	0
MONDO:0016174	"paraneoplastic sensory ganglionopathy"	0	1	1	0	1	1
MONDO:0013613	"Leber congenital amaurosis 16"	1	5	1	0	1	1
MONDO:0017848	"partial deletion of the short arm of chromosome 12"	0	3	1	0	1	0
MONDO:0008788	"IRIDA syndrome"	1	6	3	0	3	0
MONDO:0010940	"inherited susceptibility to asthma"	0	1	1	0	1	1
MONDO:0011697	"Waardenburg syndrome type 2C"	1	4	1	0	1	0
MONDO:0004103	"tall cell variant thyroid gland papillary carcinoma"	1	3	1	0	1	0
MONDO:0012452	"autosomal recessive nonsyndromic deafness 65"	1	5	1	0	1	0
MONDO:0005022	"obsolete ductal breast adenocarcinoma"	0	0	0	0	0	0
MONDO:0001119	"premature menopause"	1	10	2	0	2	0
MONDO:0016817	"Meier-Gorlin syndrome"	1	7	2	0	2	0
MONDO:0015013	"retinitis pigmentosa 77"	1	4	1	0	1	1
MONDO:0005313	"necrotizing enterocolitis"	1	7	3	0	3	0
MONDO:0014797	"lymphedema, hereditary, type III"	0	3	2	0	2	0
MONDO:0012808	"dilated cardiomyopathy 1AA"	1	5	1	0	1	1
MONDO:0013547	"mitochondrial complex V (ATP synthase) deficiency nuclear type 3"	1	4	1	0	1	1
MONDO:0013546	"mitochondrial complex V (ATP synthase) deficiency nuclear type 2"	1	7	3	0	3	0
MONDO:0011689	"dyslexia, susceptibility to, 6"	0	1	1	0	1	0
MONDO:0015147	"other syndrome with lissencephaly as a major feature"	0	3	1	0	1	0
MONDO:0024505	"disorder by anatomical region"	1	2	1	0	1	0
MONDO:0012011	"coronary artery disease, autosomal dominant, 1"	1	3	1	0	1	1
MONDO:0023089	"erythroplakia"	1	4	2	0	2	0
MONDO:0020103	"constitutional hemolytic anemia due to acanthocytosis"	0	2	1	0	1	1
MONDO:0017796	"obsolete ameloblastic carcinoma"	0	0	0	0	0	0
MONDO:0018838	"lissencephaly spectrum disorders"	1	13	4	0	4	0
MONDO:0000251	"diarrheal disease secondary to altered bowel motility"	1	0	0	0	0	1
MONDO:0003020	"obsolete orofaciodigital syndrome"	0	0	0	0	0	0
MONDO:0025371	"Parvoviridae infectious disease"	1	3	1	0	1	1
MONDO:0017811	"severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion"	0	4	2	0	2	0
MONDO:0014515	"macular dystrophy with central cone involvement"	0	2	1	0	1	0
MONDO:0020010	"infectious disease of the nervous system"	1	5	3	0	3	1
MONDO:0000641	"obsolete cerebellar medulloblastoma"	1	0	0	0	0	0
MONDO:0014783	"preimplantation embryonic lethality 1"	1	2	1	0	1	1
MONDO:0005994	"trichostrongyloidiasis"	1	4	1	0	1	1
MONDO:0016249	"hereditary site-specific ovarian cancer syndrome"	1	3	1	0	1	0
MONDO:0009716	"Richieri Costa-da Silva syndrome"	0	6	2	0	2	0
MONDO:0011910	"obsolete autosomal dominant limb-girdle muscular dystrophy type 1C"	1	9	4	0	4	0
MONDO:0015516	"symbrachydactyly of hands and feet"	1	2	1	0	1	0
MONDO:0010175	"van Bogaert-Hozay syndrome"	0	4	1	0	1	0
MONDO:0010980	"midline malformations, multiple, with limb abnormalities and hypopituitarism"	0	4	2	0	2	0
MONDO:0014508	"vitelliform macular dystrophy 4"	1	2	1	0	1	1
MONDO:0014729	"hereditary spastic paraplegia 75"	1	6	3	0	3	1
MONDO:0015576	"obsolete rare viral disease"	1	2	0	0	0	0
MONDO:0001150	"hydrocephalus"	1	7	2	0	2	0
MONDO:0016074	"obsolete fibrosarcoma"	0	0	0	0	0	0
MONDO:0010694	"nystagmus, myoclonic"	0	4	1	0	1	0
MONDO:0004577	"corneal ulcer"	1	11	2	0	2	1
MONDO:0016541	"acquired secondary polycythemia"	1	2	1	0	1	1
MONDO:0000424	"inborn vitamin B12 deficiency (disease)"	1	2	1	0	1	1
MONDO:0007193	"primary biliary cholangitis 1"	0	2	1	0	1	0
MONDO:0006766	"gait apraxia"	1	5	1	0	1	0
MONDO:0018118	"disorder of phospholipids, sphingolipids and fatty acids biosynthesis with central nervous system predominant involvement"	0	2	1	0	1	0
MONDO:0017837	"multiple sclerosis-ichthyosis-factor VIII deficiency syndrome"	1	3	1	0	1	0
MONDO:0008563	"thumb stiffness-brachydactyly-intellectual disability syndrome"	1	5	2	0	2	0
MONDO:0015671	"obsolete diphtheria"	0	0	0	0	0	0
MONDO:0011567	"dilated cardiomyopathy 1K"	1	5	1	0	1	0
MONDO:0044989	"foot disease"	1	3	1	0	1	1
MONDO:0200000	"uterine ligament adenosarcoma"	1	2	1	0	1	1
MONDO:0016117	"muscular lipidosis"	0	4	2	0	2	0
MONDO:0002637	"histiocytosis"	1	5	2	0	2	0
MONDO:0009618	"microcephaly-cardiomyopathy syndrome"	1	7	3	0	3	0
MONDO:0020238	"inherited vitreous-retinal disease"	0	2	1	0	1	1
MONDO:0007481	"Leri-Weill dyschondrosteosis"	1	9	4	0	4	0
MONDO:0005200	"viral dilated cardiomyopathy"	1	4	2	0	2	1
MONDO:0019632	"Lyme disease"	1	13	4	0	4	1
MONDO:0017542	"central polydactyly of toes, bilateral"	0	2	1	0	1	0
MONDO:0009207	"factor V and factor VIII, combined deficiency of, with normal protein C and protein C inhibitor"	0	2	1	0	1	0
MONDO:0003248	"adult pineal parenchymal tumor"	1	3	1	0	1	1
MONDO:0005103	"well-differentiated liposarcoma"	1	7	4	0	4	0
MONDO:0016861	"Alagille syndrome due to 20p12 microdeletion"	0	3	1	0	1	0
MONDO:0032654	"hyper-IgE recurrent infection syndrome 3, autosomal recessive"	0	1	1	0	1	0
MONDO:0024254	"obsolete vibratory angioedema"	0	0	0	0	0	0
MONDO:0016421	"toxic oil syndrome"	1	3	2	0	2	0
MONDO:0011510	"Bohring-Opitz syndrome"	1	8	4	0	4	0
MONDO:0006855	"mesenteric vascular occlusion"	1	5	1	0	1	0
MONDO:0022858	"continuous spike-wave during slow sleep syndrome"	0	1	0	0	0	0
MONDO:0044675	"LRP5-related primary osteoporosis"	0	1	1	0	1	0
MONDO:0023599	"mesomelic dysplasia"	1	3	2	0	2	0
MONDO:0001095	"mediastinum neuroblastoma"	1	4	2	0	2	1
MONDO:0001542	"common peroneal nerve lesion"	1	7	1	0	1	1
MONDO:0007855	"keratosis, familial actinic"	0	3	1	0	1	0
MONDO:0006713	"corneal neovascularization"	1	11	2	0	2	0
MONDO:0044690	"optic perineuritis"	0	3	2	0	2	0
MONDO:0013024	"chronic thromboembolic pulmonary hypertension"	1	8	3	0	3	0
MONDO:0033682	"skeletal dysplasia-T-cell immunodeficiency-developmental delay syndrome"	0	1	1	0	1	0
MONDO:0014654	"Ullrich congenital muscular dystrophy 2"	1	2	1	0	1	1
MONDO:0020017	"obsolete rare otorhinolaryngologic disease"	1	2	0	0	0	0
MONDO:0019704	"primary bone dysplasia with decreased bone density"	0	1	1	0	1	1
MONDO:0010639	"laryngeal abductor paralysis-intellectual disability syndrome"	1	5	3	0	3	0
MONDO:0014254	"otofaciocervical syndrome 2"	1	2	1	0	1	1
MONDO:0010312	"radial ray deficiency, X-linked"	0	3	1	0	1	0
MONDO:0005304	"biliary tract neoplasm (disease)"	1	6	3	0	3	1
MONDO:0020854	"Liddle syndrome 2"	1	1	1	0	1	1
MONDO:0014231	"juvenile onset Parkinson disease 19A"	1	4	1	0	1	1
MONDO:0010849	"palmoplantar keratoderma, Bothnian type"	0	2	1	0	1	0
MONDO:0009752	"neuropathy, painful"	0	3	1	0	1	0
MONDO:0018147	"idiopathic macular telangiectasia type 3"	1	3	1	0	1	0
MONDO:0011000	"guanylate cyclase 2E"	0	1	1	0	1	0
MONDO:0001066	"late yaws"	1	9	2	0	2	0
MONDO:0010610	"holoprosencephaly-hypokinesia-congenital contractures syndrome"	1	6	3	0	3	0
MONDO:0012710	"HSCR9"	0	1	1	0	1	0
MONDO:0014632	"hypomyelinating leukodystrophy 10"	1	3	1	0	1	1
MONDO:0011335	"spondyloepimetaphyseal dysplasia with multiple dislocations"	1	8	4	0	4	0
MONDO:0015219	"non-syndromic central nervous system malformation"	1	1	1	0	1	1
MONDO:0020470	"49,XYYYY syndrome"	1	5	2	0	2	0
MONDO:0015579	"Hb Bart's hydrops fetalis"	1	4	2	0	2	0
MONDO:0006292	"malignant mesothelioma (disease)"	1	16	5	0	5	1
MONDO:0015709	"immunodeficiency syndrome with autoimmunity"	0	2	1	0	1	0
MONDO:0032598	"epileptic encephalopathy, early infantile, 68"	0	1	1	0	1	0
MONDO:0009043	"generalized resistance to thyroid hormone"	1	2	1	0	1	0
MONDO:0022896	"craniosynostosis contractures cleft"	0	1	0	0	0	0
MONDO:0016087	"progressive non-infectious anterior vertebral fusion"	1	5	2	0	2	0
MONDO:0015627	"multiple epiphyseal dysplasia due to collagen 9 anomaly"	1	4	2	0	2	1
MONDO:0011867	"microphthalmia with cyst, bilateral facial clefts, and limb anomalies"	0	3	1	0	1	0
MONDO:0017569	"de Barsy syndrome"	1	8	2	0	2	0
MONDO:0011774	"autosomal recessive nonsyndromic deafness 30"	1	5	1	0	1	1
MONDO:0003920	"obsolete gastric small cell carcinoma"	0	0	0	0	0	0
MONDO:0016831	"linear verrucous nevus syndrome"	0	4	1	0	1	0
MONDO:0004252	"small intestinal L-cell glucagon-like peptide producing tumor"	1	3	1	0	1	1
MONDO:0016983	"Bartter syndrome with hypocalcemia"	1	3	1	0	1	0
MONDO:0001389	"congenital coronary artery anomaly"	0	4	1	0	1	0
MONDO:0006366	"Peutz-Jeghers polyp of the stomach"	1	3	2	0	2	1
MONDO:0015714	"secondary central precocious puberty"	0	3	1	0	1	0
MONDO:0017453	"fetal parvovirus syndrome"	1	6	2	0	2	1
MONDO:0008321	"pruritus, hereditary localized"	0	3	1	0	1	0
MONDO:0013030	"dilated cardiomyopathy 1BB"	1	5	1	0	1	1
MONDO:0019953	"mega-cisterna magna"	0	2	1	0	1	0
MONDO:0017698	"glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form"	0	3	1	0	1	0
MONDO:0002380	"myoepithelial tumor"	1	7	1	0	1	1
MONDO:0016833	"14q12 microdeletion syndrome"	1	5	2	0	2	0
MONDO:0014468	"congenital myasthenic syndrome 7"	1	3	1	0	1	1
MONDO:0012794	"ANE syndrome"	1	4	2	0	2	0
MONDO:0006984	"subdural empyema"	1	6	2	0	2	0
MONDO:0008117	"obsolete oculopharyngodistal myopathy"	0	0	0	0	0	0
MONDO:0014098	"CIDEC-related familial partial lipodystrophy"	0	6	2	0	2	0
MONDO:0032699	"epilepsy, idiopathic generalized, susceptibility to, 15"	0	1	1	0	1	0
MONDO:0007694	"hairy nose tip"	0	3	1	0	1	0
MONDO:0015092	"cleft hard palate"	0	3	2	0	2	0
MONDO:0010747	"X-linked dystonia-parkinsonism"	1	9	4	0	4	0
MONDO:0010546	"central incisors, absence of"	0	1	1	0	1	0
MONDO:0030056	"fanconi renotubular syndrome 5"	0	1	1	0	1	0
MONDO:0011822	"Bartter disease type 3"	1	7	3	0	3	0
MONDO:0024470	"benign chondrogenic neoplasm"	1	3	2	0	2	1
MONDO:0011582	"multiple mitochondrial dysfunctions syndrome 1"	1	6	2	0	2	1
MONDO:0003018	"obsolete myotonic disease"	0	0	0	0	0	0
MONDO:0003976	"malignant type AB thymoma"	1	4	1	0	1	1
MONDO:0011060	"early-onset non-syndromic cataract"	1	4	2	0	2	0
MONDO:0004732	"kidney carcinoma in situ"	1	5	1	0	1	1
MONDO:0000279	"obsolete Venezuelan hemorrhagic fever"	0	0	0	0	0	0
MONDO:0009606	"methemoglobinemia due to deficiency of methemoglobin reductase"	0	2	1	0	1	0
MONDO:0016588	"infantile mercury poisoning"	1	5	2	0	2	0
MONDO:0008814	"hyperargininemia"	1	11	4	0	4	0
MONDO:0017077	"myelocystocele"	0	12	2	0	2	0
MONDO:0008152	"multicentric carpo-tarsal osteolysis with or without nephropathy"	1	7	3	0	3	0
MONDO:0017915	"pure or complex autosomal recessive spastic paraplegia"	0	2	1	0	1	0
MONDO:0023098	"extrasystoles short stature hyperpigmentation microcephaly"	0	1	0	0	0	0
MONDO:0002907	"intracranial thrombosis"	1	7	1	0	1	0
MONDO:0010568	"Aicardi syndrome"	1	10	4	0	4	0
MONDO:0013980	"PPKP1B"	0	2	1	0	1	0
MONDO:0006406	"sarcomatoid carcinoma"	1	6	2	0	2	1
MONDO:0000008	"obsolete bare lymphocyte syndrome"	0	0	0	0	0	0
MONDO:0044263	"obsolete lutheran suppressor, x-linked"	1	1	0	0	0	0
MONDO:0008795	"aniridia-cerebellar ataxia-intellectual disability syndrome"	1	8	3	0	3	0
MONDO:0002215	"obsolete atypical teratoid rhabdoid tumor"	0	0	0	0	0	0
MONDO:0014509	"vitelliform macular dystrophy 5"	1	2	1	0	1	1
MONDO:0043156	"nephrotic syndrome ocular anomalies"	0	3	0	0	0	0
MONDO:0016220	"congenital temporomandibular joint ankylosis"	1	3	2	0	2	0
MONDO:0017926	"multiple paragangliomas associated with polycythemia"	0	2	1	0	1	0
MONDO:0001235	"appendix cancer"	1	7	2	0	2	1
MONDO:0011437	"microcephaly 4, primary, autosomal recessive"	0	4	1	0	1	0
MONDO:0018212	"familial cervical artery dissection"	1	4	1	0	1	1
MONDO:0017071	"thoracolumbosacral spina bifida cystica"	0	1	1	0	1	0
MONDO:0004496	"myocarditis"	1	11	2	0	2	1
MONDO:0023022	"dwarfism thin bones multiple fractures"	0	1	0	0	0	0
MONDO:0018324	"adult-onset myasthenia gravis"	1	2	1	0	1	1
MONDO:0010277	"syndromic X-linked intellectual disability Shashi type"	1	9	3	0	3	0
MONDO:0024622	"thyroid gland adenocarcinoma"	1	1	1	0	1	1
MONDO:0003393	"thymus gland disease"	1	8	2	0	2	1
MONDO:0010996	"hereditary hemorrhagic telangiectasia type 3"	0	3	1	0	1	0
MONDO:0008488	"holoprosencephaly-radial heart renal anomalies syndrome"	1	7	3	0	3	0
MONDO:0032571	"spondyloepimetaphyseal dysplasia, Krakow type"	0	1	1	0	1	0
MONDO:0020147	"anophthalmia-microphthalmia syndrome"	0	5	1	0	1	0
MONDO:0020330	"classic Hodgkin lymphoma, lymphocyte-depleted type"	0	2	1	0	1	0
MONDO:0008439	"spastic paraplegia-epilepsy-intellectual disability syndrome"	0	6	2	0	2	0
MONDO:0000568	"autoimmune disease of central nervous system"	1	1	0	0	0	1
MONDO:0012294	"obsolete drug metabolism, poor, Cyp2C19-related"	0	3	0	0	0	0
MONDO:0014455	"cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome"	0	4	2	0	2	0
MONDO:0060732	"tetraamelia syndrome 2"	0	1	1	0	1	0
MONDO:0002437	"dehydration polycythemia"	1	3	1	0	1	0
MONDO:0007515	"ectopia pupillae (disease)"	0	5	2	0	2	0
MONDO:0014738	"autosomal dominant nonsyndromic deafness 69"	1	4	1	0	1	1
MONDO:0006927	"Rickettsiaceae infectious disease"	1	2	1	0	1	1
MONDO:0000103	"obsolete Wilms tumor"	0	0	0	0	0	0
MONDO:0007272	"hereditary hypercarotenemia and vitamin A deficiency"	1	5	3	0	3	0
MONDO:0032656	"microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum"	0	1	1	0	1	0
MONDO:0015921	"ARX-related epileptic encephalopathy"	0	1	1	0	1	0
MONDO:0003564	"localized pulmonary fibrosis"	1	4	2	0	2	0
MONDO:0015321	"Pierre Robin syndrome associated with branchial archs anomalies"	0	2	1	0	1	0
MONDO:0014263	"8q24.3 microdeletion syndrome"	0	4	2	0	2	0
MONDO:0008221	"prolidase deficiency"	1	8	4	0	4	0
MONDO:0022822	"congenital cardiovascular shunt"	0	1	0	0	0	0
MONDO:0011191	"capillary infantile hemangioma"	0	4	2	0	2	0
