?mondo_class	?label	?mondo_subclass	?subClassOf_source	?xref
MONDO:0021389	neoplasm of aortic body	MONDO:0021052	NCIT:C4218	NCIT:C4218
MONDO:0018177	glioblastoma	MONDO:0016680	NCIT:C3058	NCIT:C3058
MONDO:0018177	glioblastoma	MONDO:0016680	NCIT:C3058	NCIT:C39750
MONDO:0018177	glioblastoma	MONDO:0016680	NCIT:C3058	NCIT:C9094
MONDO:0004044	ureter urothelial papilloma	MONDO:0004041	NCIT:C6160	NCIT:C6160
MONDO:0004044	ureter urothelial papilloma	MONDO:0001398	NCIT:C6160	NCIT:C6160
MONDO:0006244	HER2 positive breast carcinoma	MONDO:0006116	NCIT:C53556	NCIT:C53556
MONDO:0021576	fallopian tube endometrioid tumor	MONDO:0021092	NCIT:C40111	NCIT:C40111
MONDO:0003922	ovarian clear cell malignant adenofibroma	MONDO:0000548	NCIT:C40079	NCIT:C40079
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0005278	NCIT:C7550	NCIT:C40025
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0005278	NCIT:C7550	NCIT:C7550
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0002752	NCIT:C7550	NCIT:C40025
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0002752	NCIT:C7550	NCIT:C7550
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0024885	NCIT:C7550	NCIT:C40025
MONDO:0005211	ovarian serous adenocarcinoma	MONDO:0024885	NCIT:C7550	NCIT:C7550
MONDO:0004473	epiglottis cancer	MONDO:0004357	NCIT:C35697	NCIT:C35697
MONDO:0004473	epiglottis cancer	MONDO:0004357	NCIT:C35697	NCIT:C4836
MONDO:0004473	epiglottis cancer	MONDO:0004109	NCIT:C4836	NCIT:C35697
MONDO:0004473	epiglottis cancer	MONDO:0004109	NCIT:C4836	NCIT:C4836
MONDO:0024337	urothelial neoplasm	MONDO:0037254	NCIT:C39852	NCIT:C39852
MONDO:0002475	lacrimal gland adenocarcinoma	MONDO:0002463	NCIT:C4541	NCIT:C4541
MONDO:0002475	lacrimal gland adenocarcinoma	MONDO:0004970	NCIT:C4541	NCIT:C4541
MONDO:0021450	benign neoplasm of heart	MONDO:0000634	NCIT:C3605	NCIT:C3605
MONDO:0021450	benign neoplasm of heart	MONDO:0021209	NCIT:C3605	NCIT:C3605
MONDO:0004252	small intestinal L-cell glucagon-like peptide producing tumor	MONDO:0002995	NCIT:C27452	NCIT:C27452
MONDO:0004252	small intestinal L-cell glucagon-like peptide producing tumor	MONDO:0004211	NCIT:C27452	NCIT:C27452
MONDO:0001743	paranasal sinus lymphoma	MONDO:0020669	NCIT:C6068	NCIT:C6068
MONDO:0003641	central nervous system hematopoietic neoplasm	MONDO:0006130	NCIT:C5503	NCIT:C5503
MONDO:0003641	central nervous system hematopoietic neoplasm	MONDO:0044881	NCIT:C5503	NCIT:C5503
MONDO:0006841	lymphangioendothelioma	MONDO:0002013	NCIT:C3203	NCIT:C3203
MONDO:0006067	acinar prostate mucinous adenocarcinoma	MONDO:0004957	NCIT:C5537	NCIT:C5537
MONDO:0006067	acinar prostate mucinous adenocarcinoma	MONDO:0002493	NCIT:C5537	NCIT:C5537
MONDO:0024502	gallbladder neuroendocrine neoplasm	MONDO:0024503	NCIT:C96917	NCIT:C96917
MONDO:0024502	gallbladder neuroendocrine neoplasm	MONDO:0021253	NCIT:C96917	NCIT:C96917
MONDO:0002512	papillary adenocarcinoma	MONDO:0004970	NCIT:C2853	NCIT:C7438
MONDO:0002512	papillary adenocarcinoma	MONDO:0004970	NCIT:C2853	NCIT:C2853
MONDO:0002512	papillary adenocarcinoma	MONDO:0006509	NCIT:C2853	NCIT:C7438
MONDO:0002512	papillary adenocarcinoma	MONDO:0006509	NCIT:C2853	NCIT:C2853
MONDO:0004942	orbit lymphoma	MONDO:0002889	NCIT:C6244	NCIT:C6244
MONDO:0021273	leiomyoma of ciliary body	MONDO:0021486	NCIT:C4560	NCIT:C4560
MONDO:0021273	leiomyoma of ciliary body	MONDO:0001572	NCIT:C4560	NCIT:C4560
MONDO:0003729	aleukemic leukemia cutis	MONDO:0003730	NCIT:C4983	NCIT:C4983
MONDO:0003220	gallbladder carcinoma	MONDO:0005411	NCIT:C3844	NCIT:C3844
MONDO:0004278	infiltrating bladder urothelial carcinoma sarcomatoid variant	MONDO:0003890	NCIT:C39824	NCIT:C39824
MONDO:0005524	sweat gland carcinoma	MONDO:0004970	NCIT:C6938	NCIT:C6938
MONDO:0005524	sweat gland carcinoma	MONDO:0006973	NCIT:C6938	NCIT:C6938
MONDO:0005524	sweat gland carcinoma	MONDO:0002206	NCIT:C6938	NCIT:C6938
MONDO:0021481	benign neoplasm of submandibular gland	MONDO:0021492	NCIT:C4891	NCIT:C4891
MONDO:0021481	benign neoplasm of submandibular gland	MONDO:0021244	NCIT:C4891	NCIT:C4891
MONDO:0003979	intrahepatic bile duct cystadenoma	MONDO:0003420	NCIT:C96835	NCIT:C96835
MONDO:0003181	lung adenoid cystic carcinoma	MONDO:0004971	NCIT:C5666	NCIT:C5666
MONDO:0003025	conventional angiosarcoma	MONDO:0016982	NCIT:C9426	NCIT:C9426
MONDO:0006401	salivary gland adenosquamous carcinoma	MONDO:0006074	NCIT:C35737	NCIT:C35737
MONDO:0003758	childhood testicular germ cell tumor	MONDO:0020577	NCIT:C6552	NCIT:C6552
MONDO:0003758	childhood testicular germ cell tumor	MONDO:0037250	NCIT:C6552	NCIT:C6552
MONDO:0003758	childhood testicular germ cell tumor	MONDO:0010108	NCIT:C6552	NCIT:C6552
MONDO:0030604	cystic partially differentiated nephroblastoma	MONDO:0004356	NCIT:C6897	NCIT:C6897
MONDO:0030604	cystic partially differentiated nephroblastoma	MONDO:0024676	NCIT:C6897	NCIT:C6897
MONDO:0006059	nasal cavity squamous cell carcinoma	MONDO:0003212	NCIT:C8192	NCIT:C8192
MONDO:0002703	appendix mucinous cystadenocarcinoma	MONDO:0005858	NCIT:C5511	NCIT:C5511
MONDO:0002703	appendix mucinous cystadenocarcinoma	MONDO:0018330	NCIT:C5511	NCIT:C5511
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0005154	NCIT:C7103	NCIT:C7103
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0005154	NCIT:C7103	NCIT:C7106
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0005154	NCIT:C7103	NCIT:C12392
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0002514	NCIT:C7103	NCIT:C7103
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0002514	NCIT:C7103	NCIT:C7106
MONDO:0024477	liver and intrahepatic bile duct neoplasm	MONDO:0002514	NCIT:C7103	NCIT:C12392
MONDO:0004222	ovarian clear cell cystadenocarcinoma	MONDO:0002702	NCIT:C7980	NCIT:C7980
MONDO:0004222	ovarian clear cell cystadenocarcinoma	MONDO:0006045	NCIT:C7980	NCIT:C7980
MONDO:0020662	borderline ovarian serous tumor	MONDO:0016093	NCIT:C5226	NCIT:C5226
MONDO:0020662	borderline ovarian serous tumor	MONDO:0037255	NCIT:C5226	NCIT:C5226
MONDO:0003923	ethmoid sinus Schneiderian papilloma	MONDO:0006353	NCIT:C6836	NCIT:C6836
MONDO:0003923	ethmoid sinus Schneiderian papilloma	MONDO:0021515	NCIT:C6836	NCIT:C6836
MONDO:0002705	breast mucinous cystadenocarcinoma	MONDO:0004988	NCIT:C40354	NCIT:C40354
MONDO:0002705	breast mucinous cystadenocarcinoma	MONDO:0005858	NCIT:C40354	NCIT:C40354
MONDO:0700136	bovine protoporphyria	MONDO:0700134	NCIT:C131472	NCIT:C131472
MONDO:0003277	malignant ear neoplasm	MONDO:0005627	NCIT:C9337	NCIT:C9337
MONDO:0003277	malignant ear neoplasm	MONDO:0021233	NCIT:C9337	NCIT:C9337
MONDO:0024338	mucinous neoplasm	MONDO:0024276	NCIT:C7070	NCIT:C7070
MONDO:0017386	pleomorphic rhabdomyosarcoma	MONDO:0005212	NCIT:C4258	NCIT:C4258
MONDO:0003925	ethmoid sinus inverted papilloma	MONDO:0003923	NCIT:C6843	NCIT:C6843
MONDO:0004045	pediatric intraocular retinoblastoma	MONDO:0003077	NCIT:C9047	NCIT:C9047
MONDO:0006245	hidradenocarcinoma	MONDO:0005004	NCIT:C54664	NCIT:C54664
MONDO:0006245	hidradenocarcinoma	MONDO:0005524	NCIT:C54664	NCIT:C54664
MONDO:0004253	intraductal breast papillomatosis	MONDO:0021099	NCIT:C5201	NCIT:C5201
MONDO:0006842	lymphangiomyoma	MONDO:0006359	NCIT:C3204	NCIT:C3204
MONDO:0004474	gallbladder lymphoma	MONDO:0004699	NCIT:C5734	NCIT:C5734
MONDO:0004474	gallbladder lymphoma	MONDO:0005411	NCIT:C5734	NCIT:C5734
MONDO:0024503	digestive system neuroendocrine neoplasm	MONDO:0021223	NCIT:C27721	NCIT:C27721
MONDO:0024503	digestive system neuroendocrine neoplasm	MONDO:0019496	NCIT:C27721	NCIT:C27721
MONDO:0005056	keratinizing squamous cell carcinoma	MONDO:0005096	NCIT:C4105	NCIT:C4105
MONDO:0004943	orbit sarcoma	MONDO:0002889	NCIT:C6095	NCIT:C6095
MONDO:0003466	spindle cell synovial sarcoma	MONDO:0005067	NCIT:C4277	NCIT:C4277
MONDO:0003884	lipoma of the rectum	MONDO:0021462	NCIT:C5551	NCIT:C5551
MONDO:0003884	lipoma of the rectum	MONDO:0003885	NCIT:C5551	NCIT:C5551
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C7806
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C27901
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C4817
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C27903
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C9341
MONDO:0012817	Ewing sarcoma	MONDO:0005089	NCIT:C4817	NCIT:C7542
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C7806
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C27901
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C4817
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C27903
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C9341
MONDO:0012817	Ewing sarcoma	MONDO:0021038	NCIT:C4817	NCIT:C7542
MONDO:0006237	granulocytic sarcoma	MONDO:0006861	NCIT:C35815	NCIT:C35815
MONDO:0021053	carotid body paraganglioma	MONDO:0021052	NCIT:C2932	NCIT:C2932
MONDO:0021053	carotid body paraganglioma	MONDO:0006239	NCIT:C2932	NCIT:C2932
MONDO:0006458	thymoma type B3	MONDO:0016974	NCIT:C7997	NCIT:C7997
MONDO:0002149	reproductive system cancer	MONDO:0006054	NCIT:C36076	NCIT:C36076
MONDO:0002149	reproductive system cancer	MONDO:0006054	NCIT:C36076	NCIT:C3674
MONDO:0021482	benign neoplasm of middle ear	MONDO:0021366	NCIT:C4602	NCIT:C4602
MONDO:0021482	benign neoplasm of middle ear	MONDO:0021474	NCIT:C4602	NCIT:C4602
MONDO:0003410	Wolffian duct adenocarcinoma	MONDO:0005613	NCIT:C40254	NCIT:C40254
MONDO:0004513	adult pleomorphic rhabdomyosarcoma	MONDO:0017386	NCIT:C27369	NCIT:C27369
MONDO:0003316	nonanaplastic kidney Wilms tumor	MONDO:0019004	NCIT:C6951	NCIT:C6951
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0021039	NCIT:C7135	NCIT:C7135
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0021039	NCIT:C7135	NCIT:C27293
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0012817	NCIT:C7135	NCIT:C7135
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0012817	NCIT:C7135	NCIT:C27293
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0018078	NCIT:C7135	NCIT:C7135
MONDO:0018270	extraskeletal Ewing sarcoma	MONDO:0018078	NCIT:C7135	NCIT:C27293
MONDO:0044743	major salivary gland cancer	MONDO:0004669	NCIT:C4762	NCIT:C4762
MONDO:0044743	major salivary gland cancer	MONDO:0021368	NCIT:C4762	NCIT:C4762
MONDO:0002032	colon carcinoma	MONDO:0021063	NCIT:C4910	NCIT:C4910
MONDO:0002032	colon carcinoma	MONDO:0024331	NCIT:C4910	NCIT:C4910
MONDO:0002318	trachea leiomyoma	MONDO:0001572	NCIT:C6049	NCIT:C3419
MONDO:0002318	trachea leiomyoma	MONDO:0001572	NCIT:C6049	NCIT:C6049
MONDO:0002318	trachea leiomyoma	MONDO:0021517	NCIT:C6049	NCIT:C3419
MONDO:0002318	trachea leiomyoma	MONDO:0021517	NCIT:C6049	NCIT:C6049
MONDO:0003026	gallbladder angiosarcoma	MONDO:0002857	NCIT:C5840	NCIT:C5840
MONDO:0000525	cecum villous adenoma	MONDO:0021271	NCIT:C5520	NCIT:C5520
MONDO:0003924	adrenal cortex adenoma	MONDO:0004972	NCIT:C9003	NCIT:C9003
MONDO:0700137	bovine lymphosarcoma	MONDO:0700134	NCIT:C134767	NCIT:C134767
MONDO:0024339	lymph node neoplasm	MONDO:0004928	NCIT:C35497	NCIT:C35497
MONDO:0024339	lymph node neoplasm	MONDO:0002334	NCIT:C35497	NCIT:C35497
MONDO:0002874	testicular pure germ cell tumor	MONDO:0010108	NCIT:C39915	NCIT:C39915
MONDO:0017387	epithelioid sarcoma	MONDO:0018078	NCIT:C3714	NCIT:C3714
MONDO:0001472	testicular lymphoma	MONDO:0005447	NCIT:C6810	NCIT:C6810
MONDO:0020663	malignant spindle cell neoplasm	MONDO:0020664	NCIT:C27091	NCIT:C27091
MONDO:0008583	inherited torticollis	MONDO:0005031	NCIT:C4811	NCIT:C4811
MONDO:0006363	peritoneal multicystic mesothelioma	MONDO:0006362	NCIT:C6536	NCIT:C6536
MONDO:0007648	hereditary diffuse gastric adenocarcinoma	MONDO:0005017	NCIT:C43295	NCIT:C43295
MONDO:0000527	colon adenoma	MONDO:0005484	NCIT:C3864	NCIT:C3864
MONDO:0004046	childhood brain meningioma	MONDO:0003057	NCIT:C6253	NCIT:C6253
MONDO:0006246	high grade surface osteosarcoma	MONDO:0002628	NCIT:C53958	NCIT:C53958
MONDO:0024621	serous cystadenocarcinoma	MONDO:0005278	NCIT:C3778	NCIT:C3778
MONDO:0024621	serous cystadenocarcinoma	MONDO:0005596	NCIT:C3778	NCIT:C3778
MONDO:0003790	prostatic urethra urothelial carcinoma	MONDO:0002836	NCIT:C39900	NCIT:C39900
MONDO:0003790	prostatic urethra urothelial carcinoma	MONDO:0002834	NCIT:C39900	NCIT:C39900
MONDO:0003790	prostatic urethra urothelial carcinoma	MONDO:0003791	NCIT:C39900	NCIT:C39900
MONDO:0006091	appendix neuroendocrine tumor G1	MONDO:0015066	NCIT:C4138	NCIT:C4138
MONDO:0004475	thymus clear cell carcinoma	MONDO:0006451	NCIT:C6462	NCIT:C6462
MONDO:0002477	prostate neuroendocrine neoplasm	MONDO:0021259	NCIT:C5545	NCIT:C5545
MONDO:0002477	prostate neuroendocrine neoplasm	MONDO:0019496	NCIT:C5545	NCIT:C5545
MONDO:0021452	benign neoplasm of cornea	MONDO:0021454	NCIT:C3623	NCIT:C3623
MONDO:0021452	benign neoplasm of cornea	MONDO:0021238	NCIT:C3623	NCIT:C3623
MONDO:0005853	malignant mixed neoplasm	MONDO:0004992	NCIT:C3729	NCIT:C3729
MONDO:0005853	malignant mixed neoplasm	MONDO:0021043	NCIT:C3729	NCIT:C3729
MONDO:0002735	anal canal adenocarcinoma	MONDO:0002652	NCIT:C7471	NCIT:C7471
MONDO:0002735	anal canal adenocarcinoma	MONDO:0007108	NCIT:C7471	NCIT:C7471
MONDO:0008433	small cell lung carcinoma	MONDO:0000402	NCIT:C4917	NCIT:C4917
MONDO:0002958	signet ring basal cell carcinoma	MONDO:0005341	NCIT:C38110	NCIT:C38110
MONDO:0003467	mediastinum synovial sarcoma	MONDO:0002852	NCIT:C6618	NCIT:C6618
MONDO:0003467	mediastinum synovial sarcoma	MONDO:0010434	NCIT:C6618	NCIT:C6618
MONDO:0002327	intracranial cavernous angioma	MONDO:0002328	NCIT:C5432	NCIT:C5432
MONDO:0003885	colorectal lipoma	MONDO:0021444	NCIT:C5678	NCIT:C5678
MONDO:0006069	ACTH-producing pituitary gland carcinoma	MONDO:0017582	NCIT:C5964	NCIT:C5964
MONDO:0021313	eyelid cancer	MONDO:0002236	NCIT:C6786	NCIT:C6786
MONDO:0005057	large cell neuroendocrine carcinoma	MONDO:0005232	NCIT:C6875	NCIT:C6875
MONDO:0005057	large cell neuroendocrine carcinoma	MONDO:0002120	NCIT:C6875	NCIT:C6875
MONDO:0002900	cerebral neuroblastoma	MONDO:0005072	NCIT:C4826	NCIT:C4826
MONDO:0006459	thymoma type B1	MONDO:0016974	NCIT:C6887	NCIT:C6887
MONDO:0021275	papilloma of eyelid	MONDO:0021605	NCIT:C4061	NCIT:C4061
MONDO:0021483	benign neoplasm of frontal sinus	MONDO:0001757	NCIT:C4420	NCIT:C4420
MONDO:0006130	central nervous system neoplasm	MONDO:0002602	NCIT:C9293	NCIT:C9293
MONDO:0006130	central nervous system neoplasm	MONDO:0021248	NCIT:C9293	NCIT:C9293
MONDO:0003317	metachronous kidney Wilms' tumor	MONDO:0019004	NCIT:C38158	NCIT:C38158
MONDO:0018492	hereditary clear cell renal cell carcinoma	MONDO:0003008	NCIT:C36260	NCIT:C36260
MONDO:0018492	hereditary clear cell renal cell carcinoma	MONDO:0005005	NCIT:C36260	NCIT:C36260
MONDO:0002033	cecum cancer	MONDO:0005694	NCIT:C9329	NCIT:C9329
MONDO:0002033	cecum cancer	MONDO:0021063	NCIT:C9329	NCIT:C9329
MONDO:0004749	myocardium cancer	MONDO:0021380	NCIT:C4569	NCIT:C5349
MONDO:0004749	myocardium cancer	MONDO:0021380	NCIT:C4569	NCIT:C4569
MONDO:0004749	myocardium cancer	MONDO:0001340	NCIT:C4569	NCIT:C5349
MONDO:0004749	myocardium cancer	MONDO:0001340	NCIT:C4569	NCIT:C4569
MONDO:0003411	breast hemangiopericytoma	MONDO:0005094	NCIT:C40396	NCIT:C40396
MONDO:0018271	peripheral primitive neuroectodermal tumor	MONDO:0005462	NCIT:C9341	NCIT:C9341
MONDO:0018271	peripheral primitive neuroectodermal tumor	MONDO:0021038	NCIT:C9341	NCIT:C9341
MONDO:0018271	peripheral primitive neuroectodermal tumor	MONDO:0021089	NCIT:C9341	NCIT:C9341
MONDO:0006162	colorectal neuroendocrine tumor G1	MONDO:0021533	NCIT:C96160	NCIT:C96160
MONDO:0003027	thyroid gland angiosarcoma	MONDO:0003028	NCIT:C6043	NCIT:C6043
MONDO:0000500	tongue squamous cell carcinoma	MONDO:0004958	NCIT:C4648	NCIT:C4648
MONDO:0000500	tongue squamous cell carcinoma	MONDO:0004958	NCIT:C4648	NCIT:C2929
MONDO:0006403	salivary gland carcinoma ex pleomorphic adenoma	MONDO:0000521	NCIT:C40410	NCIT:C40410
MONDO:0006403	salivary gland carcinoma ex pleomorphic adenoma	MONDO:0002472	NCIT:C40410	NCIT:C40410
MONDO:0003476	clear cell ependymoma	MONDO:0016698	NCIT:C4714	NCIT:C4714
MONDO:0005665	Bell's palsy	MONDO:0002782	NCIT:C26769	NCIT:C26769
MONDO:0005665	Bell's palsy	MONDO:0002098	NCIT:C26769	NCIT:C26769
MONDO:0002640	optic nerve neoplasm	MONDO:0002633	NCIT:C4801	NCIT:C4801
MONDO:0002640	optic nerve neoplasm	MONDO:0002135	NCIT:C4801	NCIT:C4801
MONDO:0002707	breast mucinous carcinoma	MONDO:0004957	NCIT:C9131	NCIT:C9131
MONDO:0700138	bovine rectal myxoma	MONDO:0700134	NCIT:C134768	NCIT:C134768
MONDO:0006468	thyroid gland undifferentiated (anaplastic) carcinoma	MONDO:0005617	NCIT:C3878	NCIT:C3878
MONDO:0006468	thyroid gland undifferentiated (anaplastic) carcinoma	MONDO:0005232	NCIT:C3878	NCIT:C3878
MONDO:0006468	thyroid gland undifferentiated (anaplastic) carcinoma	MONDO:0015075	NCIT:C3878	NCIT:C3878
MONDO:0005214	vulva sarcoma	MONDO:0001528	NCIT:C40317	NCIT:C40317
MONDO:0005214	vulva sarcoma	MONDO:0018078	NCIT:C40317	NCIT:C40317
MONDO:0004319	hypercalcemic type ovarian small cell carcinoma	MONDO:0003795	NCIT:C40439	NCIT:C40439
MONDO:0006364	peritoneal well differentiated papillary mesothelioma	MONDO:0003688	NCIT:C45661	NCIT:C45661
MONDO:0006364	peritoneal well differentiated papillary mesothelioma	MONDO:0006362	NCIT:C45661	NCIT:C45661
MONDO:0004047	sphenoidal sinus neoplasm	MONDO:0005289	NCIT:C6792	NCIT:C6792
MONDO:0006247	histiocytic and dendritic cell neoplasm	MONDO:0044881	NCIT:C9294	NCIT:C9294
MONDO:0024622	thyroid gland adenocarcinoma	MONDO:0004970	NCIT:C27380	NCIT:C27380
MONDO:0024622	thyroid gland adenocarcinoma	MONDO:0015075	NCIT:C27380	NCIT:C27380
MONDO:0002478	mixed germ cell-sex cord-stromal tumor	MONDO:0021043	NCIT:C5241	NCIT:C5241
MONDO:0021453	benign neoplasm of retina	MONDO:0021231	NCIT:C3624	NCIT:C3624
MONDO:0021453	benign neoplasm of retina	MONDO:0021454	NCIT:C3624	NCIT:C3624
MONDO:0002549	schwannoma of twelfth cranial nerve	MONDO:0002546	NCIT:C5434	NCIT:C5434
MONDO:0002549	schwannoma of twelfth cranial nerve	MONDO:0002550	NCIT:C5434	NCIT:C5434
MONDO:0005197	thymus neoplasm	MONDO:0003393	NCIT:C3412	NCIT:C3412
MONDO:0005197	thymus neoplasm	MONDO:0003393	NCIT:C3412	NCIT:C12433
MONDO:0003153	adult brainstem glioma	MONDO:0002911	NCIT:C9091	NCIT:C9091
MONDO:0003153	adult brainstem glioma	MONDO:0024797	NCIT:C9091	NCIT:C9091
MONDO:0002736	ampulla of vater mucinous adenocarcinoma	MONDO:0002670	NCIT:C27416	NCIT:C27416
MONDO:0003340	malignant glomus tumor	MONDO:0018327	NCIT:C4221	NCIT:C4221
MONDO:0003468	biphasic synovial sarcoma	MONDO:0010434	NCIT:C4279	NCIT:C4279
MONDO:0858921	EWSR1-negative small round cell tumor	MONDO:0006974	NCIT:C165671	NCIT:C165671
MONDO:0003886	mucinous cystadenofibroma	MONDO:0002398	NCIT:C8979	NCIT:C8979
MONDO:0003886	mucinous cystadenofibroma	MONDO:0003464	NCIT:C8979	NCIT:C8979
MONDO:0005058	leiomyosarcoma	MONDO:0002924	NCIT:C3158	NCIT:C3158
MONDO:0024878	secondary carcinoma	MONDO:0024881	NCIT:C36310	NCIT:C36310
MONDO:0024878	secondary carcinoma	MONDO:0004993	NCIT:C36310	NCIT:C36310
MONDO:0003318	mixed cell type kidney Wilms' tumor	MONDO:0019004	NCIT:C9149	NCIT:C9149
MONDO:0021276	papilloma of buccal mucosa	MONDO:0021524	NCIT:C5819	NCIT:C5819
MONDO:0008903	lung cancer	MONDO:0021117	NCIT:C7377	NCIT:C7377
MONDO:0008903	lung cancer	MONDO:0003274	NCIT:C7377	NCIT:C7377
MONDO:0004665	nodular sclerosis classical Hodgkin lymphoma	MONDO:0009348	NCIT:C3518	NCIT:C3518
MONDO:0021316	malignant tumor of minor salivary gland	MONDO:0021370	NCIT:C4410	NCIT:C4410
MONDO:0021316	malignant tumor of minor salivary gland	MONDO:0004669	NCIT:C4410	NCIT:C4410
MONDO:0003980	schwannoma of jugular foramen	MONDO:0004820	NCIT:C5323	NCIT:C5323
MONDO:0010795	oncocytic neoplasm	MONDO:0024276	NCIT:C7072	NCIT:C7072
MONDO:0036779	axillary neoplasm	MONDO:0021350	NCIT:C35749	NCIT:C35749
MONDO:0700147	canine histiocytic sarcoma	MONDO:0700139	NCIT:C128125	NCIT:C128125
MONDO:0002034	cecum lymphoma	MONDO:0002033	NCIT:C5515	NCIT:C5515
MONDO:0002034	cecum lymphoma	MONDO:0002035	NCIT:C5515	NCIT:C5515
MONDO:0005223	acute myeloid leukemia with minimal differentiation	MONDO:0015667	NCIT:C8460	NCIT:C8460
MONDO:0011789	familial meningioma	MONDO:0016642	NCIT:C5301	NCIT:C5301
MONDO:0021484	benign neoplasm of maxillary sinus	MONDO:0006850	NCIT:C4414	NCIT:C4414
MONDO:0006163	colorectal serrated adenocarcinoma	MONDO:0005008	NCIT:C96485	NCIT:C96485
MONDO:0003654	childhood parosteal osteosarcoma	MONDO:0006817	NCIT:C6589	NCIT:C6589
MONDO:0004381	pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia	MONDO:0004286	NCIT:C41249	NCIT:C41249
MONDO:0024245	ductal eccrine adenocarcinoma	MONDO:0024240	NCIT:C43345	NCIT:C43345
MONDO:0003184	trachea carcinoma	MONDO:0001407	NCIT:C9347	NCIT:C9347
MONDO:0003184	trachea carcinoma	MONDO:0004993	NCIT:C9347	NCIT:C9347
MONDO:0006853	mesenchymal chondrosarcoma	MONDO:0006974	NCIT:C3737	NCIT:C3737
MONDO:0006853	mesenchymal chondrosarcoma	MONDO:0006974	NCIT:C3737	NCIT:C53493
MONDO:0006853	mesenchymal chondrosarcoma	MONDO:0008977	NCIT:C3737	NCIT:C3737
MONDO:0006853	mesenchymal chondrosarcoma	MONDO:0008977	NCIT:C3737	NCIT:C53493
MONDO:0020549	invasive hydatidiform mole	MONDO:0006248	NCIT:C6985	NCIT:C6985
MONDO:0002791	large cell medulloblastoma	MONDO:0007959	NCIT:C6904	NCIT:C6904
MONDO:0016093	borderline epithelial tumor of ovary	MONDO:0002229	NCIT:C4783	NCIT:C4783
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0021148	NCIT:C4699	NCIT:C3110
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0021148	NCIT:C4699	NCIT:C7887
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0021148	NCIT:C4699	NCIT:C4699
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0002872	NCIT:C4699	NCIT:C3110
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0002872	NCIT:C4699	NCIT:C7887
MONDO:0018944	gestational trophoblastic neoplasm	MONDO:0002872	NCIT:C4699	NCIT:C4699
MONDO:0003477	brain stem ependymoma	MONDO:0002911	NCIT:C5098	NCIT:C5098
MONDO:0003856	adult malignant hemangiopericytoma	MONDO:0009330	NCIT:C7946	NCIT:C7946
MONDO:0005028	esophageal adenocarcinoma	MONDO:0004970	NCIT:C4025	NCIT:C4025
MONDO:0005028	esophageal adenocarcinoma	MONDO:0019086	NCIT:C4025	NCIT:C4025
MONDO:0021192	odontogenic neoplasm	MONDO:0006999	NCIT:C3286	NCIT:C3286
MONDO:0006469	tibial adamantinoma	MONDO:0002422	NCIT:C8461	NCIT:C8461
MONDO:0005215	vulvar carcinoma	MONDO:0001528	NCIT:C4866	NCIT:C4866
MONDO:0004477	adrenal gland ganglioneuroblastoma	MONDO:0003327	NCIT:C7646	NCIT:C7646
MONDO:0021454	benign neoplasm of eye	MONDO:0021220	NCIT:C4780	NCIT:C4780
MONDO:0005198	vulvar intraepithelial neoplasia	MONDO:0002195	NCIT:C4756	NCIT:C4756
MONDO:0021042	glioma	MONDO:0021193	NCIT:C3059	NCIT:C3059
MONDO:0021109	inverted urothelial papilloma	MONDO:0003064	NCIT:C6192	NCIT:C6192
