?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0021053>	"carotid body paraganglioma"	"A benign or malignant extra-adrenal parasympathetic paraganglioma arising from paraganglia adjacent to or in the bifurcation of the common carotid artery. Most patients present with a slow growing, painless mass in the neck."	""	
<http://purl.obolibrary.org/obo/MONDO_0004653>	"atypical chronic myeloid leukemia, BCR-ABL1 negative"	"A myelodysplastic/myeloproliferative neoplasm characterized by the principal involvement of the neutrophil series with leukocytosis and multilineage dysplasia. The neoplastic cells do not have a Philadelphia chromosome or the BCR/ABL fusion gene. (WHO, 2001)"	""	
<http://purl.obolibrary.org/obo/MONDO_0020077>	"myelodysplastic/myeloproliferative disease"	"Clonal myeloid disorders that possess both dysplastic and proliferative features but are not properly classified as either MYELODYSPLASTIC SYNDROMES or MYELOPROLIFERATIVE disorderS."	""	
<http://purl.obolibrary.org/obo/MONDO_0004654>	"obsolete pyomyositis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019168>	"pyomyositis"	"Pyomyositis (PM) is a rare primary bacterial infection of the skeletal muscle, usually resulting from hematogenous spread or due to muscle injury, and characterized by pain and tenderness in the affected muscle, fever and abscess formation."	""	
<http://purl.obolibrary.org/obo/MONDO_0004655>	"obsolete acute megakaryoblastic leukemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018872>	"acute megakaryoblastic leukemia"	"Acute megakaryoblastic leukemia (AMKL) is a form of acute myeloid leukemia (AML) that occurs predominantly in childhood and particularly in children with Down syndrome (DS-AMKL). Nonspecific symptoms may be irritability, weakness, and dizziness while specific symptoms include pallor, fever, mucocutaneous bleeding, hepatosplenomegaly, neurological manifestations and rarely lymphadenopathy. Acute panmyelosis with myelofibrosis may also be associated with AMKL. In contrast to DS-AMKL (around 80 % survival), non-DS-AMKL is an AML subgroup associated with poor prognosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004656>	"rubella"	"A viral infection caused by the rubella virus. It is initially manifested with flu-like symptoms that last one or two days, followed by the development of a characteristic red rash which lasts from one to five days. The rash first appears in the neck and face. It subsequently spreads to the rest of the body."	""	
<http://purl.obolibrary.org/obo/MONDO_0004657>	"disseminated chorioretinitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004659>	"eye carcinoma in situ"	"A carcinoma in situ involving a eye."	""	
<http://purl.obolibrary.org/obo/MONDO_0004661>	"trachea carcinoma in situ"	"A carcinoma that arises from the tracheal mucosa and is confined to the epithelial layer without evidence of further tissue invasion."	""	
<http://purl.obolibrary.org/obo/MONDO_0004693>	"squamous carcinoma in situ"	"A malignant epithelial neoplasm confined to the squamous epithelium, without invasion of the underlying tissues."	""	
<http://purl.obolibrary.org/obo/MONDO_0004662>	"heterophyiasis"	"An infection that is caused by the intestinal fluke Heterophyes heterophyes, which is most commonly found in Asia, the Middle East, and Africa, and which is transmitted via consumption of contaminated raw or undercooked fish. Symptoms typically range from asymptomatic to intermittent abdominal pain and diarrhea, with occasional ectopic infection."	""	
<http://purl.obolibrary.org/obo/MONDO_0004663>	"colon carcinoma in situ"	"A in situ carcinoma that involves the colon."	""	
<http://purl.obolibrary.org/obo/MONDO_0004698>	"intestine carcinoma in situ"	"A carcinoma in situ involving a intestine."	""	
<http://purl.obolibrary.org/obo/MONDO_0004665>	"nodular sclerosis classical Hodgkin lymphoma"	"A subtype of classical Hodgkin lymphoma characterized by collagen bands that surround at least one nodule, and Hodgkin and Reed-Sternberg cells with lacunar type morphology. (WHO, 2008)"	""	
<http://purl.obolibrary.org/obo/MONDO_0004666>	"metagonimiasis"	"An infection that is most commonly caused by the intestinal fluke Metagonimus yokogawai, which is most commonly found in the Far East, and which is transmitted via consumption of contaminated raw or undercooked fish. Symptoms typically range from asymptomatic to intermittent abdominal pain and diarrhea, with occasional ectopic infection."	""	
<http://purl.obolibrary.org/obo/MONDO_0004667>	"sublingual gland cancer"	"A rare malignant neoplasm that arises from the sublingual gland. The majority are carcinomas."	""	
<http://purl.obolibrary.org/obo/MONDO_0021242>	"sublingual gland neoplasm"	"A neoplasm (disease) that involves the sublingual gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0044743>	"major salivary gland cancer"	"A primary or metastatic malignant neoplasm affecting the major salivary glands. Representative examples include carcinoma, lymphoma, and sarcoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0004668>	"fascioliasis"	"A parasitic infection that is caused by liver flukes, usually Fasciola hepatica, of sheep, goats, and cattle. Humans become infected by eating uncooked, infested aquatic vegetation (classically watercress). adult flukes inhabit the bile ducts, gallbladder, and occasionally ectopic sites. Symptoms arise secondary to inflammatory response or obstruction."	""	
<http://purl.obolibrary.org/obo/MONDO_0021357>	"tumor of salivary gland"	"A neoplasm (disease) that involves the saliva-secreting gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0004670>	"lupus erythematosus"	"An autoimmune, connective tissue chronic inflammatory disorder affecting the skin, joints, kidneys, lungs, heart, and the peripheral blood cells. It is more commonly seen in women than men. Variants include discoid and systemic lupus erythematosus."	""	
<http://purl.obolibrary.org/obo/MONDO_0004671>	"penis carcinoma in situ"	"A in situ carcinoma that involves the penis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004672>	"fasciolopsiasis"	"A small bowel infection that is caused by Fasciolopsis buski, which is endemic in the Far East and Southeast Asia, and which is transmitted via the consumption of raw or undercooked aquatic plants. The spectrum of manifestations range from asymptomatic to intestinal symptoms from local invasion or allergic response."	""	
<http://purl.obolibrary.org/obo/MONDO_0004673>	"lower lip cancer"	"A malignant neoplasm involving the lower lip."	""	
<http://purl.obolibrary.org/obo/MONDO_0020283>	"uveitis"	"An inflammatory process affecting a part of or the entire uvea. Causes include inflammatory agents (e.g., herpes simplex, herpes zoster, leptospirosis) and systemic diseases (e.g., inflammatory bowel disease, multiple sclerosis, systemic lupus erythematosus, ankylosing spondylitis). Patients present with pain and redness in the eye, light sensitivity, and blurred and decreased vision."	""	
<http://purl.obolibrary.org/obo/MONDO_0004675>	"mitochondrial encephalomyopathy"	"A heterogenous group of disorders characterized by alterations of mitochondrial metabolism that result in muscle and nervous system dysfunction. These are often multisystemic and vary considerably in age at onset (usually in the first or second decade of life), distribution of affected muscles, severity, and course. (From Adams et al., Principles of Neurology, 6th ed, pp984-5)"	""	
<http://purl.obolibrary.org/obo/MONDO_0004676>	"obsolete progressive myoclonus epilepsy"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0020074>	"progressive myoclonus epilepsy"	"A rare group of disorders characterized by the development of myoclonic and tonic-clonic epileptic seizures associated with progressive degeneration of the nervous system."	""	
<http://purl.obolibrary.org/obo/MONDO_0004677>	"tinea nigra"	"A superficial mycosis that is a superficial fungal infection of the skin characterized by brown to black macules which usually occur on the palmar aspects of hands and occasionally the plantar and other surfaces of the skin, caused by Hortaea werneckii, which is a common saprophytic fungus believed to occur in soil, compost, humus and on wood in humid tropical and sub-tropical regions."	""	
<http://purl.obolibrary.org/obo/MONDO_0004679>	"leukoplakia of vagina"	"Leukoplakia of the vagina."	""	
<http://purl.obolibrary.org/obo/MONDO_0043243>	"leukoplakia"	"A white patch or plaque on a mucous membrane that cannot be characterized clinically or pathologically as any other disease. The diagnosis of leukoplakia is one of exclusion; other conditions such as candidiasis, lichen planus, leukoedema, etc., must be ruled out before a diagnosis of leukoplakia can be made. Leukoplakia may be a premalignant condition."	""	
<http://purl.obolibrary.org/obo/MONDO_0004680>	"primary thrombocytopenia"		""	
<http://purl.obolibrary.org/obo/MONDO_0004682>	"retromolar area cancer"	"A malignant form of neoplasm of retromolar area."	""	
<http://purl.obolibrary.org/obo/MONDO_0037744>	"neoplasm of retromolar area"		""	
<http://purl.obolibrary.org/obo/MONDO_0004683>	"obsolete Evans' syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016030>	"Evans syndrome"	"Evans syndrome is a rare chronic hematologic disorder characterized by the simultaneous or sequential association of autoimmune hemolytic anemia (AIHA; a disorder in which auto-antibodies are directed against red blood cells causing anemia of varying degrees of severity) with immune thrombocytopenic purpura (ITP; a coagulation disorder in which auto-antibodies are directed against platelets causing hemorrhagic episodes) and occasionally autoimmune neutropenia, in the absence of a known underlying etiology."	""	
<http://purl.obolibrary.org/obo/MONDO_0004684>	"plantar fibromatosis"	"A superficial fibromatosis arising from soft tissue of the plantar regions. It is characterized by the presence of spindle-shaped fibroblasts, hypercellularity, and an infiltrative growth pattern."	""	
<http://purl.obolibrary.org/obo/MONDO_0016037>	"superficial Fibromatosis"	"A poorly circumscribed, intermediate fibrocytic neoplasm arising from the superficial soft tissues. It is characterized by the presence of spindle-shaped fibroblasts, and an infiltrative growth pattern."	""	
<http://purl.obolibrary.org/obo/MONDO_0004685>	"Waldeyer's ring cancer"	"A malignant neoplasm involving the tonsillar ring."	""	
<http://purl.obolibrary.org/obo/MONDO_0004686>	"lattice corneal dystrophy"		""	
<http://purl.obolibrary.org/obo/MONDO_0004687>	"severe nonproliferative diabetic retinopathy"		""	
<http://purl.obolibrary.org/obo/MONDO_0004688>	"obsolete sideroblastic anemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015194>	"sideroblastic anemia"	"A group of rare heterogeneous inherited or acquired bone marrow disorders, isolated or part of a syndrome, characterized by decreased hemoglobin synthesis, because of defective use of iron (although plasmatic iron levels may be normal or elevated) and the presence of ringed sideroblasts in the bone marrow due to the pathologic iron overload in mitochondria as visualized by Perls' staining. The group encompasses (idiopathic) acquired sideroblastic anemia and constitutional sideroblastic anemias. The latter include syndromic sideroblastic anemias such as Pearson syndrome, mitochondrial mypathy and sideroblastic anemias, x-linked sideroblastic anemia-ataxia, thiamine responsive megaloblastic anemia syndrome and nonsyndromic sideroblastic anemias comprising x-linked and autosomal recessive sideroblastic anemias."	""	
<http://purl.obolibrary.org/obo/MONDO_0004690>	"tonsillar fossa cancer"	"A cancer involving a tonsillar fossa."	""	
<http://purl.obolibrary.org/obo/MONDO_0004691>	"autosomal dominant polycystic kidney disease"	"Autosomal dominant form of polycystic kidney disease."	""	
<http://purl.obolibrary.org/obo/MONDO_0020642>	"polycystic kidney disease"	"A usually autosomal dominant and less frequently autosomal recessive genetic disorder characterized by the presence of numerous cysts in the kidneys leading to end-stage renal failure. The autosomal dominant trait is associated with abnormalities on the short arm of chromosome 16. Symptoms in patients with the autosomal dominant trait usually appear at middle age and include abdominal pain, hematuria, and high blood pressure. Patients may develop brain aneurysms and liver cysts. Patients with the autosomal recessive trait present with progressive renal failure early in life and symptoms resulting from hepatic fibrosis. The autosomal recessive trait is associated with abnormalities of chromosome 6. Polycystic kidney disease may also result as a side effect in patients on renal dialysis."	""	
<http://purl.obolibrary.org/obo/MONDO_0004692>	"obsolete choledochal cyst"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018805>	"bile duct cyst"	"Cystic dilatation of the hepatic duct or bile duct."	""	
<http://purl.obolibrary.org/obo/MONDO_0004694>	"hepatopulmonary syndrome"	"Hepatopulmonary syndrome (HPS) is a lung disease characterized by widening of arteries and veins (dilatation) in the lungs in people who have chronic liver disease. Because of the dilated vases, the workload of the heart increases and the blood pumped to the body does not have enough oxygen, leading to a decreased level of oxygen in the blood (hypoxemia). The normal diameter of the lung vessels ranges between 8 and 15 μm whereas when in HPS rises to between 15 and 500 μm. While many people with HPS don't have any obvious problems, the main reported symptom is shortness of breath (dyspnea) that is worse when standing or sitting up, and is relieved when lying down (platypnea). Symptoms related to chronic liver disease (generally cirrhosis) include small red spots on the skin (spider angiomas) and abnormal vascular dilatations. Some other symptoms that have been described are infections in the brain (brain abscesses), brain bleeding and an increased number of red blood cells in the blood (polycythemia). There is currently no effective medication for HPS. Oxygen therapy may improve the breathing in some cases. Liver transplant is an efficient treatment which improves the symptoms, even in severe cases."	""	
<http://purl.obolibrary.org/obo/MONDO_0004695>	"liver lymphoma"	"A rare lymphoma that arises from the liver and the bulk of the tumor is located in the liver. The most frequent types of lymphoma that arise from the liver are diffuse large B-cell lymphoma and mucosa-associated lymphoid tissue lymphoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0004696>	"larynx carcinoma in situ"	"A in situ carcinoma that involves the larynx."	""	
<http://purl.obolibrary.org/obo/MONDO_0004697>	"esophageal leukoplakia"	"A rare condition that usually affects the middle-to-distal esophagus in middle-aged and elderly people. There is usually a history of tobacco smoking or alcohol intake. Dysphagia is the presenting symptom. Morphologically, the lesions are well-demarcated and are characterized by epithelial hyperplasia, thickened basal layer, prominent granular cell layer, and hyperorthokeratosis. In a minority of patients this condition is associated with adjacent high-grade squamous dysplasia and/or squamous cell carcinoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0004700>	"parotid gland cancer"	"A primary or metastatic malignant neoplasm involving the parotid gland. Representative examples include carcinoma, malignant mixed tumor, and non-Hodgkin lymphoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0021243>	"parotid gland neoplasm"	"A neoplasm (disease) that involves the parotid gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0004702>	"uterine cervix leukoplakia"	"The presence of whitish patches on the mucosal surface of the cervix. Histologic examination reveals hyperkeratosis. In a minority of cases, underlying dysplasia or carcinoma in situ is present."	""	
<http://purl.obolibrary.org/obo/MONDO_0004703>	"bladder carcinoma in situ"	"Also known as carcinoma in situ of the urinary bladder or high grade intraurothelial neoplasia, this is a flat lesion of the transitional cell epithelium characterized by severe cytologic atypia. This lesion is confined to the urothelium, and is a precursor of invasive transitional cell carcinoma of the bladder. Stage 0is includes: Tis, N0, M0. Tis: Carcinoma in situ: \"flat tumor\". N0: No regional lymph node metastasis. M0: No distant metastasis. (AJCC 6th and 7th eds.)"	""	
<http://purl.obolibrary.org/obo/MONDO_0004704>	"obsolete peroxisomal disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019053>	"peroxisomal disease"	"A group of congenital disorders of lipid metabolism, caused by loss of the normal peroxisomes. Signs and symptoms include developmental delays, intellectual disability, characteristic facial dysmorphic features, hepatomegaly, and hypotonia."	""	
<http://purl.obolibrary.org/obo/MONDO_0004705>	"liver solitary fibrous tumor"	"A solitary fibrous tumor that arises from the liver. It affects females more frequently than males. Signs and symptoms include the presence of an abdominal mass and abdominal discomfort."	""	
<http://purl.obolibrary.org/obo/MONDO_0016238>	"solitary fibrous tumor"	"Solitary fibrous tumor (SFT) represents a diverse group of ubiquitous rare spindle cell neoplasms that may be benign or malignant and that most frequently arises from the pleura and peritoneum and rarely from other sites such as head and neck, liver and skeletal muscle. SFT may be clinically asymptomatic or may present with enlarging mass, compressive effects depending on the site involved and rarely with paraneoplastic manifestations (osteoarthropathy or hypoglycemia)."	""	
<http://purl.obolibrary.org/obo/MONDO_0004706>	"discoid lupus erythematosus of eyelid"		""	
<http://purl.obolibrary.org/obo/MONDO_0004707>	"anal canal carcinoma in situ"	"A carcinoma in situ involving a anal canal."	""	
<http://purl.obolibrary.org/obo/MONDO_0004725>	"rectum carcinoma in situ"	"A in situ carcinoma that involves the rectum."	""	
<http://purl.obolibrary.org/obo/MONDO_0004708>	"esophagus carcinoma in situ"	"Stage 0 includes: For squamous cell carcinoma: Tis (HGD), N0, M0, G1, GX, Tumor location: Any. For adenocarcinoma: Tis (HGD), N0, M0, G1, GX. Tis: High-grade dysplasia. N0: No regional lymph node metastasis. M0: No distant metastasis. G1: Well differentiated. GX: Grade cannot be assessed-stage grouping as G1. Tumor location: Location of the primary cancer site is defined by the position of the upper (proximal) edge of the tumor in the esophagus. (AJCC 7th ed.)"	""	
<http://purl.obolibrary.org/obo/MONDO_0004709>	"occipital lobe neoplasm"	"A neoplasm involving a occipital lobe."	""	
<http://purl.obolibrary.org/obo/MONDO_0004711>	"obsolete amyloidosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019065>	"amyloidosis"	"A disorder characterized by the localized or diffuse accumulation of amyloid protein in various anatomic sites. It may be primary, due to clonal plasma cell proliferations; secondary, due to long standing infections, chronic inflammatory disorders, or malignancies; or familial. It may affect the nerves, skin, tongue, joints, heart, liver, spleen, kidneys and adrenal glands."	""	
<http://purl.obolibrary.org/obo/MONDO_0004712>	"herpes simplex dermatitis"	"Localized rash characterized by grouped vesicles or pustules on an erythematous base that is caused by herpes simplex virus infection."	""	
<http://purl.obolibrary.org/obo/MONDO_0004713>	"lower gum cancer"	"A cancer involving a gingiva of lower jaw."	""	
<http://purl.obolibrary.org/obo/MONDO_0004714>	"atrophic muscular disease"	"A group of primary or secondary disorders affecting the muscles. It is characterized by an abnormal reduction in the muscle volume and atrophy. The atrophy may be caused by diseases of the muscle tissues or diseases of the peripheral nerves."	""	
<http://purl.obolibrary.org/obo/MONDO_0018531>	"carcinoma of liver and intrahepatic biliary tract"	"A carcinoma that arises from the hepatocytes or intrahepatic bile ducts. The main subtypes are hepatocellular carcinoma (hepatoma) and cholangiocarcinoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0004716>	"stomach carcinoma in situ"	"A in situ carcinoma that involves the stomach."	""	
<http://purl.obolibrary.org/obo/MONDO_0004717>	"peliosis hepatis"	"A vascular disease of the liver characterized by the occurrence of multiple blood-filled cysts or cavities. The cysts are lined with endothelial cells; the cavities lined with hepatic parenchymal cells (hepatocytes). Peliosis hepatis has been associated with use of anabolic steroids (anabolic agents) and certain drugs."	""	
<http://purl.obolibrary.org/obo/MONDO_0004718>	"xeroderma of eyelid"		""	
<http://purl.obolibrary.org/obo/MONDO_0004719>	"hard palate cancer"	"A malignant neoplasm involving the hard palate."	""	
<http://purl.obolibrary.org/obo/MONDO_0004720>	"variola minor infection"	"A orthopoxvirus that causes a milder clinical syndrome than smallpox."	""	
<http://purl.obolibrary.org/obo/MONDO_0004721>	"obsolete liver neoplasm"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004722>	"obsolete Wiskott-Aldrich syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0010518>	"Wiskott-Aldrich syndrome"	"Wiskott-Aldrich syndrome (WAS) is a primary immunodeficiency disease characterized by microthrombocytopenia, eczema, infections and an increased risk for autoimmune manifestations and malignancies."	""	
<http://purl.obolibrary.org/obo/MONDO_0004724>	"submandibular gland cancer"	"A malignant neoplasm involving the submandibular gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0006284>	"major salivary gland carcinoma"	"A carcinoma that arises from the parotid gland, submandibular gland, or sublingual gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0021244>	"submandibular gland neoplasm"	"A neoplasm (disease) that involves the submandibular gland."	""	
<http://purl.obolibrary.org/obo/MONDO_0004726>	"liver inflammatory myofibroblastic tumor"	"A multinodular intermediate fibroblastic neoplasm arising from the liver. It is characterized by the presence of spindle-shaped fibroblasts and myofibroblasts, and a chronic inflammatory infiltrate composed of eosinophils, lymphocytes and plasma cells."	""	
<http://purl.obolibrary.org/obo/MONDO_0004727>	"vestibule of mouth cancer"	"A cancer that involves the oral opening."	""	
<http://purl.obolibrary.org/obo/MONDO_0004728>	"diabetic macular edema"		""	
<http://purl.obolibrary.org/obo/MONDO_0004729>	"dyskinesia of esophagus"	"Disorders affecting the motor function of the upper esophageal sphincter; lower esophageal sphincter; the esophagus body, or a combination of these parts. The failure of the sphincters to maintain a tonic pressure may result in gastric reflux of food and acid into the esophagus (gastroesophageal reflux). Other disorders include hypermotility (spastic disorders) and markedly increased amplitude in contraction (nutcracker esophagus)."	""	
<http://purl.obolibrary.org/obo/MONDO_0004731>	"central sleep apnea syndrome"	"A broad classification of disorders which includes 6 subtypes (primary central sleep apnea, central sleep apnea due to Cheyne-Stokes breathing pattern, central sleep apnea due to medical condition not Cheyne-Stokes, central sleep apnea due to high-altitude periodic breathing, central sleep apnea due to drug or substance and primary sleep apnea of infancy) that are each characterized by interruptions in breathing while asleep. It is caused by improper signaling from the brainstem to respiratory muscles and is triggered by either hypoventilation or hyperventilation. In adults, this disorder may arise following a stroke, congestive heart failure, trauma, infection or the use of narcotic medications. It is more common in older males and may present as a co-morbid condition to obesity. Clinical signs include snoring, insomnia or hypersomnia, difficulty concentrating and fatigue. Recurrent episodes of hypoxia/hypoxemia have long-term detrimental effects on cardiovascular health."	""	
<http://purl.obolibrary.org/obo/MONDO_0005296>	"sleep apnea syndrome"	"A disorder characterized by multiple cessations of respirations during sleep that induce partial arousals and interfere with the maintenance of sleep."	""	
<http://purl.obolibrary.org/obo/MONDO_0004732>	"kidney carcinoma in situ"	"A carcinoma in situ involving a kidney."	""	
<http://purl.obolibrary.org/obo/MONDO_0005206>	"renal carcinoma"	"A carcinoma arising from the epithelium of the renal parenchyma or the renal pelvis. The majority are renal cell carcinomas. Kidney carcinomas usually affect middle aged and elderly adults. Hematuria, abdominal pain, and a palpable mass are common symptoms."	""	
<http://purl.obolibrary.org/obo/MONDO_0004733>	"pyriform sinus cancer"	"A primary or metastatic malignant neoplasm that affects the pyriform sinus."	""	
<http://purl.obolibrary.org/obo/MONDO_0004734>	"obsolete erythromelalgia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016028>	"erythromelalgia"	"A rare neurovascular peripheral pain disorder due to the intermittent blockage of the blood vessels, usually in the lower extremities or hands. This causes hyperemia and inflammation at the origin of burning pain and skin redness. The attacks are periodic and are commonly triggered by heat, pressure, mild activity, exertion, insomnia or stress. Erythromelalgia may occur either as a primary or secondary disorder. Primary erythromelalgia is caused by gene mutations. Secondary erythromelalgia can result from small fiber peripheral neuropathy of any cause, essential thrombocytemia, hypercholesterolemia, mushroom or mercury poisoning, and some autoimmune disorders."	""	
<http://purl.obolibrary.org/obo/MONDO_0004735>	"obsolete Alagille syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0037871>	"amino acid metabolism disease"	"A disease that has its basis in the disruption of cellular amino acid metabolic process."	""	
<http://purl.obolibrary.org/obo/MONDO_0019189>	"inborn disorder of amino acid and other organic acid metabolism"		""	
<http://purl.obolibrary.org/obo/MONDO_0004737>	"homocystinuria"	"An autosomal recessive inherited metabolic disorder caused by mutations in the CBS, MTHFR, MTR, and MTRR genes. It is characterized by abnormalities in the methionine metabolism and is associated with deficiency of cystathionine synthase. It results in the accumulation of homocysteine in the serum. It may affect the cardiovascular, musculoskeletal and the central nervous systems."	""	
<http://purl.obolibrary.org/obo/MONDO_0004738>	"obsolete histidine metabolism disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019228>	"inborn disorder of histidine metabolism"	"An inherited metabolic disease that is has its basis in the disruption of histidine metabolic process."	""	
<http://purl.obolibrary.org/obo/MONDO_0004739>	"urea cycle disorder"	"A genetic inborn error of metabolism characterized by the deficiency of one of the enzymes necessary for the urea cycle. It results in accumulation of ammonia in the body."	""	
<http://purl.obolibrary.org/obo/MONDO_0004740>	"obsolete hyperlysinemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0009388>	"hyperlysinemia"	"Hyperlysinaemia is a lysine metabolism disorder characterized by elevated levels of lysine in the cerebrospinal fluid and blood. Variable degrees of saccharopinuria are also present."	""	
<http://purl.obolibrary.org/obo/MONDO_0004741>	"tyrosinemia"	"An autosomal recessive inherited metabolic disorder caused by mutations in the FAH, HPD, and TAT genes. It is characterized by deficiency of one of the enzymes that are involved in the metabolism of tyrosine. It results in elevated blood tyrosine levels and accumulation of tyrosine and its byproducts in the liver, kidney, nervous system and other organs."	""	
<http://purl.obolibrary.org/obo/MONDO_0017307>	"disorder of tyrosine metabolism"		""	
<http://purl.obolibrary.org/obo/MONDO_0004742>	"obsolete primary cerebellar degeneration"	"OBSOLETE. A heterogenous group of degenerative syndromes marked by progressive cerebellar dysfunction either in isolation or combined with other neurologic manifestations. Sporadic and inherited subtypes occur. Inheritance patterns include autosomal dominant, autosomal recessive, and X-linked."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004743>	"hyperhomocysteinemia"	"A serious metabolic condition caused by mutations in the MTHFR gene, medications, or nutritional deficiency. It results in increased levels of homocysteine in the blood. Patients with this condition are at an increased risk for recurrent blood clots formation and cardiovascular accidents."	""	
<http://purl.obolibrary.org/obo/MONDO_0004745>	"priapism"	"Persistent and usually painful erection that lasts for at least four hours in the absence of physical or psychological stimulation, which can be caused by hematologic disorders, including sickle cell disease and leukemia, spinal cord injuries, and medications."	""	
<http://purl.obolibrary.org/obo/MONDO_0005362>	"erectile dysfunction"	"Persistent or recurrent inability to achieve or to maintain an erection during sexual activity."	""	
<http://purl.obolibrary.org/obo/MONDO_0004746>	"myopathy of extraocular muscle"	"A myopathy that involves the extra-ocular muscle."	""	
<http://purl.obolibrary.org/obo/MONDO_0004747>	"cleft lip"	"A congenital abnormality consisting of one or more clefts (splits) in the upper lip, which may be accompanied by a cleft palate; it is the result of the failure of the embryonic parts of the lip to fuse."	""	
<http://purl.obolibrary.org/obo/MONDO_0004749>	"myocardium cancer"	"A malignant neoplasm involving the myocardium."	""	
<http://purl.obolibrary.org/obo/MONDO_0021380>	"neoplasm of myocardium"	"A neoplasm (disease) that involves the myocardium."	""	
<http://purl.obolibrary.org/obo/MONDO_0004752>	"neurofibroma of the heart"	"A rare neurofibroma that affects the heart."	""	
<http://purl.obolibrary.org/obo/MONDO_0004753>	"mechanical strabismus"		""	
<http://purl.obolibrary.org/obo/MONDO_0004754>	"rectal prolapse"	"Protrusion of the rectum through the anus."	""	
<http://purl.obolibrary.org/obo/MONDO_0004755>	"monieziasis"	"Infection of ruminants with tapeworms of the genus Moniezia."	""	
<http://purl.obolibrary.org/obo/MONDO_0004757>	"chronic ethmoidal sinusitis"	"Inflammation of the ethmoid sinus that typically lasts beyond eight weeks. It is caused by infections, allergies, and the presence of sinus polyps or a deviated septum. Signs and symptoms include headache, nasal discharge, swelling in the face, dizziness, and breathing difficulties."	""	
<http://purl.obolibrary.org/obo/MONDO_0005756>	"ethmoid sinusitis"	"An acute or chronic inflammatory process affecting the mucous membrane of the ethmoid sinus."	""	
<http://purl.obolibrary.org/obo/MONDO_0004758>	"scotoma"	"A localized defect in the visual field bordered by an area of normal vision. This occurs with a variety of eye diseases (e.g., retinal diseases and glaucoma); optic nerve diseases, and other conditions."	""	
<http://purl.obolibrary.org/obo/MONDO_0004759>	"zoophilia"		""	
<http://purl.obolibrary.org/obo/MONDO_0004760>	"urethral false passage"		""	
<http://purl.obolibrary.org/obo/MONDO_0004761>	"obsolete urethral diverticulum"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0004762>	"pelvic congestion syndrome"	"A uterine disorder characterised by chronic pelvic pain caused by reflux or obstruction of the ovarian or pelvic veins, often associated with pelvic or vulvar varicosities."	""	
<http://purl.obolibrary.org/obo/MONDO_0004763>	"carotid artery dissection"	"Spontaneous or traumatic separation of the layers of the carotid artery wall. It manifests with headache, neck pain, temporary vision loss, and/or ischemic stroke."	""	
<http://purl.obolibrary.org/obo/MONDO_0004764>	"fibular collateral ligament bursitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0004765>	"intrinsic asthma"	"An asthma that is triggered by factors not related to allergies such as anxiety, stress, exercise, cold air, dry air, hyperventilation, smoke, viruses, chemical irritants, autonomic imbalance, hormonal deficiencies and psychogenic influences. It is characterized by airway obstruction and inflammation that is at least partially reversible with medication. The symptoms include coughing, wheezing, shortness of breath or rapid breathing, and chest tightness."	""	
<http://purl.obolibrary.org/obo/MONDO_0004784>	"allergic asthma"	"A asthma with a basis in a pathological type I hypersensitivity reaction."	""	
<http://purl.obolibrary.org/obo/MONDO_0004766>	"status asthmaticus"	"An acute exacerbation of asthma, characterized by inadequate response to initial bronchodilators."	""	
