?exact	?term	?term_label	?term2	?term_label2	?xrefs
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008644>	"velocardiofacial syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008564>	"DiGeorge syndrome"	"PMID:18636631|NCIT:C2989|ICD9CM:758.32|NCIT:C2989|DOID:12583|NCIT:C2989"
"Shprintzen syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008644>	"velocardiofacial syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018923>	"22q11.2 deletion syndrome"	"PMID:18636631|Orphanet:567|ICD9CM:758.32|Orphanet:567|DOID:12583|Orphanet:567"
"T-lymphocyte deficiency"	<http://purl.obolibrary.org/obo/MONDO_0009451>	"Nezelof syndrome"	<http://purl.obolibrary.org/obo/MONDO_0003780>	"T-cell immunodeficiency"	"OMIM:242700|DOID:613|DOID:2012|DOID:613"
"TACH syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011897>	"leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018656>	"tremor-ataxia-central hypomyelination syndrome"	"DOID:0060794|Orphanet:447896"
"Verner-Morrison syndrome"	<http://purl.obolibrary.org/obo/MONDO_0004058>	"pancreatic cholera"	<http://purl.obolibrary.org/obo/MONDO_0019960>	"VIPoma"	"DOID:6977|Orphanet:97282"
"Verner-Morrison syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019960>	"VIPoma"	<http://purl.obolibrary.org/obo/MONDO_0004058>	"pancreatic cholera"	"Orphanet:97282|DOID:6977"
"WDHA syndrome"	<http://purl.obolibrary.org/obo/MONDO_0004058>	"pancreatic cholera"	<http://purl.obolibrary.org/obo/MONDO_0019960>	"VIPoma"	"NCIT:C3488|Orphanet:97282"
"WDHA syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019960>	"VIPoma"	<http://purl.obolibrary.org/obo/MONDO_0004058>	"pancreatic cholera"	"Orphanet:97282|NCIT:C3488"
"Weil's disease"	<http://purl.obolibrary.org/obo/MONDO_0005825>	"leptospirosis"	<http://purl.obolibrary.org/obo/MONDO_0043004>	"Weil's disease"	"DOID:2297|MESH:D014895"
"Weil's disease"	<http://purl.obolibrary.org/obo/MONDO_0043004>	"Weil's disease"	<http://purl.obolibrary.org/obo/MONDO_0005825>	"leptospirosis"	"MESH:D014895|DOID:2297"
"Winchester syndrome"	<http://purl.obolibrary.org/obo/MONDO_0010201>	"Winchester syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018104>	"obsolete Torg-Winchester syndrome"	"OMIM:277950|Orphanet:3460|MONDO:Lexical|Orphanet:3460"
"Wissler-Fanconi syndrome"	<http://purl.obolibrary.org/obo/MONDO_0006018>	"Wissler syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019355>	"adult-onset Still disease"	"DOID:3047|Orphanet:829"
"Wissler-Fanconi syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019355>	"adult-onset Still disease"	<http://purl.obolibrary.org/obo/MONDO_0006018>	"Wissler syndrome"	"Orphanet:829|DOID:3047"
"adenomatous polyposis coli"	<http://purl.obolibrary.org/obo/MONDO_0021055>	"classic familial adenomatous polyposis"	<http://purl.obolibrary.org/obo/MONDO_0021056>	"familial adenomatous polyposis 1"	"NCIT:C3339|OMIM:genemap2|NCIT:C3339|OMIM:175100"
"adenomatous polyposis coli"	<http://purl.obolibrary.org/obo/MONDO_0021056>	"familial adenomatous polyposis 1"	<http://purl.obolibrary.org/obo/MONDO_0021055>	"classic familial adenomatous polyposis"	"OMIM:genemap2|NCIT:C3339|OMIM:175100|NCIT:C3339"
"adrenal hypoplasia congenita"	<http://purl.obolibrary.org/obo/MONDO_0010264>	"X-linked adrenal hypoplasia congenita"	<http://purl.obolibrary.org/obo/MONDO_0016241>	"alternating hemiplegia of childhood"	"NCIT:C123725|NCIT:C35261"
"adrenal hypoplasia congenita"	<http://purl.obolibrary.org/obo/MONDO_0016241>	"alternating hemiplegia of childhood"	<http://purl.obolibrary.org/obo/MONDO_0010264>	"X-linked adrenal hypoplasia congenita"	"NCIT:C35261|NCIT:C123725"
"adrenocortical insufficiency"	<http://purl.obolibrary.org/obo/MONDO_0000004>	"adrenocortical insufficiency"	<http://purl.obolibrary.org/obo/MONDO_0013065>	"premature ovarian failure 7"	"NCIT:C26691|OMIM:genemap2|NCIT:C26691|OMIM:612964"
"adrenocortical insufficiency"	<http://purl.obolibrary.org/obo/MONDO_0013065>	"premature ovarian failure 7"	<http://purl.obolibrary.org/obo/MONDO_0000004>	"adrenocortical insufficiency"	"OMIM:genemap2|NCIT:C26691|OMIM:612964|NCIT:C26691"
"anal canal neuroendocrine neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0015069>	"neuroendocrine tumor of the anal canal"	<http://purl.obolibrary.org/obo/MONDO_0003504>	"anal canal neuroendocrine neoplasm"	"MONDO:patterns/location|NCIT:C5603|MONDO:patterns/location|MONDO:patterns/location"
"anal canal neuroendocrine neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0003504>	"anal canal neuroendocrine neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0015069>	"neuroendocrine tumor of the anal canal"	"NCIT:C5603|MONDO:patterns/location|MONDO:patterns/location|MONDO:patterns/location"
"apert syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019796>	"acrocephalosyndactyly"	<http://purl.obolibrary.org/obo/MONDO_0007041>	"apert syndrome"	"DOID:12960|OMIM:101200"
"apert syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007041>	"apert syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019796>	"acrocephalosyndactyly"	"OMIM:101200|DOID:12960"
"atriodigital dysplasia"	<http://purl.obolibrary.org/obo/MONDO_0007732>	"Holt-Oram syndrome"	<http://purl.obolibrary.org/obo/MONDO_0016432>	"heart-hand syndrome"	"OMIM:142900|Orphanet:228184|DOID:0060468|Orphanet:228184"
"autoimmune adrenalitis"	<http://purl.obolibrary.org/obo/MONDO_0100480>	"autoimmune primary adrenal insufficiency"	<http://purl.obolibrary.org/obo/MONDO_0015129>	"chronic primary adrenal insufficiency"	"NCIT:C113814|Orphanet:85138"
"autoimmune adrenalitis"	<http://purl.obolibrary.org/obo/MONDO_0015129>	"chronic primary adrenal insufficiency"	<http://purl.obolibrary.org/obo/MONDO_0100480>	"autoimmune primary adrenal insufficiency"	"Orphanet:85138|NCIT:C113814"
"autosomal recessive axonal Charcot-Marie-Tooth disease type 2T"	<http://purl.obolibrary.org/obo/MONDO_0014866>	"Charcot-Marie-Tooth disease axonal type 2T"	<http://purl.obolibrary.org/obo/MONDO_0044640>	"Charcot-Marie-Tooth disease type 2T"	"DOID:0110160|Orphanet:495274"
"autosomal recessive axonal Charcot-Marie-Tooth disease type 2T"	<http://purl.obolibrary.org/obo/MONDO_0044640>	"Charcot-Marie-Tooth disease type 2T"	<http://purl.obolibrary.org/obo/MONDO_0014866>	"Charcot-Marie-Tooth disease axonal type 2T"	"Orphanet:495274|DOID:0110160"
"benign lipomatous tumor"	<http://purl.obolibrary.org/obo/MONDO_0005106>	"lipoma"	<http://purl.obolibrary.org/obo/MONDO_0044983>	"benign lipomatous neoplasm"	"DOID:3315|NCIT:C4502"
"benign lipomatous tumor"	<http://purl.obolibrary.org/obo/MONDO_0044983>	"benign lipomatous neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0005106>	"lipoma"	"NCIT:C4502|DOID:3315"
"benign osseous neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0000631>	"bone benign neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0045052>	"benign osteogenic neoplasm"	"NCIT:C4880|NCIT:C6602"
"benign osseous neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0045052>	"benign osteogenic neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0000631>	"bone benign neoplasm"	"NCIT:C6602|NCIT:C4880"
"benign osseous tumor"	<http://purl.obolibrary.org/obo/MONDO_0000631>	"bone benign neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0045052>	"benign osteogenic neoplasm"	"NCIT:C4880|NCIT:C6602"
"benign osseous tumor"	<http://purl.obolibrary.org/obo/MONDO_0045052>	"benign osteogenic neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0000631>	"bone benign neoplasm"	"NCIT:C6602|NCIT:C4880"
"benign tumor of adipose tissue"	<http://purl.obolibrary.org/obo/MONDO_0005106>	"lipoma"	<http://purl.obolibrary.org/obo/MONDO_0044983>	"benign lipomatous neoplasm"	"NCIT:C4502|NCIT:C4502|DOID:3315|NCIT:C4502"
"benign tumor of adipose tissue"	<http://purl.obolibrary.org/obo/MONDO_0044983>	"benign lipomatous neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0005106>	"lipoma"	"NCIT:C4502|NCIT:C4502|NCIT:C4502|DOID:3315"
"cerebelloparenchymal disorder IV"	<http://purl.obolibrary.org/obo/MONDO_0008944>	"Joubert syndrome 1"	<http://purl.obolibrary.org/obo/MONDO_0018772>	"Joubert syndrome"	"DOID:0110980|Orphanet:475"
"cerebelloparenchymal disorder IV"	<http://purl.obolibrary.org/obo/MONDO_0018772>	"Joubert syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008944>	"Joubert syndrome 1"	"Orphanet:475|DOID:0110980"
"cerebroretinal microangiopathy with calcifications and cysts"	<http://purl.obolibrary.org/obo/MONDO_0024564>	"cerebroretinal microangiopathy with calcifications and cysts 1"	<http://purl.obolibrary.org/obo/MONDO_0012815>	"Coats plus syndrome"	"OMIM:genemap2|Orphanet:313838|OMIM:genemap2|OMIM:612199|OMIM:genemap2|MONDO:Lexical|OMIM:612199|Orphanet:313838|OMIM:612199|OMIM:612199|OMIM:612199|MONDO:Lexical"
"cerebroretinal microangiopathy with calcifications and cysts"	<http://purl.obolibrary.org/obo/MONDO_0012815>	"Coats plus syndrome"	<http://purl.obolibrary.org/obo/MONDO_0024564>	"cerebroretinal microangiopathy with calcifications and cysts 1"	"Orphanet:313838|OMIM:genemap2|Orphanet:313838|OMIM:612199|OMIM:612199|OMIM:genemap2|OMIM:612199|OMIM:612199|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:612199"
"cervical carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0008614>	"suppressor of tumorigenicity 3"	<http://purl.obolibrary.org/obo/MONDO_0005131>	"cervical carcinoma"	"OMIM:genemap2|NCIT:C9039|OMIM:191181|NCIT:C9039"
"cholestasis, benign recurrent intrahepatic"	<http://purl.obolibrary.org/obo/MONDO_0009469>	"benign recurrent intrahepatic cholestasis type 1"	<http://purl.obolibrary.org/obo/MONDO_0019008>	"benign recurrent intrahepatic cholestasis"	"OMIM:genemap2|OMIMPS:243300|OMIM:243300|OMIMPS:243300"
"cholestasis, benign recurrent intrahepatic"	<http://purl.obolibrary.org/obo/MONDO_0019008>	"benign recurrent intrahepatic cholestasis"	<http://purl.obolibrary.org/obo/MONDO_0009469>	"benign recurrent intrahepatic cholestasis type 1"	"OMIMPS:243300|OMIM:genemap2|OMIMPS:243300|OMIM:243300"
"cholesteatoma"	<http://purl.obolibrary.org/obo/MONDO_0006533>	"cholesteatoma of middle ear"	<http://purl.obolibrary.org/obo/MONDO_0006530>	"cholesteatoma"	"DOID:10964|MONDO:ambiguous"
"combined small and large cell lung cancer"	<http://purl.obolibrary.org/obo/MONDO_0004100>	"lung mixed small cell and squamous cell carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0003438>	"combined small cell lung carcinoma"	"DOID:7081|NCIT:C9137"
"combined small and large cell lung cancer"	<http://purl.obolibrary.org/obo/MONDO_0003438>	"combined small cell lung carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0004100>	"lung mixed small cell and squamous cell carcinoma"	"NCIT:C9137|DOID:7081"
"complete transposition"	<http://purl.obolibrary.org/obo/MONDO_0010029>	"situs inversus"	<http://purl.obolibrary.org/obo/MONDO_0000153>	"transposition of the great arteries"	"DOID:758|Orphanet:216675"
"cone-rod dystrophy and hearing loss"	<http://purl.obolibrary.org/obo/MONDO_0014980>	"cone-rod dystrophy and hearing loss"	<http://purl.obolibrary.org/obo/MONDO_0020778>	"cone-rod dystrophy and hearing loss 1"	"OMIM:617236|OMIM:genemap2|OMIM:617236|OMIM:617236"
"cone-rod dystrophy and hearing loss"	<http://purl.obolibrary.org/obo/MONDO_0020778>	"cone-rod dystrophy and hearing loss 1"	<http://purl.obolibrary.org/obo/MONDO_0014980>	"cone-rod dystrophy and hearing loss"	"OMIM:genemap2|OMIM:617236|OMIM:617236|OMIM:617236"
"congenital anterior megalophthalmia"	<http://purl.obolibrary.org/obo/MONDO_0009576>	"megalocornea"	<http://purl.obolibrary.org/obo/MONDO_0010649>	"isolated congenital megalocornea"	"DOID:0060305|Orphanet:91489"
"congenital anterior megalophthalmia"	<http://purl.obolibrary.org/obo/MONDO_0010649>	"isolated congenital megalocornea"	<http://purl.obolibrary.org/obo/MONDO_0009576>	"megalocornea"	"Orphanet:91489|DOID:0060305"
"cutis laxa, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0019571>	"autosomal dominant cutis laxa"	<http://purl.obolibrary.org/obo/MONDO_0007411>	"cutis laxa, autosomal dominant 1"	"MONDO:patterns/autosomal_dominant|OMIM:genemap2|MONDO:patterns/autosomal_dominant|OMIM:123700"
"cutis laxa, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0007411>	"cutis laxa, autosomal dominant 1"	<http://purl.obolibrary.org/obo/MONDO_0019571>	"autosomal dominant cutis laxa"	"OMIM:genemap2|MONDO:patterns/autosomal_dominant|OMIM:123700|MONDO:patterns/autosomal_dominant"
"diabetes mellitus, noninsulin-dependent, 2"	<http://purl.obolibrary.org/obo/MONDO_0011072>	"diabetes mellitus, noninsulin-dependent, 2"	<http://purl.obolibrary.org/obo/MONDO_0005148>	"type 2 diabetes mellitus"	"OMIM:601407|OMIM:genemap2|OMIM:601407|OMIM:125853|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:125853"
"diabetes mellitus, noninsulin-dependent, 2"	<http://purl.obolibrary.org/obo/MONDO_0005148>	"type 2 diabetes mellitus"	<http://purl.obolibrary.org/obo/MONDO_0011072>	"diabetes mellitus, noninsulin-dependent, 2"	"OMIM:genemap2|OMIM:601407|OMIM:genemap2|MONDO:Lexical|OMIM:125853|OMIM:601407|OMIM:125853|MONDO:Lexical"
"distal spinal muscular atrophy type 5"	<http://purl.obolibrary.org/obo/MONDO_0015353>	"neuronopathy, distal hereditary motor, type 5A"	<http://purl.obolibrary.org/obo/MONDO_0100350>	"neuronopathy, distal hereditary motor, type 5"	"Orphanet:139536|Orphanet:139536"
"early-onset desmin-related myopathy"	<http://purl.obolibrary.org/obo/MONDO_0011271>	"rigid spine muscular dystrophy 1"	<http://purl.obolibrary.org/obo/MONDO_0019398>	"desmin-related myopathy with Mallory body-like inclusions"	"DOID:0110633|Orphanet:84132"
"early-onset desmin-related myopathy"	<http://purl.obolibrary.org/obo/MONDO_0019398>	"desmin-related myopathy with Mallory body-like inclusions"	<http://purl.obolibrary.org/obo/MONDO_0011271>	"rigid spine muscular dystrophy 1"	"Orphanet:84132|DOID:0110633"
"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	<http://purl.obolibrary.org/obo/MONDO_0014960>	"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	<http://purl.obolibrary.org/obo/MONDO_0020781>	"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 1"	"OMIM:617186|OMIM:genemap2|OMIM:617186|OMIM:617186"
"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	<http://purl.obolibrary.org/obo/MONDO_0020781>	"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 1"	<http://purl.obolibrary.org/obo/MONDO_0014960>	"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	"OMIM:genemap2|OMIM:617186|OMIM:617186|OMIM:617186"
"epidemic encephalitis"	<http://purl.obolibrary.org/obo/MONDO_0006009>	"viral encephalitis"	<http://purl.obolibrary.org/obo/MONDO_0019384>	"encephalitis lethargica"	"DOID:646|NCIT:C34576"
"epidemic encephalitis"	<http://purl.obolibrary.org/obo/MONDO_0019384>	"encephalitis lethargica"	<http://purl.obolibrary.org/obo/MONDO_0006009>	"viral encephalitis"	"NCIT:C34576|DOID:646"
"epileptic encephalopathy, early infantile, 15"	<http://purl.obolibrary.org/obo/MONDO_0014003>	"developmental and epileptic encephalopathy, 15"	<http://purl.obolibrary.org/obo/MONDO_0100062>	"developmental and epileptic encephalopathy"	"OMIM:615006|DOID:0050709|MONDO:Lexical|DOID:0050709"
"euthyroid goiter"	<http://purl.obolibrary.org/obo/MONDO_0001658>	"nontoxic goiter"	<http://purl.obolibrary.org/obo/MONDO_0007681>	"goiter, multinodular 1, with or without Sertoli-Leydig cell tumors"	"NCIT:C35271|OMIM:138800"
"euthyroid goiter"	<http://purl.obolibrary.org/obo/MONDO_0007681>	"goiter, multinodular 1, with or without Sertoli-Leydig cell tumors"	<http://purl.obolibrary.org/obo/MONDO_0001658>	"nontoxic goiter"	"OMIM:138800|NCIT:C35271"
"familial benign hypercalcemia"	<http://purl.obolibrary.org/obo/MONDO_0010837>	"primary hyperparathyroidism"	<http://purl.obolibrary.org/obo/MONDO_0018458>	"familial hypocalciuric hypercalcemia"	"DOID:11202|Orphanet:405|DOID:11202|DOID:0060699"
"familial benign hypercalcemia"	<http://purl.obolibrary.org/obo/MONDO_0018458>	"familial hypocalciuric hypercalcemia"	<http://purl.obolibrary.org/obo/MONDO_0010837>	"primary hyperparathyroidism"	"Orphanet:405|DOID:11202|DOID:0060699|DOID:11202"
"familial hypoalphalipoproteinemia"	<http://purl.obolibrary.org/obo/MONDO_0008783>	"Tangier disease"	<http://purl.obolibrary.org/obo/MONDO_0100189>	"apolipoprotein A-I deficiency"	"DOID:1388|Orphanet:425"
"familial hypoalphalipoproteinemia"	<http://purl.obolibrary.org/obo/MONDO_0100189>	"apolipoprotein A-I deficiency"	<http://purl.obolibrary.org/obo/MONDO_0008783>	"Tangier disease"	"Orphanet:425|DOID:1388"
"familial periodic paralysis"	<http://purl.obolibrary.org/obo/MONDO_0008223>	"hypokalemic periodic paralysis"	<http://purl.obolibrary.org/obo/MONDO_0000995>	"familial periodic paralysis"	"DOID:14452|NCIT:C84709|DOID:14452|MESH:D010245"
"familial periodic paralysis"	<http://purl.obolibrary.org/obo/MONDO_0000995>	"familial periodic paralysis"	<http://purl.obolibrary.org/obo/MONDO_0008223>	"hypokalemic periodic paralysis"	"NCIT:C84709|DOID:14452|MESH:D010245|DOID:14452"
"familial platelet disorder with associated myeloid malignancy"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	"Orphanet:71290|https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290"
"familial platelet disorder with associated myeloid malignancy"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	"https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290|Orphanet:71290"
"familial platelet syndrome with predisposition to acute myelogenous leukemia"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	"Orphanet:71290|https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290"
"familial platelet syndrome with predisposition to acute myelogenous leukemia"	<http://purl.obolibrary.org/obo/MONDO_0100083>	"hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1"	<http://purl.obolibrary.org/obo/MONDO_0011071>	"hereditary thrombocytopenia and hematologic cancer predisposition syndrome"	"https://clinicalgenome.org/affiliation/50034/|Orphanet:71290|Orphanet:71290|Orphanet:71290"
"fibrodysplasia ossificans progressiva"	<http://purl.obolibrary.org/obo/MONDO_0007606>	"fibrodysplasia ossificans progressiva"	<http://purl.obolibrary.org/obo/MONDO_0003964>	"myositis ossificans"	"OMIM:135100|MESH:D009221|MONDO:Lexical|MESH:D009221"
"glucocerebrosidase deficiency"	<http://purl.obolibrary.org/obo/MONDO_0009265>	"Gaucher disease type I"	<http://purl.obolibrary.org/obo/MONDO_0018150>	"Gaucher disease"	"DOID:0110957|Orphanet:355"
"glucocerebrosidase deficiency"	<http://purl.obolibrary.org/obo/MONDO_0018150>	"Gaucher disease"	<http://purl.obolibrary.org/obo/MONDO_0009265>	"Gaucher disease type I"	"Orphanet:355|DOID:0110957"
"growth hormone producing pituitary tumor"	<http://purl.obolibrary.org/obo/MONDO_0003604>	"functioning pituitary gland neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0019927>	"growth hormone-producing pituitary gland neoplasm"	"DOID:5716|NCIT:C7911"
"growth hormone producing pituitary tumor"	<http://purl.obolibrary.org/obo/MONDO_0019927>	"growth hormone-producing pituitary gland neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0003604>	"functioning pituitary gland neoplasm"	"NCIT:C7911|DOID:5716"
"hay fever"	<http://purl.obolibrary.org/obo/MONDO_0011786>	"allergic rhinitis"	<http://purl.obolibrary.org/obo/MONDO_0005324>	"seasonal allergic rhinitis"	"DOID:4481|NCIT:C92188"
"hay fever"	<http://purl.obolibrary.org/obo/MONDO_0005324>	"seasonal allergic rhinitis"	<http://purl.obolibrary.org/obo/MONDO_0011786>	"allergic rhinitis"	"NCIT:C92188|DOID:4481"
"hereditary motor and sensory neuropathy"	<http://purl.obolibrary.org/obo/MONDO_0018995>	"Charcot-Marie-Tooth disease type 4"	<http://purl.obolibrary.org/obo/MONDO_0015626>	"Charcot-Marie-Tooth disease"	"DOID:0050541|NCIT:C75467"
"hereditary motor and sensory neuropathy"	<http://purl.obolibrary.org/obo/MONDO_0015626>	"Charcot-Marie-Tooth disease"	<http://purl.obolibrary.org/obo/MONDO_0018995>	"Charcot-Marie-Tooth disease type 4"	"NCIT:C75467|DOID:0050541"
"hereditary ovarian cancer"	<http://purl.obolibrary.org/obo/MONDO_0004033>	"familial ovarian carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0016248>	"familial ovarian cancer"	"NCIT:C36102|MONDO:patterns/hereditary"
"herpes simplex encephalitis, susceptibility to, 7"	<http://purl.obolibrary.org/obo/MONDO_0014680>	"herpes simplex encephalitis, susceptibility to, 7"	<http://purl.obolibrary.org/obo/MONDO_0030313>	"encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 10"	"OMIM:616532|OMIM:619396"
"hyperprolactinaemia"	<http://purl.obolibrary.org/obo/MONDO_0024305>	"acquired hyperprolactinemia"	<http://purl.obolibrary.org/obo/MONDO_0005804>	"hyperprolactinemia"	"DOID:12700|MESH:D006966"
"hyperprolactinaemia"	<http://purl.obolibrary.org/obo/MONDO_0005804>	"hyperprolactinemia"	<http://purl.obolibrary.org/obo/MONDO_0024305>	"acquired hyperprolactinemia"	"MESH:D006966|DOID:12700"
"hypocalcemia, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0018543>	"autosomal dominant hypocalcemia"	<http://purl.obolibrary.org/obo/MONDO_0011013>	"autosomal dominant hypocalcemia 1"	"GARD:0002877|OMIM:genemap2|GARD:0002877|OMIM:601198"
"hypocalcemia, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0011013>	"autosomal dominant hypocalcemia 1"	<http://purl.obolibrary.org/obo/MONDO_0018543>	"autosomal dominant hypocalcemia"	"OMIM:genemap2|GARD:0002877|OMIM:601198|GARD:0002877"
"hypomagnesemia, seizures, and mental retardation"	<http://purl.obolibrary.org/obo/MONDO_0014631>	"hypomagnesemia, seizures, and intellectual disability"	<http://purl.obolibrary.org/obo/MONDO_0020787>	"hypomagnesemia, seizures, and intellectual disability 1"	"OMIM:616418|OMIM:genemap2|OMIM:616418|OMIM:616418|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:616418"
"hypomagnesemia, seizures, and mental retardation"	<http://purl.obolibrary.org/obo/MONDO_0020787>	"hypomagnesemia, seizures, and intellectual disability 1"	<http://purl.obolibrary.org/obo/MONDO_0014631>	"hypomagnesemia, seizures, and intellectual disability"	"OMIM:genemap2|OMIM:616418|OMIM:genemap2|MONDO:Lexical|OMIM:616418|OMIM:616418|OMIM:616418|MONDO:Lexical"
"infantile hemangiopericytoma"	<http://purl.obolibrary.org/obo/MONDO_0016824>	"infantile myofibromatosis"	<http://purl.obolibrary.org/obo/MONDO_0006312>	"myofibroma"	"NCIT:C3742|NCIT:C7052"
"inflammatory bowel disease, early-onset, autosomal recessive"	<http://purl.obolibrary.org/obo/MONDO_0013153>	"inflammatory bowel disease 28"	<http://purl.obolibrary.org/obo/MONDO_0030314>	"inflammatory bowel disease (infantile ulcerative colitis) 31, autosomal recessive"	"OMIM:613148|OMIM:619398"
"insulin resistance, severe, digenic"	<http://purl.obolibrary.org/obo/MONDO_0011448>	"PPARG-related familial partial lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0005148>	"type 2 diabetes mellitus"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:125853|OMIM:604367|OMIM:genemap2|OMIM:604367|OMIM:125853"
"insulin resistance, severe, digenic"	<http://purl.obolibrary.org/obo/MONDO_0005148>	"type 2 diabetes mellitus"	<http://purl.obolibrary.org/obo/MONDO_0011448>	"PPARG-related familial partial lipodystrophy"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:604367|OMIM:125853|OMIM:genemap2|OMIM:125853|OMIM:604367"
"insulin-producing tumor of islet cells"	<http://purl.obolibrary.org/obo/MONDO_0024677>	"pancreatic insulinoma"	<http://purl.obolibrary.org/obo/MONDO_0005048>	"pancreatic insulin-producing neuroendocrine tumor"	"DOID:3892|NCIT:C3140"
"insulin-producing tumor of islet cells"	<http://purl.obolibrary.org/obo/MONDO_0005048>	"pancreatic insulin-producing neuroendocrine tumor"	<http://purl.obolibrary.org/obo/MONDO_0024677>	"pancreatic insulinoma"	"NCIT:C3140|DOID:3892"
"intraocular melanoma"	<http://purl.obolibrary.org/obo/MONDO_0006325>	"ocular melanoma"	<http://purl.obolibrary.org/obo/MONDO_0006486>	"uveal melanoma"	"DOID:1752|NCIT:C7712"
"intraocular melanoma"	<http://purl.obolibrary.org/obo/MONDO_0006486>	"uveal melanoma"	<http://purl.obolibrary.org/obo/MONDO_0006325>	"ocular melanoma"	"NCIT:C7712|DOID:1752"
"juvenile neuronal ceroid lipofuscinosis"	<http://purl.obolibrary.org/obo/MONDO_0019262>	"juvenile neuronal ceroid lipofuscinosis"	<http://purl.obolibrary.org/obo/MONDO_0008767>	"neuronal ceroid lipofuscinosis 3"	"DOID:0050756|DOID:0110731"
"juvenile neuronal ceroid lipofuscinosis"	<http://purl.obolibrary.org/obo/MONDO_0008767>	"neuronal ceroid lipofuscinosis 3"	<http://purl.obolibrary.org/obo/MONDO_0019262>	"juvenile neuronal ceroid lipofuscinosis"	"DOID:0110731|DOID:0050756"
"leukodystrophy with oligodontia"	<http://purl.obolibrary.org/obo/MONDO_0011897>	"leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome"	<http://purl.obolibrary.org/obo/MONDO_0019177>	"odontoleukodystrophy"	"DOID:0060794|Orphanet:77295"
