?term	?term_label	?related	?xref2
<http://purl.obolibrary.org/obo/MONDO_0009382>	"PSHB"	"hyperbilirubinemia, shunt, primary"	"OMIM:237800"
<http://purl.obolibrary.org/obo/MONDO_0009382>	"PSHB"	"hyperbilirubinemia, shunt, primary"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011824>	"AUTS8"	"autism, susceptibility to, 8"	"OMIM:607373"
<http://purl.obolibrary.org/obo/MONDO_0011824>	"AUTS8"	"autism, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012567>	"AUTS12"	"autism, susceptibility to, 12"	"OMIM:610838"
<http://purl.obolibrary.org/obo/MONDO_0012567>	"AUTS12"	"autism, susceptibility to, 12"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013682>	"VUR4"	"vesicoureteral reflux 4"	"OMIM:614317"
<http://purl.obolibrary.org/obo/MONDO_0013682>	"VUR4"	"vesicoureteral reflux 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012619>	"MRT11"	"mental retardation, autosomal recessive 11"	"OMIM:611097"
<http://purl.obolibrary.org/obo/MONDO_0012619>	"MRT11"	"mental retardation, autosomal recessive 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012066>	"ATFB1"	"atrial fibrillation, familial, 1"	"OMIM:608583"
<http://purl.obolibrary.org/obo/MONDO_0012066>	"ATFB1"	"atrial fibrillation, familial, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012079>	"ASPG2"	"ASPERGER syndrome, susceptibility to, 2"	"OMIM:608631"
<http://purl.obolibrary.org/obo/MONDO_0012079>	"ASPG2"	"ASPERGER syndrome, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011220>	"PARK3"	"Parkinson disease 3, autosomal dominant"	"OMIM:602404"
<http://purl.obolibrary.org/obo/MONDO_0011220>	"PARK3"	"Parkinson disease 3, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013868>	"POROK7"	"porokeratosis 7, disseminated superficial actinic type"	"OMIM:614714"
<http://purl.obolibrary.org/obo/MONDO_0013868>	"POROK7"	"porokeratosis 7, disseminated superficial actinic type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012846>	"GEFSP6"	"generalized epilepsy with febrile seizures plus, type 6"	"OMIM:612279"
<http://purl.obolibrary.org/obo/MONDO_0012846>	"GEFSP6"	"generalized epilepsy with febrile seizures plus, type 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008614>	"ST3"	"suppressor of tumorigenicity 3"	"OMIM:191181"
<http://purl.obolibrary.org/obo/MONDO_0008614>	"ST3"	"suppressor of tumorigenicity 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013697>	"MRT29"	"mental retardation, autosomal recessive 29"	"OMIM:614333"
<http://purl.obolibrary.org/obo/MONDO_0013697>	"MRT29"	"mental retardation, autosomal recessive 29"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013508>	"MYP19"	"myopia 19, autosomal dominant"	"OMIM:613969"
<http://purl.obolibrary.org/obo/MONDO_0013508>	"MYP19"	"myopia 19, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012045>	"MYP5"	"myopia 5, autosomal dominant"	"OMIM:608474"
<http://purl.obolibrary.org/obo/MONDO_0012045>	"MYP5"	"myopia 5, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012227>	"MYP7"	"myopia 7"	"OMIM:609256"
<http://purl.obolibrary.org/obo/MONDO_0012227>	"MYP7"	"myopia 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012655>	"EJM4"	"myoclonic epilepsy, juvenile, susceptibility to, 4"	"OMIM:611364"
<http://purl.obolibrary.org/obo/MONDO_0012655>	"EJM4"	"myoclonic epilepsy, juvenile, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013057>	"PSORS12"	"psoriasis 12, susceptibility to"	"OMIM:612950"
<http://purl.obolibrary.org/obo/MONDO_0013057>	"PSORS12"	"psoriasis 12, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007169>	"ATHS"	"atherosclerosis susceptibility"	"OMIM:108725"
<http://purl.obolibrary.org/obo/MONDO_0007169>	"ATHS"	"atherosclerosis susceptibility"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012623>	"MRT4"	"intellectual disability, autosomal recessive 4"	"OMIM:611107"
<http://purl.obolibrary.org/obo/MONDO_0012623>	"MRT4"	"intellectual disability, autosomal recessive 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013706>	"MRT23"	"intellectual disability, autosomal recessive 23"	"OMIM:614344"
<http://purl.obolibrary.org/obo/MONDO_0013706>	"MRT23"	"intellectual disability, autosomal recessive 23"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013988>	"CHTD3"	"congenital heart defects, multiple types, 3"	"OMIM:614954"
<http://purl.obolibrary.org/obo/MONDO_0013988>	"CHTD3"	"congenital heart defects, multiple types, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012673>	"CRCS2"	"colorectal cancer, susceptibility to, 2"	"OMIM:611469"
<http://purl.obolibrary.org/obo/MONDO_0012673>	"CRCS2"	"colorectal cancer, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013709>	"MRT28"	"intellectual disability, autosomal recessive 28"	"OMIM:614347"
<http://purl.obolibrary.org/obo/MONDO_0013709>	"MRT28"	"intellectual disability, autosomal recessive 28"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012443>	"ANIB4"	"aneurysm, intracranial BERRY, 4"	"OMIM:610213"
<http://purl.obolibrary.org/obo/MONDO_0012443>	"ANIB4"	"aneurysm, intracranial BERRY, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011307>	"SCZD2"	"schizophrenia 2"	"OMIM:603342"
<http://purl.obolibrary.org/obo/MONDO_0011307>	"SCZD2"	"schizophrenia 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012226>	"FEB5"	"febrile seizures, familial, 5"	"OMIM:609255"
<http://purl.obolibrary.org/obo/MONDO_0012226>	"FEB5"	"febrile seizures, familial, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011860>	"LPRS2"	"leprosy, susceptibility to, 2"	"OMIM:607572"
<http://purl.obolibrary.org/obo/MONDO_0011860>	"LPRS2"	"leprosy, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012229>	"MYP9"	"myopia 9"	"OMIM:609258"
<http://purl.obolibrary.org/obo/MONDO_0012229>	"MYP9"	"myopia 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013492>	"APMR3"	"alopecia-intellectual disability syndrome 3"	"OMIM:613930"
<http://purl.obolibrary.org/obo/MONDO_0013492>	"APMR3"	"alopecia-intellectual disability syndrome 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012872>	"THPH9"	"thrombophilia, familial, due to decreased release of tissue plasminogen activator"	"OMIM:612348"
<http://purl.obolibrary.org/obo/MONDO_0012872>	"THPH9"	"thrombophilia, familial, due to decreased release of tissue plasminogen activator"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010070>	"BCYM1A"	"brachyolmia type 1, Hobaek type"	"OMIM:271530"
<http://purl.obolibrary.org/obo/MONDO_0010070>	"BCYM1A"	"brachyolmia type 1, Hobaek type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010251>	"MRX50"	"intellectual disability, X-linked 50"	"OMIM:300115"
<http://purl.obolibrary.org/obo/MONDO_0010251>	"MRX50"	"intellectual disability, X-linked 50"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013101>	"BCC2"	"basal cell carcinoma, susceptibility to, 2"	"OMIM:613058"
<http://purl.obolibrary.org/obo/MONDO_0013101>	"BCC2"	"basal cell carcinoma, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012230>	"MYP10"	"myopia 10"	"OMIM:609259"
<http://purl.obolibrary.org/obo/MONDO_0012230>	"MYP10"	"myopia 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012569>	"MMVP3"	"mitral valve prolapse, myxomatous 3"	"OMIM:610840"
<http://purl.obolibrary.org/obo/MONDO_0012569>	"MMVP3"	"mitral valve prolapse, myxomatous 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011956>	"AUTS3"	"autism, susceptibility to, 3"	"OMIM:608049"
<http://purl.obolibrary.org/obo/MONDO_0011956>	"AUTS3"	"autism, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012027>	"AIS2"	"autoimmune disease, susceptibility to, 2"	"OMIM:608391"
<http://purl.obolibrary.org/obo/MONDO_0012027>	"AIS2"	"autoimmune disease, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013665>	"EJM9"	"epilepsy, juvenile myoclonic, susceptibility to, 9"	"OMIM:614280"
<http://purl.obolibrary.org/obo/MONDO_0013665>	"EJM9"	"epilepsy, juvenile myoclonic, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012228>	"MYP8"	"myopia 8"	"OMIM:609257"
<http://purl.obolibrary.org/obo/MONDO_0012228>	"MYP8"	"myopia 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013102>	"BCC3"	"basal cell carcinoma, susceptibility to, 3"	"OMIM:613059"
<http://purl.obolibrary.org/obo/MONDO_0013102>	"BCC3"	"basal cell carcinoma, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010251>	"MRX50"	"mental retardation, X-linked 50"	"OMIM:300115"
<http://purl.obolibrary.org/obo/MONDO_0010251>	"MRX50"	"mental retardation, X-linked 50"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012113>	"EIG3"	"epilepsy, idiopathic generalized, susceptibility to, 3"	"OMIM:608762"
<http://purl.obolibrary.org/obo/MONDO_0012113>	"EIG3"	"epilepsy, idiopathic generalized, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012628>	"CHDS8"	"coronary heart disease, susceptibility to, 8"	"OMIM:611139"
<http://purl.obolibrary.org/obo/MONDO_0012628>	"CHDS8"	"coronary heart disease, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012781>	"CELIAC12"	"celiac disease, susceptibility to, 12"	"OMIM:612010"
<http://purl.obolibrary.org/obo/MONDO_0012781>	"CELIAC12"	"celiac disease, susceptibility to, 12"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010685>	"MYP1"	"myopia 1, X-linked"	"OMIM:310460"
<http://purl.obolibrary.org/obo/MONDO_0010685>	"MYP1"	"myopia 1, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012568>	"OS4"	"osteoarthritis susceptibility 4"	"OMIM:610839"
<http://purl.obolibrary.org/obo/MONDO_0012568>	"OS4"	"osteoarthritis susceptibility 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012896>	"PSORS10"	"psoriasis 10, susceptibility to"	"OMIM:612410"
<http://purl.obolibrary.org/obo/MONDO_0012896>	"PSORS10"	"psoriasis 10, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010324>	"MRX81"	"intellectual disability, X-linked 81"	"OMIM:300433"
<http://purl.obolibrary.org/obo/MONDO_0010324>	"MRX81"	"intellectual disability, X-linked 81"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010365>	"CFTDX"	"myopathy, congenital, with fiber-type disproportion, X-linked"	"OMIM:300580"
<http://purl.obolibrary.org/obo/MONDO_0010365>	"CFTDX"	"myopathy, congenital, with fiber-type disproportion, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012366>	"GBD3"	"gallbladder disease 3"	"OMIM:609919"
<http://purl.obolibrary.org/obo/MONDO_0012366>	"GBD3"	"gallbladder disease 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012533>	"AUTS7"	"autism, susceptibility to, 7"	"OMIM:610676"
<http://purl.obolibrary.org/obo/MONDO_0012533>	"AUTS7"	"autism, susceptibility to, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013707>	"MRT24"	"mental retardation, autosomal recessive 24"	"OMIM:614345"
<http://purl.obolibrary.org/obo/MONDO_0013707>	"MRT24"	"mental retardation, autosomal recessive 24"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011222>	"GLC1D"	"glaucoma 1, open angle, D"	"OMIM:602429"
<http://purl.obolibrary.org/obo/MONDO_0011222>	"GLC1D"	"glaucoma 1, open angle, D"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013654>	"ANIB11"	"aneurysm, intracranial BERRY, 11"	"OMIM:614252"
<http://purl.obolibrary.org/obo/MONDO_0013654>	"ANIB11"	"aneurysm, intracranial BERRY, 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012811>	"ANIB8"	"aneurysm, intracranial BERRY, 8"	"OMIM:612162"
<http://purl.obolibrary.org/obo/MONDO_0012811>	"ANIB8"	"aneurysm, intracranial BERRY, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012015>	"NYS3"	"NYSTAGMUS 3, congenital, autosomal dominant"	"OMIM:608345"
<http://purl.obolibrary.org/obo/MONDO_0012015>	"NYS3"	"NYSTAGMUS 3, congenital, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011915>	"MMVP2"	"mitral valve prolapse, myxomatous 2"	"OMIM:607829"
<http://purl.obolibrary.org/obo/MONDO_0011915>	"MMVP2"	"mitral valve prolapse, myxomatous 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010228>	"DFNX3"	"deafness, X-linked 3"	"OMIM:300030"
<http://purl.obolibrary.org/obo/MONDO_0010228>	"DFNX3"	"deafness, X-linked 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011755>	"SLSN3"	"SENIOR-Loken syndrome 3"	"OMIM:606995"
<http://purl.obolibrary.org/obo/MONDO_0011755>	"SLSN3"	"SENIOR-Loken syndrome 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012972>	"FEB10"	"febrile seizures, familial, 10"	"OMIM:612637"
<http://purl.obolibrary.org/obo/MONDO_0012972>	"FEB10"	"febrile seizures, familial, 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013832>	"KTCN8"	"keratoconus 8"	"OMIM:614628"
<http://purl.obolibrary.org/obo/MONDO_0013832>	"KTCN8"	"keratoconus 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012121>	"OTSC5"	"otosclerosis 5"	"OMIM:608787"
<http://purl.obolibrary.org/obo/MONDO_0012121>	"OTSC5"	"otosclerosis 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012302>	"PFM3"	"parietal foramina 3"	"OMIM:609566"
<http://purl.obolibrary.org/obo/MONDO_0012302>	"PFM3"	"parietal foramina 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012028>	"AIS3"	"autoimmune disease, susceptibility to, 3"	"OMIM:608392"
<http://purl.obolibrary.org/obo/MONDO_0012028>	"AIS3"	"autoimmune disease, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012365>	"GBD2"	"gallbladder disease 2"	"OMIM:609918"
<http://purl.obolibrary.org/obo/MONDO_0012365>	"GBD2"	"gallbladder disease 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010468>	"ANIB5"	"aneurysm, intracranial BERRY, 5"	"OMIM:300870"
<http://purl.obolibrary.org/obo/MONDO_0010468>	"ANIB5"	"aneurysm, intracranial BERRY, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012305>	"PPR3"	"photoparoxysmal response 3"	"OMIM:609573"
<http://purl.obolibrary.org/obo/MONDO_0012305>	"PPR3"	"photoparoxysmal response 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010307>	"MRX73"	"mental retardation, X-linked 73"	"OMIM:300355"
<http://purl.obolibrary.org/obo/MONDO_0010307>	"MRX73"	"mental retardation, X-linked 73"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007729>	"DDH1"	"developmental dysplasia of the hip 1"	"OMIM:142700"
<http://purl.obolibrary.org/obo/MONDO_0007729>	"DDH1"	"developmental dysplasia of the hip 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012995>	"MYP15"	"myopia 15, autosomal dominant"	"OMIM:612717"
<http://purl.obolibrary.org/obo/MONDO_0012995>	"MYP15"	"myopia 15, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007257>	"CANDF1"	"candidiasis, familial, 1"	"OMIM:114580"
<http://purl.obolibrary.org/obo/MONDO_0007257>	"CANDF1"	"candidiasis, familial, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011280>	"SCZD6"	"schizophrenia 6"	"OMIM:603013"
<http://purl.obolibrary.org/obo/MONDO_0011280>	"SCZD6"	"schizophrenia 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012053>	"ANIB2"	"aneurysm, intracranial BERRY, 2"	"OMIM:608542"
<http://purl.obolibrary.org/obo/MONDO_0012053>	"ANIB2"	"aneurysm, intracranial BERRY, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012678>	"ATFB5"	"atrial fibrillation, familial, 5"	"OMIM:611494"
<http://purl.obolibrary.org/obo/MONDO_0012678>	"ATFB5"	"atrial fibrillation, familial, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012780>	"CELIAC11"	"celiac disease, susceptibility to, 11"	"OMIM:612009"
<http://purl.obolibrary.org/obo/MONDO_0012780>	"CELIAC11"	"celiac disease, susceptibility to, 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012712>	"DYTCA"	"dystonia with cerebellar atrophy"	"OMIM:611694"
<http://purl.obolibrary.org/obo/MONDO_0012712>	"DYTCA"	"dystonia with cerebellar atrophy"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011552>	"SCZD10"	"schizophrenia 10"	"OMIM:605419"
<http://purl.obolibrary.org/obo/MONDO_0011552>	"SCZD10"	"schizophrenia 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010230>	"MRX23"	"mental retardation, X-linked 23"	"OMIM:300046"
<http://purl.obolibrary.org/obo/MONDO_0010230>	"MRX23"	"mental retardation, X-linked 23"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012600>	"AUTS9"	"autism, susceptibility to, 9"	"OMIM:611015"
<http://purl.obolibrary.org/obo/MONDO_0012600>	"AUTS9"	"autism, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013706>	"MRT23"	"mental retardation, autosomal recessive 23"	"OMIM:614344"
<http://purl.obolibrary.org/obo/MONDO_0013706>	"MRT23"	"mental retardation, autosomal recessive 23"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011692>	"IBGC2"	"basal ganglia calcification, idiopathic, 2"	"OMIM:606656"
<http://purl.obolibrary.org/obo/MONDO_0011692>	"IBGC2"	"basal ganglia calcification, idiopathic, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013683>	"VUR5"	"vesicoureteral reflux 5"	"OMIM:614318"
<http://purl.obolibrary.org/obo/MONDO_0013683>	"VUR5"	"vesicoureteral reflux 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008072>	"IGAN1"	"IgA nephropathy, susceptibility to, 1"	"OMIM:161950"
<http://purl.obolibrary.org/obo/MONDO_0008072>	"IGAN1"	"IgA nephropathy, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012388>	"MYP11"	"myopia 11, autosomal dominant"	"OMIM:609994"
<http://purl.obolibrary.org/obo/MONDO_0012388>	"MYP11"	"myopia 11, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008106>	"NYS2"	"NYSTAGMUS 2, congenital, autosomal dominant"	"OMIM:164100"
<http://purl.obolibrary.org/obo/MONDO_0008106>	"NYS2"	"NYSTAGMUS 2, congenital, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013974>	"ECTD6"	"ectodermal dysplasia 6, hair/nail type"	"OMIM:614928"
<http://purl.obolibrary.org/obo/MONDO_0013974>	"ECTD6"	"ectodermal dysplasia 6, hair/nail type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012598>	"GINGF4"	"fibromatosis, gingival, 4"	"OMIM:611010"
<http://purl.obolibrary.org/obo/MONDO_0012598>	"GINGF4"	"fibromatosis, gingival, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011201>	"ETM2"	"tremor, hereditary essential, 2"	"OMIM:602134"
<http://purl.obolibrary.org/obo/MONDO_0011201>	"ETM2"	"tremor, hereditary essential, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012769>	"HPC14"	"prostate cancer, hereditary, 14"	"OMIM:611958"
<http://purl.obolibrary.org/obo/MONDO_0012769>	"HPC14"	"prostate cancer, hereditary, 14"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010968>	"GLC3B"	"glaucoma 3, primary infantile, B"	"OMIM:600975"
<http://purl.obolibrary.org/obo/MONDO_0010968>	"GLC3B"	"glaucoma 3, primary infantile, B"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012857>	"POROK5"	"porokeratosis 5, disseminated superficial actinic type"	"OMIM:612293"
<http://purl.obolibrary.org/obo/MONDO_0012857>	"POROK5"	"porokeratosis 5, disseminated superficial actinic type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013246>	"NAFLD2"	"fatty liver disease, nonalcoholic, susceptibility to, 2"	"OMIM:613387"
<http://purl.obolibrary.org/obo/MONDO_0013246>	"NAFLD2"	"fatty liver disease, nonalcoholic, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012537>	"SHFLD2"	"split-hand/foot malformation with long bone deficiency 2"	"OMIM:610685"
<http://purl.obolibrary.org/obo/MONDO_0012537>	"SHFLD2"	"split-hand/foot malformation with long bone deficiency 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012599>	"HYT8"	"hypertension, essential, susceptibility to, 8"	"OMIM:611014"
<http://purl.obolibrary.org/obo/MONDO_0012599>	"HYT8"	"hypertension, essential, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013207>	"FECD7"	"corneal dystrophy, Fuchs endothelial, 7"	"OMIM:613271"
<http://purl.obolibrary.org/obo/MONDO_0013207>	"FECD7"	"corneal dystrophy, Fuchs endothelial, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0014055>	"FAME4"	"epilepsy, familial ADULT myoclonic, 4"	"OMIM:615127"
<http://purl.obolibrary.org/obo/MONDO_0014055>	"FAME4"	"epilepsy, familial ADULT myoclonic, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013909>	"HHV8S"	"HUMAN HERPESVIRUS 8, susceptibility to"	"OMIM:614836"
<http://purl.obolibrary.org/obo/MONDO_0013909>	"HHV8S"	"HUMAN HERPESVIRUS 8, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010450>	"MRX89"	"mental retardation, X-linked 89"	"OMIM:300848"
<http://purl.obolibrary.org/obo/MONDO_0010450>	"MRX89"	"mental retardation, X-linked 89"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010347>	"MRX84"	"mental retardation, X-linked 84"	"OMIM:300505"
<http://purl.obolibrary.org/obo/MONDO_0010347>	"MRX84"	"mental retardation, X-linked 84"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011796>	"PEPS"	"epilepsy, partial, with pericentral spikes"	"OMIM:607221"
<http://purl.obolibrary.org/obo/MONDO_0011796>	"PEPS"	"epilepsy, partial, with pericentral spikes"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012119>	"ASPG3"	"ASPERGER syndrome, susceptibility to, 3"	"OMIM:608781"
<http://purl.obolibrary.org/obo/MONDO_0012119>	"ASPG3"	"ASPERGER syndrome, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013684>	"VUR6"	"vesicoureteral reflux 6"	"OMIM:614319"
<http://purl.obolibrary.org/obo/MONDO_0013684>	"VUR6"	"vesicoureteral reflux 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012304>	"PPR2"	"photoparoxysmal response 2"	"OMIM:609572"
<http://purl.obolibrary.org/obo/MONDO_0012304>	"PPR2"	"photoparoxysmal response 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010231>	"MRX20"	"mental retardation, X-linked 20"	"OMIM:300047"
<http://purl.obolibrary.org/obo/MONDO_0010231>	"MRX20"	"mental retardation, X-linked 20"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011659>	"HTX3"	"heterotaxy, visceral, 3, autosomal"	"OMIM:606325"
<http://purl.obolibrary.org/obo/MONDO_0011659>	"HTX3"	"heterotaxy, visceral, 3, autosomal"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012874>	"POROK6"	"porokeratosis 6, disseminated superficial actinic type"	"OMIM:612353"
<http://purl.obolibrary.org/obo/MONDO_0012874>	"POROK6"	"porokeratosis 6, disseminated superficial actinic type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012263>	"AIS4"	"autoimmune disease, susceptibility to, 4"	"OMIM:609400"
<http://purl.obolibrary.org/obo/MONDO_0012263>	"AIS4"	"autoimmune disease, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010413>	"MRX95"	"mental retardation, X-linked 95"	"OMIM:300716"
<http://purl.obolibrary.org/obo/MONDO_0010413>	"MRX95"	"mental retardation, X-linked 95"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010985>	"FAME1"	"epilepsy, familial ADULT myoclonic, 1"	"OMIM:601068"
<http://purl.obolibrary.org/obo/MONDO_0010985>	"FAME1"	"epilepsy, familial ADULT myoclonic, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012810>	"ANIB7"	"aneurysm, intracranial BERRY, 7"	"OMIM:612161"
<http://purl.obolibrary.org/obo/MONDO_0012810>	"ANIB7"	"aneurysm, intracranial BERRY, 7"	"MONDO:Lexical"
