category	mondo_id	term_label	suspect_synonym	closest_correct	match	edit
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Large-Cell Lymphoma, Immunoblastic	Large-Cell Lymphomas, Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Large-Cell Lymphomas, Immunoblastic	Large-Cell Lymphoma, Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Lymphomas, Immunoblastic Large-Cell	Lymphoma, Immunoblastic Large-Cell	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Lymphomas, Large-Cell Immunoblastic	Lymphoma, Large-Cell Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Lymphosarcoma, Diffuse Immunoblastic	Lymphosarcomas, Diffuse Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Lymphosarcomas, Diffuse Immunoblastic	Lymphosarcoma, Diffuse Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Sarcoma, Immunoblastic	Sarcomas, Immunoblastic	synonym	edit1
TYPO	MONDO:0022037	large-cell immunoblastic lymphoma	Sarcomas, Immunoblastic	Sarcoma, Immunoblastic	synonym	edit1
TYPO	MONDO:0020974	laryngeal granuloma	Granuloma, Laryngeal	Granulomas, Laryngeal	synonym	edit1
TYPO	MONDO:0020974	laryngeal granuloma	Granulomas, Laryngeal	Granuloma, Laryngeal	synonym	edit1
TYPO	MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosis	lichen sclerosus	synonym	edit1
TYPO	MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosus	lichen sclerosis	synonym	edit1
TYPO	MONDO:0007899	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	lichen sclerosis et atrophicus	synonym	edit1
TYPO	MONDO:0043294	linear scleroderma	en coup de saber	en coup de sabre	synonym	edit1
TYPO	MONDO:0043294	linear scleroderma	en coup de sabre	en coup de saber	synonym	edit1
TYPO	MONDO:0009530	lipoid proteinosis	lipoid proteinosis	lipid proteinosis	synonym	edit1
TYPO	MONDO:0005060	liposarcoma	liposarcoma	lip sarcoma	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	glaucoma, Low tension	Glaucomas, Low tension	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	glaucoma, normal tension	Glaucomas, normal tension	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	Glaucomas, Low tension	glaucoma, Low tension	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	Glaucomas, normal tension	glaucoma, normal tension	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	tension glaucoma, Low	tension Glaucomas, Low	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	tension glaucoma, normal	tension Glaucomas, normal	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	tension Glaucomas, Low	tension glaucoma, Low	synonym	edit1
TYPO	MONDO:0006837	low tension glaucoma	tension Glaucomas, normal	tension glaucoma, normal	synonym	edit1
TYPO	MONDO:0004332	lung hilum cancer	malignant lung hilum neoplasm	malignant lung hilus neoplasm	synonym	edit1
TYPO	MONDO:0004332	lung hilum cancer	malignant lung hilus neoplasm	malignant lung hilum neoplasm	synonym	edit1
TYPO	MONDO:0004332	lung hilum cancer	malignant neoplasm of lung hilum	malignant neoplasm of lung hilus	synonym	edit1
TYPO	MONDO:0004332	lung hilum cancer	malignant neoplasm of lung hilus	malignant neoplasm of lung hilum	synonym	edit1
TYPO	MONDO:0004499	lung hilum carcinoma	lung hilum carcinoma	lung hilus carcinoma	synonym	edit1
TYPO	MONDO:0003639	lung hilum neoplasm	lung hilum neoplasm	lung hilus neoplasm	synonym	edit1
TYPO	MONDO:0005834	lymphogranuloma venereum	lymph granuloma inguinale	lymphogranuloma inguinale	synonym	edit1
TYPO	MONDO:0005834	lymphogranuloma venereum	lymphogranuloma inguinale	lymph granuloma inguinale	synonym	edit1
TYPO	MONDO:0019245	lysosomal lipid storage disorder	lipid storage disease	lipoid storage disease	synonym	edit1
TYPO	MONDO:0019245	lysosomal lipid storage disorder	lipoid storage disease	lipid storage disease	synonym	edit1
TYPO	MONDO:0043731	lytic metastatic bone lesion	Osteolyses	osteolysis	synonym	edit1
TYPO	MONDO:0043731	lytic metastatic bone lesion	osteolysis	Osteolyses	synonym	edit1
TYPO	MONDO:0009552	mal de Meleda	keratosis palmoplantaris transgradiens of Siemens	keratosis palmoplantaris transgrediens of Siemens	synonym	edit1
TYPO	MONDO:0009552	mal de Meleda	keratosis palmoplantaris transgrediens of Siemens	keratosis palmoplantaris transgradiens of Siemens	synonym	edit1
TYPO	MONDO:0020541	maligant granulosa cell tumor of ovary	Maligant granulosa cell tumour of the ovary	malignant granulosa cell tumour of the ovary	synonym	edit1
TYPO	MONDO:0017827	malignant peripheral nerve sheath tumor	malignant neurilemmoma	malignant neurilemoma	synonym	edit1
TYPO	MONDO:0017827	malignant peripheral nerve sheath tumor	malignant neurilemoma	malignant neurilemmoma	synonym	edit1
TYPO	MONDO:0025483	mammary neoplasms, animal	carcinoma, animal mammary	carcinomas, animal mammary	synonym	edit1
TYPO	MONDO:0025483	mammary neoplasms, animal	carcinomas, animal mammary	carcinoma, animal mammary	synonym	edit1
TYPO	MONDO:0025483	mammary neoplasms, animal	mammary carcinoma, animal	mammary carcinomas, animal	synonym	edit1
TYPO	MONDO:0025483	mammary neoplasms, animal	mammary carcinomas, animal	mammary carcinoma, animal	synonym	edit1
TYPO	MONDO:0009571	Meckel syndrome, type 1	Dysencephalia splachnocystica	Dysencephalia Splanchnocystica	synonym	edit1
TYPO	MONDO:0009571	Meckel syndrome, type 1	Dysencephalia Splanchnocystica	Dysencephalia splachnocystica	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic acidemia, cblA type	methylmalonic acidemia, cblB type	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic acidemia, cblB type	methylmalonic acidemia, cblA type	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic aciduria type cblA	methylmalonic aciduria type cblB	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic aciduria type cblB	methylmalonic aciduria type cblA	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblA type	methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB type	synonym	edit1
TYPO	MONDO:0002012	methylmalonic acidemia	methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB type	methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblA type	synonym	edit1
TYPO	MONDO:0008855	MHC class II deficiency	BARE lymphocyte syndrome, type II, complementation group B, included	BARE lymphocyte syndrome, type II, complementation group C, included	synonym	edit1
TYPO	MONDO:0008855	MHC class II deficiency	BARE lymphocyte syndrome, type II, complementation group C, included	BARE lymphocyte syndrome, type II, complementation group B, included	synonym	edit1
TYPO	MONDO:0008855	MHC class II deficiency	BARE lymphocyte syndrome, type II, complementation group D, included	BARE lymphocyte syndrome, type II, complementation group B, included	synonym	edit1
TYPO	MONDO:0008855	MHC class II deficiency	BARE lymphocyte syndrome, type II, complementation group E, included	BARE lymphocyte syndrome, type II, complementation group B, included	synonym	edit1
TYPO	MONDO:0017575	mitochondrial neurogastrointestinal encephalomyopathy	mitochondrial Neurogastrointestingal encephalopathy	Mitochondrial Neurogastrointestinal Encephalopathy	synonym	edit1
TYPO	MONDO:0001000	mixed mineral dust pneumoconiosis	mineral duct pneumoconiosis	mineral dust pneumoconiosis	synonym	edit1
TYPO	MONDO:0001000	mixed mineral dust pneumoconiosis	mineral dust pneumoconiosis	mineral duct pneumoconiosis	synonym	edit1
TYPO	MONDO:0009282	multiple acyl-CoA dehydrogenase deficiency	Etfa deficiency	Etfb deficiency	synonym	edit1
TYPO	MONDO:0009282	multiple acyl-CoA dehydrogenase deficiency	Etfb deficiency	Etfa deficiency	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	keratoderma with woolly hair type I	keratoderma with wooly hair type I	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	keratoderma with wooly hair type I	keratoderma with woolly hair type I	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	keratosis palmoplantaris arrythmogenic cardiomyopathy woolly hair	keratosis palmoplantaris arrythmogenic cardiomyopathy wooly hair	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	keratosis palmoplantaris arrythmogenic cardiomyopathy wooly hair	keratosis palmoplantaris arrythmogenic cardiomyopathy woolly hair	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	woolly hair palmoplantar keratoderma cardiac abnormalities	wooly hair palmoplantar keratoderma cardiac abnormalities	synonym	edit1
TYPO	MONDO:0011017	Naxos disease	wooly hair palmoplantar keratoderma cardiac abnormalities	woolly hair palmoplantar keratoderma cardiac abnormalities	synonym	edit1
TYPO	MONDO:0010476	neurodegeneration with brain iron accumulation 5	neurodegeneration with brain iron accumulation 5	neurodegeneration with brain iron accululation 5	synonym	edit1
TYPO	MONDO:0010476	neurodegeneration with brain iron accumulation 5	static encephalopathy of childhood with neurdegeneration in adulthood	static encephalopathy Of childhood with neurodegeneration In adulthood	synonym	edit1
TYPO	MONDO:0010476	neurodegeneration with brain iron accumulation 5	static encephalopathy Of childhood with neurodegeneration In adulthood	static encephalopathy of childhood with neurdegeneration in adulthood	synonym	edit1
TYPO	MONDO:0016101	neurolymphomatosis	fowl paralysis	fowl paralyses	synonym	edit1
TYPO	MONDO:0008093	nevus, epidermal	nevus sebaceous or woolly hair nevus, somatic	nevus sebaceous or wooly hair nevus, somatic	synonym	edit1
TYPO	MONDO:0008093	nevus, epidermal	nevus sebaceous or wooly hair nevus, somatic	nevus sebaceous or woolly hair nevus, somatic	synonym	edit1
TYPO	MONDO:0010104	non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	multiple non-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	multiple none-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	synonym	edit1
TYPO	MONDO:0010104	non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome	multiple none-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	multiple non-erupting teeth, maxillo-zygomatical hypoplasia and other congenital defects	synonym	edit1
TYPO	MONDO:0007147	obstructive sleep apnea syndrome	apnea, obstructive sleep	Apneas, obstructive sleep	synonym	edit1
TYPO	MONDO:0007147	obstructive sleep apnea syndrome	Apneas, obstructive sleep	apnea, obstructive sleep	synonym	edit1
TYPO	MONDO:0043251	odontoma	fibro-odontomas, ameloblastic	fibro-odontoma, ameloblastic	synonym	edit1
TYPO	MONDO:0043251	odontoma	odontoma, compound	odontomas, compound	synonym	edit1
TYPO	MONDO:0043251	odontoma	odontomas, compound	odontoma, compound	synonym	edit1
TYPO	MONDO:0010457	Ogden syndrome	premature ageing appearance-developmental delay-cardiac arrhythmia syndrome	premature aging appearance-developmental delay-cardiac arrhythmia syndrome	synonym	edit1
TYPO	MONDO:0010457	Ogden syndrome	premature aging appearance-developmental delay-cardiac arrhythmia syndrome	premature ageing appearance-developmental delay-cardiac arrhythmia syndrome	synonym	edit1
TYPO	MONDO:0017178	osteochondritis dissecans	Koenig disease	Konig disease	synonym	edit1
TYPO	MONDO:0017198	osteopetrosis	Albers-Schoenberg disease	Albers-Schonberg disease	synonym	edit1
TYPO	MONDO:0017198	osteopetrosis	Albers-Schonberg disease	Albers-Schoenberg disease	synonym	edit1
TYPO	MONDO:0007856	palmoplantar keratoderma-esophageal carcinoma syndrome	howel-Evans syndrome	Howell-Evans syndrome	synonym	edit1
TYPO	MONDO:0007856	palmoplantar keratoderma-esophageal carcinoma syndrome	Howell-Evans syndrome	howel-Evans syndrome	synonym	edit1
TYPO	MONDO:0024677	pancreatic insulinoma	adenomas, beta-cell	adenoma, beta-cell	synonym	edit1
TYPO	MONDO:0002470	photosensitive trichothiodystrophy	trichothiodystrophy with congenital ichthyosis	trichothiodystrophy with congenital ichtyosis	synonym	edit1
TYPO	MONDO:0002470	photosensitive trichothiodystrophy	trichothiodystrophy with congenital ichtyosis	trichothiodystrophy with congenital ichthyosis	synonym	edit1
TYPO	MONDO:0007564	pilomatrixoma	benign pilomatricoma	benign pilomatrixoma	synonym	edit1
TYPO	MONDO:0007564	pilomatrixoma	benign pilomatrixoma	benign pilomatricoma	synonym	edit1
TYPO	MONDO:0007564	pilomatrixoma	calcifying epithelioma of Malherbe	calcifying Epitherlioma of Malherbe	synonym	edit1
TYPO	MONDO:0007564	pilomatrixoma	calcifying Epitherlioma of Malherbe	calcifying epithelioma of Malherbe	synonym	edit1
TYPO	MONDO:0007564	pilomatrixoma	pilomatrixoma	pilomatricoma	synonym	edit1
TYPO	MONDO:0017416	postpoliomyelitis syndrome	postpoliomyelitis syndrome	postpoliomyelitic syndrome	synonym	edit1
TYPO	MONDO:0011149	premature aging syndrome, Okamoto type	premature ageing Okamoto type	premature aging Okamoto type	synonym	edit1
TYPO	MONDO:0011149	premature aging syndrome, Okamoto type	premature ageing syndrome with osteosarcoma cataracts diabetes osteoporosis erythroid macrocytosis severe developmental delay	premature aging syndrome with osteosarcoma cataracts diabetes osteoporosis erythroid macrocytosis severe developmental delay	synonym	edit1
TYPO	MONDO:0011149	premature aging syndrome, Okamoto type	premature aging Okamoto type	premature ageing Okamoto type	synonym	edit1
TYPO	MONDO:0011149	premature aging syndrome, Okamoto type	premature aging syndrome with osteosarcoma cataracts diabetes osteoporosis erythroid macrocytosis severe developmental delay	premature ageing syndrome with osteosarcoma cataracts diabetes osteoporosis erythroid macrocytosis severe developmental delay	synonym	edit1
TYPO	MONDO:0016620	primary hypertrophic osteoarthropathy	hypertrophic osteoarthropathy, primary	hypertropic osteoarthropathy, primary	synonym	edit1
TYPO	MONDO:0016620	primary hypertrophic osteoarthropathy	hypertropic osteoarthropathy, primary	hypertrophic osteoarthropathy, primary	synonym	edit1
TYPO	MONDO:0010911	prolactin-producing pituitary gland adenoma	lactotrope adenoma	lactotroph adenoma	synonym	edit1
TYPO	MONDO:0010911	prolactin-producing pituitary gland adenoma	lactotroph adenoma	lactotrope adenoma	synonym	edit1
TYPO	MONDO:0025457	pulmonary adenomatosis, ovine	carcinoma, Ovine pulmonary	carcinomas, Ovine pulmonary	synonym	edit1
TYPO	MONDO:0025457	pulmonary adenomatosis, ovine	carcinomas, Ovine pulmonary	carcinoma, Ovine pulmonary	synonym	edit1
TYPO	MONDO:0025457	pulmonary adenomatosis, ovine	pulmonary carcinoma, Ovine	pulmonary carcinomas, Ovine	synonym	edit1
TYPO	MONDO:0025457	pulmonary adenomatosis, ovine	pulmonary carcinomas, Ovine	pulmonary carcinoma, Ovine	synonym	edit1
TYPO	MONDO:0004574	pyridoxine deficiency anemia	pyridoxine deficiency	pyridoxine Deficincy	synonym	edit1
TYPO	MONDO:0004574	pyridoxine deficiency anemia	pyridoxine Deficincy	pyridoxine deficiency	synonym	edit1
TYPO	MONDO:0011970	rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	epilepsy, rolandic, with paroxysmal exercise-induce dystonia and writer's cramp	epilepsy, ROLANDIC, with paroxysmal exercise-induced dystonia and writer'S cramp	synonym	edit1
TYPO	MONDO:0011970	rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	epilepsy, ROLANDIC, with paroxysmal exercise-induced dystonia and writer'S cramp	epilepsy, rolandic, with paroxysmal exercise-induce dystonia and writer's cramp	synonym	edit1
TYPO	MONDO:0018304	Schnitzler syndrome	chronic urticaria with gammapathy	chronic urticaria with gammopathy	synonym	edit1
TYPO	MONDO:0018304	Schnitzler syndrome	chronic urticaria with gammopathy	chronic urticaria with gammapathy	synonym	edit1
TYPO	MONDO:0002546	schwannoma	neurilemmoma	neurolemmoma	synonym	edit1
TYPO	MONDO:0002546	schwannoma	neurolemmoma	neurilemmoma	synonym	edit1
TYPO	MONDO:0018484	semicircular canal dehiscence syndrome	Minor's syndrome	Minorbs syndrome	synonym	edit1
TYPO	MONDO:0018484	semicircular canal dehiscence syndrome	Minorbs syndrome	Minor's syndrome	synonym	edit1
TYPO	MONDO:0009833	Shwachman-Diamond syndrome	Schwachmann-Diamond syndrome	Schwachman-Diamond syndrome	synonym	edit1
TYPO	MONDO:0011882	skin fragility-woolly hair-palmoplantar keratoderma syndrome	skin fragility wooly hair syndrome	skin fragility woolly hair syndrome	synonym	edit1
TYPO	MONDO:0005296	sleep apnea syndrome	apnea, sleep	apneas, sleep	synonym	edit1
TYPO	MONDO:0005296	sleep apnea syndrome	apneas, sleep	apnea, sleep	synonym	edit1
TYPO	MONDO:0005296	sleep apnea syndrome	sleep apnea, mixed	sleep apneas, mixed	synonym	edit1
TYPO	MONDO:0005296	sleep apnea syndrome	sleep apneas, mixed	sleep apnea, mixed	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smoldering multiple myeloma	smouldering multiple myeloma	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smoldering Multiple myeloma/plasma cell myeloma	smouldering Multiple myeloma/plasma cell myeloma	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smoldering myeloma	smouldering myeloma	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smouldering multiple myeloma	smoldering multiple myeloma	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smouldering Multiple myeloma/plasma cell myeloma	smoldering Multiple myeloma/plasma cell myeloma	synonym	edit1
TYPO	MONDO:0005235	smoldering plasma cell myeloma	smouldering myeloma	smoldering myeloma	synonym	edit1
TYPO	MONDO:0000485	spasmodic dystonia	abductor spasmodic dysphonia	adductor spasmodic dysphonia	synonym	edit1
TYPO	MONDO:0000485	spasmodic dystonia	adductor spasmodic dysphonia	abductor spasmodic dysphonia	synonym	edit1
TYPO	MONDO:0009669	spinal muscular atrophy, type 1	Werdnig-Hoffman disease	Werdnig-Hoffmann Disease	synonym	edit1
TYPO	MONDO:0010068	spondyloepimetaphyseal dysplasia, sponastrime type	spondylar and nasal changes with striations of the metaphyses (SPONASTRIME) dysplasia	spondylar and nasal changes with triations of the metaphyses (SPONASTRIME) dysplasia	synonym	edit1
TYPO	MONDO:0010068	spondyloepimetaphyseal dysplasia, sponastrime type	spondylar and nasal changes with triations of the metaphyses (SPONASTRIME) dysplasia	spondylar and nasal changes with striations of the metaphyses (SPONASTRIME) dysplasia	synonym	edit1
TYPO	MONDO:0021783	streptococcal sore throat	Strept throat	Strep throat	synonym	edit1
TYPO	MONDO:0010434	synovial sarcoma	synovial sarcoma	Synovialosarcoma	synonym	edit1
TYPO	MONDO:0006469	tibial adamantinoma	tibial adamantinoma	tibia adamantinoma	synonym	edit1
TYPO	MONDO:0019611	TSH-secreting pituitary adenoma	thyrotrope adenoma	thyrotroph adenoma	synonym	edit1
TYPO	MONDO:0019498	tungiasis	S penetrans	T penetrans	synonym	edit1
TYPO	MONDO:0019498	tungiasis	T penetrans	S penetrans	synonym	edit1
TYPO	MONDO:0010931	vitamin D-dependent rickets, type 2B	vitamin D receptor signaling defect rickets	vitamin D receptor signalling defect rickets	synonym	edit1
TYPO	MONDO:0010931	vitamin D-dependent rickets, type 2B	vitamin D receptor signalling defect rickets	vitamin D receptor signaling defect rickets	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	KRT25 woolly hair (disease)	KRT25 wooly hair (disease)	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	KRT25 wooly hair (disease)	KRT25 woolly hair (disease)	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	woolly hair (disease) caused by mutation in KRT25	wooly hair (disease) caused by mutation in KRT25	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	woolly hair, autosomal recessive type 3	wooly hair, autosomal recessive type 3	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	wooly hair (disease) caused by mutation in KRT25	woolly hair (disease) caused by mutation in KRT25	synonym	edit1
TYPO	MONDO:0014765	wooly hair, autosomal recessive 3	wooly hair, autosomal recessive type 3	woolly hair, autosomal recessive type 3	synonym	edit1
TYPO	MONDO:0010207	wooly hair-hypotrichosis-everted lower lip-outstanding ears syndrome	wooly hair hypotrichosis everted lower lip and outstanding ears	woolly hair hypotrichosis everted lower lip and outstanding ears	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	keratoderma with woolly hair type IV	keratoderma with wooly hair type IV	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	keratoderma with wooly hair type IV	keratoderma with woolly hair type IV	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	palmoplantar keratoderma and woolly hair	palmoplantar keratoderma and wooly hair	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	palmoplantar keratoderma and wooly hair	palmoplantar keratoderma and woolly hair	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	woolly hair-palmoplantar hyperkeratosis syndrome	wooly hair-palmoplantar hyperkeratosis syndrome	synonym	edit1
TYPO	MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	wooly hair-palmoplantar hyperkeratosis syndrome	woolly hair-palmoplantar hyperkeratosis syndrome	synonym	edit1
TYPO	MONDO:0018892	Wyburn-Mason syndrome	bonnet-Decaume-Blanc syndrome	bonnet-Dechaume-Blanc syndrome	synonym	edit1
TYPO	MONDO:0018892	Wyburn-Mason syndrome	bonnet-Dechaume-Blanc syndrome	bonnet-Decaume-Blanc syndrome	synonym	edit1
TYPO	MONDO:0018821	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	X-linked facial dysmorphism-short stature-choanal atresia-intellectual disability syndrome limited to females	X-linked facial dysmorphism-short stature-choanal atrsia-intellectual disability syndrome limited to females	synonym	edit1
TYPO	MONDO:0018821	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	X-linked facial dysmorphism-short stature-choanal atrsia-intellectual disability syndrome limited to females	X-linked facial dysmorphism-short stature-choanal atresia-intellectual disability syndrome limited to females	synonym	edit1
ACRONYM_CODE	MONDO:0018588	ALECT2 amyloidosis	LECT2 amyloidosis	ALECT2 amyloidosis	label	edit1
ACRONYM_CODE	MONDO:0012719	combined PSAP deficiency	combined SAP deficiency	combined PSAP deficiency	label	edit1
ACRONYM_CODE	MONDO:0007872	LADD syndrome	lard syndrome	LADD syndrome	label	edit1
ACRONYM_CODE	MONDO:0008861	3-methylcrotonyl-CoA carboxylase 1 deficiency	Bmcc deficiency	MCC deficiency	synonym	edit1
ACRONYM_CODE	MONDO:0008861	3-methylcrotonyl-CoA carboxylase 1 deficiency	MCC deficiency	Bmcc deficiency	synonym	edit1
ACRONYM_CODE	MONDO:0019339	47,XYY syndrome	YY syndrome	XYY Syndrome	synonym	edit1
ACRONYM_CODE	MONDO:0008815	argininosuccinic aciduria	ASA deficiency	ASL deficiency	synonym	edit1
ACRONYM_CODE	MONDO:0008815	argininosuccinic aciduria	ASL deficiency	ASA deficiency	synonym	edit1
ACRONYM_CODE	MONDO:0011158	autoimmune lymphoproliferative syndrome type 1	autoimmune lymphoproliferative syndrome, type IA	autoimmune lymphoproliferative syndrome, type IB	synonym	edit1
ACRONYM_CODE	MONDO:0011158	autoimmune lymphoproliferative syndrome type 1	autoimmune lymphoproliferative syndrome, type IB	autoimmune lymphoproliferative syndrome, type IA	synonym	edit1
ACRONYM_CODE	MONDO:0014121	autosomal dominant childhood-onset proximal spinal muscular atrophy with contractures	spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant	spinal muscular atrophy, LOWER extremity-predominant, 2, autosomal dominant	synonym	edit1
ACRONYM_CODE	MONDO:0011776	CINCA syndrome	IOMID syndrome	NOMID syndrome	synonym	edit1
ACRONYM_CODE	MONDO:0011776	CINCA syndrome	NOMID syndrome	IOMID syndrome	synonym	edit1
ACRONYM_CODE	MONDO:0006156	colon sessile serrated adenoma/polyp	colon SSA	colon SSP	synonym	edit1
ACRONYM_CODE	MONDO:0006156	colon sessile serrated adenoma/polyp	colon SSP	colon SSA	synonym	edit1
ACRONYM_CODE	MONDO:0006164	colorectal sessile serrated adenoma/polyp	colorectal SSA	colorectal SSP	synonym	edit1
ACRONYM_CODE	MONDO:0006164	colorectal sessile serrated adenoma/polyp	colorectal SSP	colorectal SSA	synonym	edit1
ACRONYM_CODE	MONDO:0017249	congenital pulmonary airway malformation type 1	CCAM type 1	CPAM type 1	synonym	edit1
ACRONYM_CODE	MONDO:0017249	congenital pulmonary airway malformation type 1	CPAM type 1	CCAM type 1	synonym	edit1
ACRONYM_CODE	MONDO:0017250	congenital pulmonary airway malformation type 2	CCAM type 2	CPAM type 2	synonym	edit1
ACRONYM_CODE	MONDO:0017250	congenital pulmonary airway malformation type 2	CPAM type 2	CCAM type 2	synonym	edit1
ACRONYM_CODE	MONDO:0017251	congenital pulmonary airway malformation type 3	CCAM type 3	CPAM type 3	synonym	edit1
ACRONYM_CODE	MONDO:0017251	congenital pulmonary airway malformation type 3	CPAM type 3	CCAM type 3	synonym	edit1
ACRONYM_CODE	MONDO:0005132	cytomegalovirus infection	CMV infection	HCMV infection	synonym	edit1
ACRONYM_CODE	MONDO:0005132	cytomegalovirus infection	HCMV infection	CMV infection	synonym	edit1
ACRONYM_CODE	MONDO:0100114	dry age related macular degeneration	dry AMD	dry ARMD	synonym	edit1
ACRONYM_CODE	MONDO:0100114	dry age related macular degeneration	dry ARMD	dry AMD	synonym	edit1
ACRONYM_CODE	MONDO:0035337	Duane retraction syndrome with congenital deafness	DRS with deafness	DURS with deafness	synonym	edit1
ACRONYM_CODE	MONDO:0035337	Duane retraction syndrome with congenital deafness	DRS with hearing loss	DURS with hearing loss	synonym	edit1
ACRONYM_CODE	MONDO:0035337	Duane retraction syndrome with congenital deafness	DURS with deafness	DRS with deafness	synonym	edit1
ACRONYM_CODE	MONDO:0035337	Duane retraction syndrome with congenital deafness	DURS with hearing loss	DRS with hearing loss	synonym	edit1
ACRONYM_CODE	MONDO:0015553	dystrophic epidermolysis bullosa, nails only	nails-only DDEB	nails-only DEB	synonym	edit1
ACRONYM_CODE	MONDO:0015553	dystrophic epidermolysis bullosa, nails only	nails-only DEB	nails-only DDEB	synonym	edit1
ACRONYM_CODE	MONDO:0025149	encephalopathy, bovine spongiform	BSE (bovine spongiform encephalopathy)	BSEs (bovine spongiform encephalopathy)	synonym	edit1
ACRONYM_CODE	MONDO:0025149	encephalopathy, bovine spongiform	BSEs (bovine spongiform encephalopathy)	BSE (bovine spongiform encephalopathy)	synonym	edit1
ACRONYM_CODE	MONDO:0003649	esophageal neuroendocrine tumor	esophageal NEN	esophageal NET	synonym	edit1
ACRONYM_CODE	MONDO:0018453	familial atypical multiple mole melanoma syndrome	FAMM syndrome	FAMMM syndrome	synonym	edit1
ACRONYM_CODE	MONDO:0018453	familial atypical multiple mole melanoma syndrome	FAMMM syndrome	FAMM syndrome	synonym	edit1
ACRONYM_CODE	MONDO:0016342	familial isolated arrhythmogenic right ventricular dysplasia	familial isolated ARVC	familial isolated ARVD	synonym	edit1
ACRONYM_CODE	MONDO:0016342	familial isolated arrhythmogenic right ventricular dysplasia	familial isolated ARVD	familial isolated ARVC	synonym	edit1
ACRONYM_CODE	MONDO:0015267	Feingold syndrome	MODED syndrome	ODED syndrome	synonym	edit1
