?cls	?clsLabel	?numSuperCls
<http://purl.obolibrary.org/obo/MONDO_0021851>	"alopecia universalis onychodystrophy vitiligo"	2
<http://purl.obolibrary.org/obo/MONDO_0001921>	"chronic atticoantral disease"	1
<http://purl.obolibrary.org/obo/MONDO_0001385>	"cortical blindness"	2
<http://purl.obolibrary.org/obo/MONDO_0011214>	"progressive familial intrahepatic cholestasis type 3"	1
<http://purl.obolibrary.org/obo/MONDO_0041008>	"contact dermatitis caused by poison oak"	1
<http://purl.obolibrary.org/obo/MONDO_0008497>	"Stormorken syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0020580>	"germinomatous germ cell tumor"	1
<http://purl.obolibrary.org/obo/MONDO_0000179>	"Neu-Laxova syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0002638>	"glossopharyngeal nerve neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0016724>	"papillary tumor of the pineal region"	1
<http://purl.obolibrary.org/obo/MONDO_0002017>	"olivopontocerebellar atrophy"	1
<http://purl.obolibrary.org/obo/MONDO_0013654>	"ANIB11"	1
<http://purl.obolibrary.org/obo/MONDO_0013972>	"Perrault syndrome 2"	1
<http://purl.obolibrary.org/obo/MONDO_0015432>	"ring chromosome 12"	1
<http://purl.obolibrary.org/obo/MONDO_0007957>	"mediosternal depigmentation line"	1
<http://purl.obolibrary.org/obo/MONDO_0019769>	"X-linked intellectual disability, Sutherland-Haan type"	1
<http://purl.obolibrary.org/obo/MONDO_0000368>	"extrapulmonary tuberculosis"	1
<http://purl.obolibrary.org/obo/MONDO_0021762>	"acrocoxomesomelic dysplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0009411>	"autoimmune polyendocrine syndrome type 1"	5
<http://purl.obolibrary.org/obo/MONDO_0025082>	"helminthiasis, animal"	2
<http://purl.obolibrary.org/obo/MONDO_0010401>	"X-linked myopathy with postural muscle atrophy"	1
<http://purl.obolibrary.org/obo/MONDO_0002759>	"bladder verrucous carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0004425>	"hyperthyroidism"	1
<http://purl.obolibrary.org/obo/MONDO_0017199>	"osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0001541>	"plantar nerve lesion"	2
<http://purl.obolibrary.org/obo/MONDO_0009189>	"multiple epiphyseal dysplasia type 4"	3
<http://purl.obolibrary.org/obo/MONDO_0010080>	"familial infantile bilateral striatal necrosis"	3
<http://purl.obolibrary.org/obo/MONDO_0012376>	"autosomal recessive nonsyndromic deafness 55"	1
<http://purl.obolibrary.org/obo/MONDO_0011496>	"mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis"	4
<http://purl.obolibrary.org/obo/MONDO_0001996>	"steroid-induced glaucoma - borderline"	1
<http://purl.obolibrary.org/obo/MONDO_0018395>	"male infertility due to sperm motility disorder"	1
<http://purl.obolibrary.org/obo/MONDO_0012659>	"age related macular degeneration 9"	2
<http://purl.obolibrary.org/obo/MONDO_0020113>	"red cell aplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0003363>	"malignant dermis tumor"	2
<http://purl.obolibrary.org/obo/MONDO_0021029>	"genetic sebaceous gland anomaly"	3
<http://purl.obolibrary.org/obo/MONDO_0011814>	"Smith-McCort dysplasia 1"	1
<http://purl.obolibrary.org/obo/MONDO_0009221>	"femur-fibula-ulna complex"	1
<http://purl.obolibrary.org/obo/MONDO_0014263>	"Verheij syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0010886>	"2q37 microdeletion syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0019693>	"multiple metaphyseal dysplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0006989>	"suppurative periapical periodontitis"	1
<http://purl.obolibrary.org/obo/MONDO_0017884>	"papillary renal cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0008365>	"recombinant 8 syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0012122>	"MYMY3"	1
<http://purl.obolibrary.org/obo/MONDO_0024462>	"familial cutaneous melanoma"	3
<http://purl.obolibrary.org/obo/MONDO_0003640>	"verruciform xanthoma of skin"	1
<http://purl.obolibrary.org/obo/MONDO_0017504>	"apodia, unilateral"	1
<http://purl.obolibrary.org/obo/MONDO_0015433>	"ring chromosome 17"	1
<http://purl.obolibrary.org/obo/MONDO_0010652>	"X-linked intellectual disability-seizures-psoriasis syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0003770>	"thoracic spinal canal and spinal cord meningioma"	1
<http://purl.obolibrary.org/obo/MONDO_0018758>	"familial patent arterial duct"	4
<http://purl.obolibrary.org/obo/MONDO_0008659>	"transcobalamin i deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0012360>	"congenital nongoitrous hypothryoidism 3"	2
<http://purl.obolibrary.org/obo/MONDO_0016987>	"neuroacanthocytosis"	3
<http://purl.obolibrary.org/obo/MONDO_0004198>	"testicular yolk sac tumor, solid pattern"	1
<http://purl.obolibrary.org/obo/MONDO_0017548>	"humero-radio-ulnar synostosis, unilateral"	1
<http://purl.obolibrary.org/obo/MONDO_0016600>	"acute neonatal citrullinemia type I"	2
<http://purl.obolibrary.org/obo/MONDO_0008644>	"velocardiofacial syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0023188>	"Freiberg disease"	4
<http://purl.obolibrary.org/obo/MONDO_0021007>	"stage of disease"	1
<http://purl.obolibrary.org/obo/MONDO_0015305>	"rare endometriosis"	2
<http://purl.obolibrary.org/obo/MONDO_0007459>	"dilution, pigmentary"	1
<http://purl.obolibrary.org/obo/MONDO_0003830>	"type 1 papillary adenoma of the kidney"	1
<http://purl.obolibrary.org/obo/MONDO_0015262>	"brachyolmia"	2
<http://purl.obolibrary.org/obo/MONDO_0004381>	"pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0017074>	"cervicothoracic spina bifida cystica"	1
<http://purl.obolibrary.org/obo/MONDO_0022749>	"non-neoplastic nevus"	1
<http://purl.obolibrary.org/obo/MONDO_0016404>	"metabolic neurotransmission anomaly with epilepsy"	1
<http://purl.obolibrary.org/obo/MONDO_0013623>	"platelet-type bleeding disorder 11"	1
<http://purl.obolibrary.org/obo/MONDO_0001728>	"active vestibular Meniere disease"	1
<http://purl.obolibrary.org/obo/MONDO_0020670>	"antithrombin deficiency type 2"	1
<http://purl.obolibrary.org/obo/MONDO_0009959>	"peroxisome biogenesis disorder type 3B"	2
<http://purl.obolibrary.org/obo/MONDO_0014980>	"cone-rod dystrophy and hearing loss; CRDHL"	1
<http://purl.obolibrary.org/obo/MONDO_0018690>	"Holmes-Adie syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0009442>	"ichthyosis congenita with biliary atresia"	1
<http://purl.obolibrary.org/obo/MONDO_0018301>	"interstitial cystitis"	3
<http://purl.obolibrary.org/obo/MONDO_0018214>	"generalized epilepsy with febrile seizures plus"	2
<http://purl.obolibrary.org/obo/MONDO_0004607>	"vallecula cancer"	1
<http://purl.obolibrary.org/obo/MONDO_0010578>	"deafness dystonia syndrome"	7
<http://purl.obolibrary.org/obo/MONDO_0014183>	"myopia 23, autosomal recessive"	1
<http://purl.obolibrary.org/obo/MONDO_0020731>	"arbovirus infection"	1
<http://purl.obolibrary.org/obo/MONDO_0008108>	"oculocerebrocutaneous syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0003618>	"pyosalpinx"	1
<http://purl.obolibrary.org/obo/MONDO_0021527>	"benign neoplasm of meninges"	2
<http://purl.obolibrary.org/obo/MONDO_0005203>	"ischemia reperfusion injury"	1
<http://purl.obolibrary.org/obo/MONDO_0044301>	"aortic aneurysm, familial thoracic 11, susceptibility to"	1
<http://purl.obolibrary.org/obo/MONDO_0005485>	"psychotic disorder"	2
<http://purl.obolibrary.org/obo/MONDO_0004314>	"malignant cutaneous granular cell skin tumor"	3
<http://purl.obolibrary.org/obo/MONDO_0009285>	"gamma-glutamyl transpeptidase deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0008538>	"temporal arteritis"	5
<http://purl.obolibrary.org/obo/MONDO_0017572>	"tick-borne encephalitis"	4
<http://purl.obolibrary.org/obo/MONDO_0012340>	"CELIAC2"	1
<http://purl.obolibrary.org/obo/MONDO_0007601>	"familial Mediterranean fever, autosomal dominant"	1
<http://purl.obolibrary.org/obo/MONDO_0002939>	"skin pigmented basal cell carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0010614>	"X-linked congenital generalized hypertrichosis"	1
<http://purl.obolibrary.org/obo/MONDO_0017188>	"diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0021350>	"neoplasm of thorax"	2
<http://purl.obolibrary.org/obo/MONDO_0001250>	"keratomalacia"	1
<http://purl.obolibrary.org/obo/MONDO_0009425>	"hypomandibular faciocranial dysostosis"	2
<http://purl.obolibrary.org/obo/MONDO_0014399>	"PCNA-related progressive neurodegenerative photosensitivy syndrome"	6
<http://purl.obolibrary.org/obo/MONDO_0011935>	"retinitis pigmentosa 30"	1
<http://purl.obolibrary.org/obo/MONDO_0011166>	"lymphedema-atrial septal defects-facial changes syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0024502>	"gallbladder neuroendocrine neoplasm"	3
<http://purl.obolibrary.org/obo/MONDO_0002555>	"trigeminal schwannoma"	3
<http://purl.obolibrary.org/obo/MONDO_0000756>	"parameningeal embryonal rhabdomyosarcoma"	1
<http://purl.obolibrary.org/obo/MONDO_0029131>	"peripheral neuropathy, autosomal recessive, with or without impaired intellectual development"	1
<http://purl.obolibrary.org/obo/MONDO_0008431>	"slipped femoral capital epiphyses"	1
<http://purl.obolibrary.org/obo/MONDO_0017558>	"congenital elbow dislocation, unilateral"	1
<http://purl.obolibrary.org/obo/MONDO_0001133>	"malignant essential hypertension"	2
<http://purl.obolibrary.org/obo/MONDO_0013015>	"Brugada syndrome 5"	1
<http://purl.obolibrary.org/obo/MONDO_0003261>	"papillary meningioma of the cerebellum"	3
<http://purl.obolibrary.org/obo/MONDO_0043969>	"nocturnal paroxysmal dystonia"	2
<http://purl.obolibrary.org/obo/MONDO_0020117>	"alpha granule disease"	1
<http://purl.obolibrary.org/obo/MONDO_0009848>	"dissecting cellulitis of the scalp"	1
<http://purl.obolibrary.org/obo/MONDO_0014021>	"familial episodic pain syndrome with predominantly upper body involvement"	1
<http://purl.obolibrary.org/obo/MONDO_0001734>	"tuberous sclerosis"	4
<http://purl.obolibrary.org/obo/MONDO_0014084>	"ataxia with oculomotor apraxia type 3"	1
<http://purl.obolibrary.org/obo/MONDO_0020138>	"ataxia with dementia"	1
<http://purl.obolibrary.org/obo/MONDO_0023644>	"lip and oral cavity carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0007149>	"arbitrary restriction polymorphism 1"	1
<http://purl.obolibrary.org/obo/MONDO_0011884>	"hypotrichosis-osteolysis-periodontitis-palmoplantar keratoderma syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0021498>	"benign neoplasm of placenta"	2
<http://purl.obolibrary.org/obo/MONDO_0002364>	"Wolffian duct adenoma"	2
<http://purl.obolibrary.org/obo/MONDO_0016090>	"late-infantile/juvenile Krabbe disease"	1
<http://purl.obolibrary.org/obo/MONDO_0019258>	"mild phenylketonuria"	1
<http://purl.obolibrary.org/obo/MONDO_0021150>	"genetic"	1
<http://purl.obolibrary.org/obo/MONDO_0002858>	"ovary rhabdomyosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002271>	"colon adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0012370>	"autosomal recessive nonsyndromic deafness 51"	1
<http://purl.obolibrary.org/obo/MONDO_0013753>	"Charcot-Marie-Tooth disease axonal type 2P"	2
<http://purl.obolibrary.org/obo/MONDO_0008249>	"pilonidal sinus (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0008686>	"woolly hair (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0013532>	"protein Z deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0018070>	"familial multiple fibrofolliculoma"	1
<http://purl.obolibrary.org/obo/MONDO_0011316>	"osteosclerotic chondrodysplasia, lethal, with intracellular inclusions"	1
<http://purl.obolibrary.org/obo/MONDO_0041093>	"central retinal vein occlusion with macular edema"	1
<http://purl.obolibrary.org/obo/MONDO_0010995>	"Charcot-Marie-Tooth disease type 1C"	1
<http://purl.obolibrary.org/obo/MONDO_0014901>	"tooth agenesis, selective, 8; STHAG8"	2
<http://purl.obolibrary.org/obo/MONDO_0018250>	"diffuse palmoplantar keratoderma with painful fissures"	1
<http://purl.obolibrary.org/obo/MONDO_0005707>	"coccidiosis"	1
<http://purl.obolibrary.org/obo/MONDO_0002716>	"childhood spinal cord tumor"	2
<http://purl.obolibrary.org/obo/MONDO_0006459>	"thymoma type B1"	1
<http://purl.obolibrary.org/obo/MONDO_0014102>	"hypogonadotropic hypogonadism 17 with or without anosmia"	1
<http://purl.obolibrary.org/obo/MONDO_0018730>	"rare genetic venous malformation"	2
<http://purl.obolibrary.org/obo/MONDO_0009552>	"mal de Meleda"	1
<http://purl.obolibrary.org/obo/MONDO_0000911>	"dilated cardiomyopathy 1T"	1
<http://purl.obolibrary.org/obo/MONDO_0008001>	"milia, multiple eruptive"	1
<http://purl.obolibrary.org/obo/MONDO_0016407>	"oligomeganephronia"	1
<http://purl.obolibrary.org/obo/MONDO_0010408>	"syndactyly-telecanthus-anogenital and renal malformations syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0029141>	"usher syndrome, type 4"	1
<http://purl.obolibrary.org/obo/MONDO_0011308>	"gracile syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0008177>	"extramammary Paget disease"	4
<http://purl.obolibrary.org/obo/MONDO_0004782>	"diabetes insipidus"	1
<http://purl.obolibrary.org/obo/MONDO_0006622>	"vulvar seborrheic keratosis"	7
<http://purl.obolibrary.org/obo/MONDO_0022820>	"congenital articular rigidity"	1
<http://purl.obolibrary.org/obo/MONDO_0010676>	"muscular dystrophy, Hemizygous lethal type"	1
<http://purl.obolibrary.org/obo/MONDO_0010107>	"testicular regression syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0003925>	"ethmoid sinus inverted papilloma"	2
<http://purl.obolibrary.org/obo/MONDO_0011076>	"myofibrillar myopathy 1"	6
<http://purl.obolibrary.org/obo/MONDO_0008615>	"tune deafness"	1
<http://purl.obolibrary.org/obo/MONDO_0005737>	"Ebola hemorrhagic fever"	2
<http://purl.obolibrary.org/obo/MONDO_0007627>	"focal facial dermal dysplasia type I"	1
<http://purl.obolibrary.org/obo/MONDO_0006423>	"soft tissue chondroma"	2
<http://purl.obolibrary.org/obo/MONDO_0007176>	"helicoid peripapillary chorioretinal degeneration"	1
<http://purl.obolibrary.org/obo/MONDO_0009824>	"primary hyperoxaluria type 2"	1
<http://purl.obolibrary.org/obo/MONDO_0007477>	"3-M syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0018114>	"isolated brachycephaly"	3
<http://purl.obolibrary.org/obo/MONDO_0011260>	"pancreatic lymphoma, familial"	5
<http://purl.obolibrary.org/obo/MONDO_0012412>	"complement component 7 deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0009663>	"mucus inspissation of respiratory tract"	1
<http://purl.obolibrary.org/obo/MONDO_0009465>	"multiple intestinal atresia"	3
<http://purl.obolibrary.org/obo/MONDO_0002691>	"liver cancer"	4
<http://purl.obolibrary.org/obo/MONDO_0045071>	"mycosis fungoides variant"	2
<http://purl.obolibrary.org/obo/MONDO_0044767>	"childhood adrenal gland pheochromocytoma"	1
<http://purl.obolibrary.org/obo/MONDO_0003656>	"hemoglobinuria"	1
<http://purl.obolibrary.org/obo/MONDO_0007982>	"metaphyseal chondrodysplasia, Jansen type"	2
<http://purl.obolibrary.org/obo/MONDO_0022432>	"alves Castelo dos Santos syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0009510>	"Laron syndrome with immunodeficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0022311>	"cote katsantoni syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0001995>	"sphenoid sinus squamous cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0022464>	"anophthalmia microcephaly hypogonadism"	1
<http://purl.obolibrary.org/obo/MONDO_0018001>	"inverse Klippel-Trenaunay syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0045055>	"glycogen-rich carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0044098>	"ovarian ectopic pregnancy"	2
<http://purl.obolibrary.org/obo/MONDO_0007992>	"microcornea-glaucoma-absent frontal sinuses syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0043707>	"mediastinal diseases"	2
<http://purl.obolibrary.org/obo/MONDO_0019020>	"PANDAS"	1
<http://purl.obolibrary.org/obo/MONDO_0018872>	"acute megakaryoblastic leukemia"	2
<http://purl.obolibrary.org/obo/MONDO_0008281>	"polyposis, intestinal, scattered and discrete"	2
<http://purl.obolibrary.org/obo/MONDO_0012146>	"familial hemophagocytic lymphohistiocytosis 3"	1
<http://purl.obolibrary.org/obo/MONDO_0010235>	"X-linked intellectual disability-psychosis-macroorchidism syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0013595>	"hyperbiliverdinemia"	1
<http://purl.obolibrary.org/obo/MONDO_0006028>	"cecum adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0017060>	"open iniencephaly"	1
<http://purl.obolibrary.org/obo/MONDO_0018981>	"benign idiopathic neonatal seizures"	1
<http://purl.obolibrary.org/obo/MONDO_0016393>	"hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0006312>	"myofibroma"	2
<http://purl.obolibrary.org/obo/MONDO_0018087>	"viral hemorrhagic fever"	1
<http://purl.obolibrary.org/obo/MONDO_0008311>	"progeria-short stature-pigmented nevi syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0015967>	"monogenic diabetes"	3
<http://purl.obolibrary.org/obo/MONDO_0015503>	"nose and cavum anomaly"	1
<http://purl.obolibrary.org/obo/MONDO_0006450>	"therapy-related myeloid neoplasm"	1
<http://purl.obolibrary.org/obo/MONDO_0008004>	"familial mitral valve prolapse"	5
<http://purl.obolibrary.org/obo/MONDO_0044680>	"short rib-polydactyly syndrome type 5"	1
<http://purl.obolibrary.org/obo/MONDO_0008720>	"congenital isolated adrenocorticotropic hormone deficiency (disease)"	2
<http://purl.obolibrary.org/obo/MONDO_0002397>	"liver sarcoma"	5
<http://purl.obolibrary.org/obo/MONDO_0017108>	"isolated total cerebellar vermis agenesis"	1
<http://purl.obolibrary.org/obo/MONDO_0013453>	"Leber congenital amaurosis 8"	1
<http://purl.obolibrary.org/obo/MONDO_0006458>	"thymoma type B3"	1
<http://purl.obolibrary.org/obo/MONDO_0008327>	"exfoliation syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0015621>	"rare abdominal surgical disease"	2
<http://purl.obolibrary.org/obo/MONDO_0008257>	"platelet responsiveness to adrenaline, depressed"	1
<http://purl.obolibrary.org/obo/MONDO_0006444>	"teratoma with malignant transformation"	1
<http://purl.obolibrary.org/obo/MONDO_0015015>	"congenital bile acid synthesis defect 6"	1
<http://purl.obolibrary.org/obo/MONDO_0003468>	"biphasic synovial sarcoma"	1
<http://purl.obolibrary.org/obo/MONDO_0011184>	"childhood apraxia of speech"	2
<http://purl.obolibrary.org/obo/MONDO_0012593>	"brain-lung-thyroid syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0013293>	"isolated microphthalmia 6"	2
<http://purl.obolibrary.org/obo/MONDO_0019345>	"shigellosis"	5
<http://purl.obolibrary.org/obo/MONDO_0022456>	"ankle defects short stature"	1
<http://purl.obolibrary.org/obo/MONDO_0018499>	"double outlet right ventricle with atrioventricular septal defect, pulmonary stenosis, heterotaxy"	1
<http://purl.obolibrary.org/obo/MONDO_0014683>	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A9"	2
<http://purl.obolibrary.org/obo/MONDO_0001578>	"hernia of ovary and fallopian tube"	1
<http://purl.obolibrary.org/obo/MONDO_0014368>	"melanoma, cutaneous malignant, susceptibility to, 10"	1
<http://purl.obolibrary.org/obo/MONDO_0018673>	"IgG4-related pachymeningitis"	4
<http://purl.obolibrary.org/obo/MONDO_0021049>	"vulvar neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0018225>	"ALK-positive large B-cell lymphoma"	1
<http://purl.obolibrary.org/obo/MONDO_0014002>	"autosomal dominant nocturnal frontal lobe epilepsy 5"	2
<http://purl.obolibrary.org/obo/MONDO_0006706>	"Bifidobacteriales infectious disease"	1
<http://purl.obolibrary.org/obo/MONDO_0009765>	"ocular myopathy with curare sensitivity"	1
<http://purl.obolibrary.org/obo/MONDO_0004513>	"adult pleomorphic rhabdomyosarcoma"	1
<http://purl.obolibrary.org/obo/MONDO_0013354>	"spastic ataxia 4"	3
<http://purl.obolibrary.org/obo/MONDO_0013960>	"sinoatrial node dysfunction and deafness"	2
<http://purl.obolibrary.org/obo/MONDO_0011507>	"diabetes mellitus, congenital autoimmune"	1
<http://purl.obolibrary.org/obo/MONDO_0012801>	"autism, susceptibility to, 15"	1
<http://purl.obolibrary.org/obo/MONDO_0022096>	"pyogenic granuloma"	1
<http://purl.obolibrary.org/obo/MONDO_0004057>	"micropapillary variant infiltrating bladder urothelial carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0024757>	"cardiovascular neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0006621>	"vulvar inverted follicular keratosis"	2
<http://purl.obolibrary.org/obo/MONDO_0011256>	"emphysema, congenital, with deafness, penoscrotal web, and mental retardation"	1
<http://purl.obolibrary.org/obo/MONDO_0003210>	"intrahepatic cholangiocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0011469>	"congenital amegakaryocytic thrombocytopenia"	2
<http://purl.obolibrary.org/obo/MONDO_0001561>	"pyloric stenosis (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0018572>	"severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0016040>	"harlequin syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0002038>	"head and neck carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0012569>	"MMVP3"	1
<http://purl.obolibrary.org/obo/MONDO_0008071>	"autosomal dominant progressive nephropathy with hypertension"	1
<http://purl.obolibrary.org/obo/MONDO_0001906>	"posterior dislocation of lens"	2
<http://purl.obolibrary.org/obo/MONDO_0002519>	"anus disease"	1
<http://purl.obolibrary.org/obo/MONDO_0001615>	"epidemic keratoconjunctivitis"	4
<http://purl.obolibrary.org/obo/MONDO_0021725>	"Abderhalden-Kaufmann-Lignac syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0013053>	"microcephaly-facio-cardio-skeletal syndrome, Hadziselimovic type"	3
<http://purl.obolibrary.org/obo/MONDO_0005585>	"chemotherapy-induced hypertension"	1
<http://purl.obolibrary.org/obo/MONDO_0008014>	"nondisjunction"	1
<http://purl.obolibrary.org/obo/MONDO_0000785>	"peach allergy"	2
<http://purl.obolibrary.org/obo/MONDO_0021169>	"epithelioid hemangioma"	1
<http://purl.obolibrary.org/obo/MONDO_0021327>	"carcinoma of urethra"	2
<http://purl.obolibrary.org/obo/MONDO_0011186>	"Usher syndrome type 1F"	1
<http://purl.obolibrary.org/obo/MONDO_0002426>	"lung sarcoma"	5
<http://purl.obolibrary.org/obo/MONDO_0017384>	"acute generalized exanthematous pustulosis"	2
<http://purl.obolibrary.org/obo/MONDO_0011352>	"neuroendocrine carcinoma of salivary glands, sensorineural hearing loss, and enamel hypoplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0037871>	"amino acid metabolism disease"	1
<http://purl.obolibrary.org/obo/MONDO_0001017>	"epididymal adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002918>	"clear cell meningioma"	1
<http://purl.obolibrary.org/obo/MONDO_0015239>	"abnormal origin of the pulmonary artery"	1
<http://purl.obolibrary.org/obo/MONDO_0008136>	"isolated optic nerve hypoplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0005328>	"eye disease"	2
<http://purl.obolibrary.org/obo/MONDO_0019552>	"centrifugal lipodystrophy"	1
<http://purl.obolibrary.org/obo/MONDO_0012285>	"LVNC2"	1
<http://purl.obolibrary.org/obo/MONDO_0010066>	"familial isolated congenital asplenia"	2
<http://purl.obolibrary.org/obo/MONDO_0019092>	"infantile apnea"	1
<http://purl.obolibrary.org/obo/MONDO_0007885>	"Legg-Calve-Perthes disease"	3
<http://purl.obolibrary.org/obo/MONDO_0018832>	"HTRA1-related autosomal dominant cerebral small vessel disease"	1
<http://purl.obolibrary.org/obo/MONDO_0009537>	"lymphoid interstitial pneumonia"	1
<http://purl.obolibrary.org/obo/MONDO_0003677>	"lateral myocardial infarction"	1
<http://purl.obolibrary.org/obo/MONDO_0007566>	"multiple self-healing squamous epithelioma"	4
<http://purl.obolibrary.org/obo/MONDO_0012277>	"myofibrillar myopathy 4"	3
<http://purl.obolibrary.org/obo/MONDO_0016637>	"rare thrombotic disorder due to an acquired platelet anomaly"	1
<http://purl.obolibrary.org/obo/MONDO_0020518>	"Hashimoto-Pritzker syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0003112>	"malignant gastric germ cell tumor"	4
<http://purl.obolibrary.org/obo/MONDO_0001153>	"gender dysphoria"	1
<http://purl.obolibrary.org/obo/MONDO_0012041>	"MUTYH-related attenuated familial adenomatous polyposis"	3
<http://purl.obolibrary.org/obo/MONDO_0008928>	"cataract-ataxia-deafness syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0015281>	"atrial standstill"	2
<http://purl.obolibrary.org/obo/MONDO_0002809>	"pancreatic cystadenoma"	2
<http://purl.obolibrary.org/obo/MONDO_0011340>	"congenital tracheal stenosis"	2
<http://purl.obolibrary.org/obo/MONDO_0014817>	"nephrotic syndrome, type 12; NPHS12"	1
<http://purl.obolibrary.org/obo/MONDO_0001104>	"toxic diffuse goiter"	1
<http://purl.obolibrary.org/obo/MONDO_0009823>	"primary hyperoxaluria type 1"	2
<http://purl.obolibrary.org/obo/MONDO_0022913>	"cutler bass Romshe syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0016630>	"isolated delta-storage pool disease"	1
<http://purl.obolibrary.org/obo/MONDO_0009508>	"Lambotte syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0014418>	"myopathy, centronuclear, 5"	1
<http://purl.obolibrary.org/obo/MONDO_0001352>	"round ligament malignant neoplasm"	4
<http://purl.obolibrary.org/obo/MONDO_0012929>	"Compton-North congenital myopathy"	1
<http://purl.obolibrary.org/obo/MONDO_0006186>	"duodenal adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0043170>	"Pavone Fiumara Rizzo syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0000980>	"aortic atherosclerosis (disease)"	2
<http://purl.obolibrary.org/obo/MONDO_0011950>	"infantile-onset autosomal recessive nonprogressive cerebellar ataxia"	1
<http://purl.obolibrary.org/obo/MONDO_0016205>	"IRVAN syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0011432>	"blepharophimosis - intellectual disability syndrome, Verloes type"	1
<http://purl.obolibrary.org/obo/MONDO_0009562>	"beta-mannosidosis"	6
<http://purl.obolibrary.org/obo/MONDO_0009286>	"gluteal muscles, absence of"	1
<http://purl.obolibrary.org/obo/MONDO_0100029>	"antibody mediated epilepsy"	1
